group,n,avg_mae_24h,avg_mae_48h,avg_mae_120h,avg_mfe_24h,avg_mfe_48h,avg_mfe_120h,win_rate_2r,sl_rate,pf,avg_r,total_r
GO,30,1.3280507386167093,1.8294076270711581,3.3428455551253315,1.0887848975148782,2.76292211810544,4.094291626409962,26.666666666666668,70.0,0.8063716080099118,-0.13553987439306175,-4.066196231791853
NO-GO,30,1.3869081058359733,2.6443790436327737,3.476092868516315,0.8925124783255608,1.4585408582240287,2.1388209471586146,20.0,63.33333333333333,0.8407310197998435,-0.10145204137976714,-3.0435612413930144
