htf,ltf,group,n,avg_mae_24h,avg_mae_48h,avg_mae_120h,avg_mfe_24h,avg_mfe_48h,avg_mfe_120h,win_rate_2r,sl_rate,pf,avg_r,total_r
D1,H1,GO,24,1.4239906220096457,2.0211701253872447,2.9493472559212512,1.14616528827954,3.0470301486051725,4.237817131043543,25.0,70.83333333333334,0.7608119863651851,-0.1694248429913272,-4.066196231791853
D1,H1,NO-GO,2,1.3587574215487965,11.179208771785108,11.722980123258111,0.24776653284043434,0.24776653284043434,0.24776653284043434,0.0,100.0,0.0,-1.0,-2.0
H4,H1,GO,6,0.9442912050449639,1.0623576338068121,4.9168387519416585,0.859263334456231,1.6264899961065076,3.52018960787564,33.33333333333333,66.66666666666666,1.0,0.0,0.0
H4,H1,NO-GO,28,1.3889188689993432,2.03474834876475,2.8870294931776153,0.9385657601459271,1.5450247386085711,2.2738962624670562,21.428571428571427,60.71428571428571,0.9390071505618377,-0.037270044335464804,-1.0435612413930144
