symbol,group,n,avg_mae_24h,avg_mae_48h,avg_mae_120h,avg_mfe_24h,avg_mfe_48h,avg_mfe_120h,win_rate_2r,sl_rate,pf,avg_r,total_r
GBPJPY,GO,10,1.5898859307928916,2.3770476657388855,3.734361372540833,0.8572717448407255,1.4485225584993597,3.1581659608461177,20.0,70.0,0.704829109744021,-0.20661962317918534,-2.0661962317918534
GBPJPY,NO-GO,10,0.7280739204905482,0.8197255001685111,1.1776497380759319,0.7623052975008766,1.2007495515239857,2.0302533875333912,20.0,50.0,1.3962303920012697,0.19811519600063493,1.9811519600063492
USDJPY,GO,10,0.8413833810023371,0.9764452637640858,3.737318928261415,0.9579841074488954,4.788612102459679,6.217322288394639,20.0,80.0,0.5,-0.4,-4.0
USDJPY,NO-GO,10,2.46362275018153,3.8196975018437946,4.857294096190561,0.9694557401553772,1.3501099442930191,1.974537610344812,10.0,80.0,0.3856067195168036,-0.49151462438655713,-4.915146243865571
XAUUSD,GO,10,1.5528829040548997,2.134729951710503,2.5568563645737483,1.4510988402550133,2.051631693357281,2.907386629989129,40.0,60.0,1.3333333333333333,0.2,2.0
XAUUSD,NO-GO,10,0.9690276468358411,3.293714128886015,4.393334771282454,0.9457763973204285,1.8247630788550808,2.4116718435976408,30.0,60.0,0.9820663300205452,-0.010956695753379275,-0.10956695753379275
