time,open,high,low,close
1493589600,5580.3,5591.3,5579.9,5589.3
1493604000,5589.1,5592.8,5588.1,5592.5
1493618400,5592.7,5596.6,5592,5596.2
1493632800,5596.2,5610.3,5594.8,5608.7
1493647200,5608.5,5633.2,5602.5,5633.2
1493661600,5633.2,5639.4,5625.8,5634
1493672400,5629.4,5637.9,5624.9,5637.9
1493686800,5637.8,5638.2,5632.1,5634.1
1493701200,5634.2,5637.4,5631.1,5636.4
1493715600,5636.4,5641.6,5635.3,5640.8
1493730000,5640.7,5643.8,5624.8,5641.5
1493744400,5641.8,5643,5624,5624.2
1493758800,5617.7,5628.1,5610.8,5627.1
1493773200,5627.3,5628.1,5621.1,5623.2
1493787600,5623.2,5626.9,5622.1,5624.4
1493802000,5624.5,5632.2,5622.9,5632.2
1493816400,5632.1,5633.3,5608.2,5620.7
1493830800,5620.5,5629.8,5608,5610.2
1493845200,5608.2,5624.3,5604.4,5622.9
1493859600,5622.9,5624.6,5620,5623.5
1493874000,5623.4,5627.6,5619.7,5626.2
1493888400,5626.1,5636.3,5625.1,5625.6
1493902800,5625.6,5633,5605.8,5625
1493917200,5624.9,5630.5,5615.9,5629.1
1493931600,5626.5,5628.6,5621.4,5624.2
1493946000,5623.9,5628,5614,5619.3
1493960400,5619.6,5629.5,5617.8,5629
1493974800,5629.5,5641.5,5626.8,5636.3
1493989200,5636.6,5641.5,5618.5,5628.4
1494003600,5628.5,5651.6,5627.8,5650.5
1494194400,5656.1,5658,5637.5,5641.3
1494208800,5641.2,5646.4,5640,5645.3
1494223200,5646.1,5646.1,5634.1,5639.9
1494237600,5640.1,5651.3,5639.2,5639.5
1494252000,5639.4,5651.9,5634.1,5651.7
1494266400,5651.9,5655.8,5644.2,5654.7
1494277200,5652.2,5656.2,5648.3,5652.2
1494291600,5652.1,5655.2,5650.8,5652.8
1494306000,5653,5657.9,5651.8,5655.8
1494320400,5655.9,5664.3,5655.4,5662.1
1494334800,5662.2,5687.2,5658.4,5675.8
1494349200,5675.8,5682.4,5664.4,5681
1494392400,5672,5677,5668.4,5671.2
1494406800,5671.2,5678.2,5669.9,5675.8
1494421200,5675.9,5679.3,5658.9,5676.2
1494435600,5676.1,5680.1,5667.4,5675.5
1494478800,5669.2,5669.3,5666.4,5667.4
1494493200,5667.4,5668.6,5653.1,5660.4
1494507600,5660.5,5666,5634.8,5652.6
1494522000,5652.7,5672.5,5652.1,5668.9
1494565200,5659.6,5660.7,5655.1,5655.5
1494579600,5655.5,5671.4,5655.1,5671.1
1494594000,5671.1,5684.7,5669.5,5680.9
1494608400,5681,5687.6,5675.3,5687.4
1494828000,5697.2,5698.4,5682,5683.5
1494842400,5683.5,5697.5,5681.2,5696.5
1494856800,5696.3,5704.6,5688.4,5699.3
1494871200,5699,5703.8,5692.4,5703.6
1494910800,5698.9,5701.5,5697.3,5699.9
1494925200,5700,5710.7,5698.1,5708
1494939600,5708,5719,5697.8,5717.5
1494954000,5717.3,5723.8,5712.1,5721.2
1494997200,5692.8,5703.7,5689.5,5699.2
1495011600,5699.3,5705.3,5682.9,5683.1
1495026000,5683.1,5688.8,5617.5,5641.7
1495040400,5641.8,5642.5,5571.5,5572.5
1495083600,5598,5599.2,5573.9,5584.5
1495098000,5584.2,5584.2,5548.4,5570.4
1495112400,5570.1,5634.6,5569.2,5612.6
1495126800,5612.7,5645.6,5606.2,5630.7
1495170000,5629.1,5644.1,5625.2,5639
1495184400,5638.7,5651.5,5638,5648.8
1495198800,5648.6,5674.4,5644.1,5671.7
1495213200,5671.4,5673,5644.8,5652.5
1495432800,5661.6,5662.6,5647.4,5652.1
1495447200,5652.2,5683.1,5651,5681.5
1495461600,5681.4,5696.6,5678,5690.5
1495476000,5690.5,5702.4,5687.5,5701.7
1495515600,5693.6,5714.1,5692.8,5710.6
1495530000,5710.7,5715.2,5705.9,5711.7
1495544400,5711.7,5716.6,5690.3,5693.1
1495558800,5693.2,5711.4,5693.2,5709
1495602000,5709.8,5715.8,5706.3,5715.1
1495616400,5715.2,5720.8,5713.8,5720.3
1495630800,5720.4,5722.6,5705.4,5715.8
1495645200,5715.9,5732.6,5710.5,5732.1
1495688400,5754.7,5755.2,5739.5,5746.1
1495702800,5746.2,5754.7,5746,5753.6
1495717200,5753.7,5787.1,5739.7,5787
1495731600,5786.7,5793.8,5773.6,5781.4
1495774800,5781.4,5788.6,5777.8,5778
1495789200,5778.1,5780.8,5770.7,5777.5
1495803600,5777.5,5791,5771.8,5782.8
1495818000,5782.9,5793.6,5778.7,5793.1
1496037600,5796.6,5797.3,5793.7,5796.2
1496052000,5796.2,5799.9,5794.9,5796.7
1496066400,5796.8,5797,5790.2,5793.9
1496120400,5786.3,5792.2,5782.8,5790.6
1496134800,5790.7,5791.5,5776.3,5786.6
1496149200,5786.8,5800.4,5781.7,5798.3
1496163600,5798.4,5799.7,5783.5,5791.6
1496206800,5797.7,5799.9,5793.6,5795.9
