time,open,high,low,close
1357077600,86.6175,86.968,86.6175,86.9315
1357092000,86.9315,87.3035,86.853,87.1795
1357106400,87.1795,87.3315,86.986,87.0925
1357120800,87.0925,87.2055,86.9595,87.102
1357135200,87.102,87.232,87.057,87.101
1357149600,87.101,87.3485,87.069,87.3445
1357164000,87.3445,87.3565,87.094,87.15
1357178400,87.15,87.3165,87.15,87.2535
1357192800,87.2535,87.3155,87.1005,87.138
1357207200,87.138,87.148,86.813,86.902
1357221600,86.902,87.005,86.7705,86.875
1357236000,86.875,87.3545,86.875,87.2365
1357250400,87.2365,87.775,87.2355,87.6105
1357264800,87.6105,87.8355,87.6045,87.7565
1357279200,87.7565,88.3315,87.7255,88.1915
1357293600,88.1915,88.4115,87.815,87.926
1357308000,87.926,88.3745,87.6015,88.301
1357322400,88.301,88.3205,88.061,88.155
1357509600,88.119,88.3765,87.9585,88.067
1357524000,88.067,88.1795,87.7925,87.86
1357538400,87.86,87.875,87.6285,87.7865
1357552800,87.7865,87.9615,87.7185,87.8455
1357567200,87.8455,87.9125,87.657,87.7025
1357581600,87.7025,87.854,87.634,87.793
1357596000,87.793,87.8285,87.235,87.5255
1357610400,87.5255,87.81,87.409,87.4905
1357624800,87.4905,87.5035,87.333,87.428
1357639200,87.428,87.586,87.3845,87.5515
1357653600,87.5515,87.5515,86.9805,87.237
1357668000,87.237,87.284,86.9015,87.051
1357682400,87.051,87.458,86.828,87.4255
1357696800,87.4255,87.5475,87.3625,87.4945
1357711200,87.4945,87.7365,87.3865,87.533
1357725600,87.533,87.6195,87.4015,87.6035
1357740000,87.6035,87.9915,87.5925,87.9315
1357754400,87.9315,88.0165,87.732,87.878
1357768800,87.878,88.2155,87.855,88.091
1357783200,88.091,88.2035,88.006,88.16
1357797600,88.16,88.305,88.0765,88.1345
1357812000,88.1345,88.334,88.0335,88.248
1357826400,88.248,88.287,87.984,88.197
1357840800,88.197,88.7935,88.111,88.7795
1357855200,88.7795,89.346,88.684,88.8485
1357869600,88.8485,89.113,88.772,89.0995
1357884000,89.0995,89.1105,88.8655,88.9095
1357898400,88.9095,89.0615,88.742,88.9995
1357912800,88.9995,89.449,88.8755,89.149
