variant,setups,trades,fill_rate,win_rate,total_r,avg_r,pf,max_dd_r,avg_mae_r,avg_mfe_r,avg_risk_atr,avg_fill_delay_m15,tp,sl,time,worst_year_r,retest_r,wait_hours,confirm_bars,close_loc_min,close_below_limit
confirm_0.20r_3h_8b_cl0.65_any,27,20,74.07407407407408,85.0,13.00058206025267,0.6500291030126335,4.754825985903794,2.451252010437088,0.6424888915461894,1.3967939009601866,1.581142448590491,2.95,17,3,0,-1.199490021498441,0.2,3.0,8,0.65,False
confirm_0.20r_4h_8b_cl0.65_any,27,20,74.07407407407408,85.0,13.00058206025267,0.6500291030126335,4.754825985903794,2.451252010437088,0.6424888915461894,1.3967939009601866,1.581142448590491,2.95,17,3,0,-1.199490021498441,0.2,4.0,8,0.65,False
confirm_0.20r_3h_8b_cl0.60_any,27,20,74.07407407407408,85.0,12.580295148576779,0.6290147574288389,4.634248829489678,2.4504802808024877,0.6146630081461449,1.3687492655125557,1.5534067362033983,2.95,17,3,0,-1.199490021498441,0.2,3.0,8,0.6,False
confirm_0.20r_4h_8b_cl0.60_any,27,20,74.07407407407408,85.0,12.580295148576779,0.6290147574288389,4.634248829489678,2.4504802808024877,0.6146630081461449,1.3687492655125557,1.5534067362033983,2.95,17,3,0,-1.199490021498441,0.2,4.0,8,0.6,False
confirm_0.20r_3h_8b_cl0.60_below,27,18,66.66666666666666,83.33333333333334,11.584270950480134,0.6435706083600075,4.34651314973612,2.4504802808024895,0.6576679765557296,1.3374120621324728,1.7020110121103011,3.2777777777777777,15,3,0,-1.199490021498441,0.2,3.0,8,0.6,True
confirm_0.20r_4h_8b_cl0.60_below,27,18,66.66666666666666,83.33333333333334,11.584270950480134,0.6435706083600075,4.34651314973612,2.4504802808024895,0.6576679765557296,1.3374120621324728,1.7020110121103011,3.2777777777777777,15,3,0,-1.199490021498441,0.2,4.0,8,0.6,True
confirm_0.25r_3h_8b_cl0.65_any,27,16,59.25925925925925,87.5,11.367839412587847,0.7104899632867404,5.860592386792501,2.3387765333865964,0.5432388208322255,1.4581901962621004,1.4924767195407158,2.875,14,2,0,-1.199490021498441,0.25,3.0,8,0.65,False
confirm_0.25r_4h_8b_cl0.65_any,27,16,59.25925925925925,87.5,11.367839412587847,0.7104899632867404,5.860592386792501,2.3387765333865964,0.5432388208322255,1.4581901962621004,1.4924767195407158,2.875,14,2,0,-1.199490021498441,0.25,4.0,8,0.65,False
confirm_0.20r_2h_8b_cl0.60_any,27,18,66.66666666666666,83.33333333333334,11.216472755924146,0.6231373753291192,4.2402620529003885,2.4504802808024895,0.6658292277614879,1.3617528567449588,1.5791761069433345,2.2222222222222223,15,3,0,-1.199490021498441,0.2,2.0,8,0.6,False
confirm_0.20r_2h_8b_cl0.65_any,27,18,66.66666666666666,83.33333333333334,11.207402559018105,0.6226334755010058,4.236920175423898,2.4512520104370896,0.6545425479211731,1.3610137579617372,1.5606983938522974,2.2222222222222223,15,3,0,-1.199490021498441,0.2,2.0,8,0.65,False
confirm_0.25r_3h_8b_cl0.60_any,27,16,59.25925925925925,87.5,10.946780771277355,0.6841737982048347,5.680558666041596,2.3387765333865964,0.5084709632307123,1.4237662288729966,1.4572384199676425,2.875,14,2,0,-1.199490021498441,0.25,3.0,8,0.6,False
confirm_0.25r_4h_8b_cl0.60_any,27,16,59.25925925925925,87.5,10.946780771277355,0.6841737982048347,5.680558666041596,2.3387765333865964,0.5084709632307123,1.4237662288729966,1.4572384199676425,2.875,14,2,0,-1.199490021498441,0.25,4.0,8,0.6,False
confirm_0.20r_3h_8b_cl0.75_any,27,18,66.66666666666666,83.33333333333334,10.84620542629979,0.6025669681277661,4.132599278584121,2.4512520104370896,0.6341428524830122,1.3630561387309432,1.5679044396984907,2.8333333333333335,14,3,1,-1.199490021498441,0.2,3.0,8,0.75,False
confirm_0.20r_4h_8b_cl0.75_any,27,18,66.66666666666666,83.33333333333334,10.84620542629979,0.6025669681277661,4.132599278584121,2.4512520104370896,0.6341428524830122,1.3630561387309432,1.5679044396984907,2.8333333333333335,14,3,1,-1.199490021498441,0.2,4.0,8,0.75,False
confirm_0.25r_2h_8b_cl0.60_any,27,15,55.55555555555556,86.66666666666667,10.55540421413927,0.7036936142759512,5.513216232272875,2.3387765333865964,0.5272747231793359,1.434587139406905,1.5021346439949819,2.3333333333333335,13,2,0,-1.199490021498441,0.25,2.0,8,0.6,False
confirm_0.25r_2h_8b_cl0.65_any,27,15,55.55555555555556,86.66666666666667,10.547105746867828,0.7031403831245219,5.5096680235607645,2.3387765333865964,0.5137152442791797,1.4330262721519085,1.4805679579808921,2.3333333333333335,13,2,0,-1.199490021498441,0.25,2.0,8,0.65,False
confirm_0.20r_3h_8b_cl0.65_below,27,17,62.96296296296296,82.35294117647058,10.405550127883709,0.6120911839931593,4.005329287313689,2.4512520104370896,0.6693361542179024,1.3104704753427112,1.7319991672075488,3.3529411764705883,14,3,0,-1.199490021498441,0.2,3.0,8,0.65,True
confirm_0.20r_4h_8b_cl0.65_below,27,17,62.96296296296296,82.35294117647058,10.405550127883709,0.6120911839931593,4.005329287313689,2.4512520104370896,0.6693361542179024,1.3104704753427112,1.7319991672075488,3.3529411764705883,14,3,0,-1.199490021498441,0.2,4.0,8,0.65,True
confirm_0.25r_3h_8b_cl0.75_any,27,15,55.55555555555556,86.66666666666667,10.147350558674706,0.6764900372449804,5.338743105131611,2.3387765333865964,0.5327389582784189,1.4464773839121887,1.500534611794751,2.8666666666666667,12,2,1,-1.199490021498441,0.25,3.0,8,0.75,False
confirm_0.25r_4h_8b_cl0.75_any,27,15,55.55555555555556,86.66666666666667,10.147350558674706,0.6764900372449804,5.338743105131611,2.3387765333865964,0.5327389582784189,1.4464773839121887,1.500534611794751,2.8666666666666667,12,2,1,-1.199490021498441,0.25,4.0,8,0.75,False
confirm_0.30r_3h_8b_cl0.65_any,27,13,48.148148148148145,92.3076923076923,10.126519952340706,0.7789630732569773,9.442354476355156,1.1994900214984412,0.5486251628394885,1.5359762042908995,1.3323277122619193,3.3846153846153846,12,1,0,-1.199490021498441,0.3,3.0,8,0.65,False
confirm_0.30r_4h_8b_cl0.65_any,27,13,48.148148148148145,92.3076923076923,10.126519952340706,0.7789630732569773,9.442354476355156,1.1994900214984412,0.5486251628394885,1.5359762042908995,1.3323277122619193,3.3846153846153846,12,1,0,-1.199490021498441,0.3,4.0,8,0.65,False
confirm_0.25r_3h_8b_cl0.60_below,27,14,51.85185185185185,85.71428571428571,9.912846611858395,0.7080604722755997,5.238475318334236,2.3387765333865964,0.5470521480831049,1.396918988508318,1.6219922191129168,3.2857142857142856,12,2,0,-1.199490021498441,0.25,3.0,8,0.6,True
