variant,setups,trades,fill_rate,win_rate,total_r,avg_r,pf,max_dd_r,avg_mae_r,avg_mfe_r,avg_risk_atr,avg_fill_delay_m15,tp,sl,time,worst_year_r,bucket_type,bucket
fill_delay:0-1,17,5,29.411764705882355,80.0,1.7697510909274898,0.353950218185498,2.003046861978402,1.7643752829622,0.6587639678769083,1.2540483937007825,1.226138407106713,0.4,4,1,0,-1.7643752829622,fill_delay,0-1
fill_delay:2-3,17,9,52.94117647058824,88.88888888888889,6.789204782445401,0.7543560869383779,6.3352848856776545,1.272510264760319,0.420152537911258,1.392999247386566,1.3118300718074352,2.2222222222222223,8,1,0,-1.272510264760319,fill_delay,2-3
fill_delay:4-7,17,3,17.647058823529413,100.0,2.8571612192624682,0.9523870730874894,inf,0.0,0.34888065164464344,1.3050208692220366,1.3200614671990925,5.333333333333333,3,0,0,0.8688884740070767,fill_delay,4-7
trigger:<=0.08,17,5,29.411764705882355,60.0,-0.5128372250727257,-0.10256744501454514,0.8311305391613054,2.0726984518010645,0.6730048617004839,1.0350507944255676,1.1048542531395245,2.4,3,2,0,-1.7643752829622,trigger,<=0.08
trigger:0.08-0.15,17,3,17.647058823529413,100.0,2.7872341615938305,0.9290780538646102,inf,0.0,0.2724163968597864,1.375867673536746,1.201482708211346,1.3333333333333333,3,0,0,0.7441988625924455,trigger,0.08-0.15
trigger:0.15-0.30,17,4,23.52941176470588,100.0,4.068796939568831,1.0171992348922076,inf,0.0,0.38383398027183935,1.3012173322256835,1.2809083074002943,3.0,4,0,0,0.7862989389447006,trigger,0.15-0.30
trigger:0.30+,17,5,29.411764705882355,100.0,5.072923216545422,1.0145846433090844,inf,0.0,0.4808450430701313,1.6429142962016612,1.528998892692984,2.0,5,0,0,0.905600966928874,trigger,0.30+
h4_slope:<=-1.0,17,4,23.52941176470588,75.0,1.4067627975253951,0.3516906993813488,2.105502121659005,1.272510264760319,0.5928899972007358,1.144469152028649,1.277344944904544,3.5,3,1,0,-1.272510264760319,h4_slope,<=-1.0
h4_slope:-1.0--0.5,17,6,35.294117647058826,100.0,5.82319558515254,0.9705325975254233,inf,0.0,0.445819402760433,1.397938918460244,1.1734721967019859,1.6666666666666667,6,0,0,0.9641870959214546,h4_slope,-1.0--0.5
h4_slope:-0.5--0.2,17,5,29.411764705882355,80.0,2.1503680197116086,0.43007360394232175,2.218770201825412,1.7643752829622,0.45249624528252996,1.4408896689448816,1.308895381354269,2.0,4,1,0,-1.7643752829622,h4_slope,-0.5--0.2
h4_slope:-0.2-0,17,2,11.76470588235294,100.0,2.0357906902458143,1.0178953451229071,inf,0.0,0.40643850187080116,1.276169669524323,1.6013286083981604,2.0,2,0,0,0.905600966928874,h4_slope,-0.2-0
move24:<=1.5,17,5,29.411764705882355,80.0,2.179881341252427,0.4359762682504854,2.23549755106104,1.7643752829622,0.5242983502132482,1.1161317369787995,1.178908952148944,2.8,4,1,0,-1.7643752829622,move24,<=1.5
move24:1.5-3.0,17,4,23.52941176470588,75.0,1.4504753441251896,0.3626188360312974,2.1398535511211696,1.272510264760319,0.6816146933318508,1.2948681297860014,1.2132250001071072,1.75,3,1,0,-1.272510264760319,move24,1.5-3.0
move24:3.0-5.0,17,4,23.52941176470588,100.0,3.9622206410177476,0.9905551602544369,inf,0.0,0.18869342282690427,1.6921251391928052,1.4809455989354348,2.0,4,0,0,0.7441988625924455,move24,3.0-5.0
move24:5.0+,17,4,23.52941176470588,100.0,3.823539766239993,0.9558849415599983,inf,0.0,0.5047776049546331,1.2984165104599732,1.3065299816207172,2.25,4,0,0,0.7862989389447006,move24,5.0+
