variant,setups,trades,fill_rate,win_rate,total_r,avg_r,pf,max_dd_r,avg_mae_r,avg_mfe_r,avg_risk_atr,avg_fill_delay_m15,tp,sl,time,worst_year_r,retest_r,wait_hours
retest_0.15r_2h,27,23,85.18518518518519,82.6086956521739,12.993073891713609,0.5649162561614612,3.490189036073234,1.674448779084309,0.6844256870347001,1.4479023346125246,1.5071334667809455,1.3478260869565217,19,4,0,-0.21069576643131427,0.15,2.0
retest_0.25r_3h,27,18,66.66666666666666,88.88888888888889,12.040578243925134,0.6689210135513963,4.964778406929047,1.7643752829621997,0.4902484016591501,1.3294694547789943,1.2776981875726365,2.7222222222222223,16,2,0,-1.7643752829622,0.25,3.0
retest_0.25r_4h,27,18,66.66666666666666,88.88888888888889,12.040578243925134,0.6689210135513963,4.964778406929047,1.7643752829621997,0.4902484016591501,1.3294694547789943,1.2776981875726365,2.7222222222222223,16,2,0,-1.7643752829622,0.25,4.0
retest_0.10r_2h,27,24,88.88888888888889,79.16666666666666,12.016159304380587,0.5006733043491911,2.863092585844928,1.6369794024685058,0.7254880360181772,1.45101807851345,1.6066900290030137,0.8333333333333334,19,5,0,-0.4793558745218519,0.1,2.0
retest_0.10r_3h,27,24,88.88888888888889,79.16666666666666,12.016159304380587,0.5006733043491911,2.863092585844928,1.6369794024685058,0.7254880360181772,1.45101807851345,1.6066900290030137,0.8333333333333334,19,5,0,-0.4793558745218519,0.1,3.0
retest_0.15r_3h,27,24,88.88888888888889,79.16666666666666,11.675933381108916,0.4864972242128715,2.7867188826733678,1.674448779084309,0.7093402734310104,1.4070830647533186,1.5174294718361832,1.6666666666666667,19,5,0,-0.5193179847878822,0.15,3.0
retest_0.20r_3h,27,22,81.48148148148148,81.81818181818183,11.611026888566116,0.527773949480278,3.193320404296362,2.5982852314059013,0.6701174445126812,1.3313035167270666,1.4028304471091546,2.772727272727273,18,4,0,-1.2554783732128079,0.2,3.0
retest_0.20r_4h,27,22,81.48148148148148,81.81818181818183,11.611026888566116,0.527773949480278,3.193320404296362,2.5982852314059013,0.6701174445126812,1.3313035167270666,1.4028304471091546,2.772727272727273,18,4,0,-1.2554783732128079,0.2,4.0
retest_0.25r_2h,27,17,62.96296296296296,88.23529411764706,11.416117092635359,0.6715362995667858,4.759152893067294,1.7643752829621997,0.47775497855998783,1.3366057530970068,1.2880792401998682,2.235294117647059,15,2,0,-1.7643752829622,0.25,2.0
retest_0.15r_1h,27,21,77.77777777777779,80.95238095238095,11.401189856917433,0.5429138027103539,3.1850963225870452,1.674448779084309,0.6695258825363273,1.3910165828063583,1.5056177527855608,0.9047619047619048,17,4,0,-0.21069576643131427,0.15,1.0
