variant,setups,trades,fill_rate,win_rate,total_r,avg_r,pf,max_dd_r,avg_mae_r,avg_mfe_r,avg_risk_atr,avg_fill_delay_m15,tp,sl,time,worst_year_r
filled_by_025r_2h,27,17,62.96296296296296,82.35294117647058,9.434484711420074,0.5549696889070632,3.4131586083802343,2.336318461569796,0.6788758775904463,1.2785324392574176,1.7174389869331497,,13,3,1,-1.5732814622216655
skipped_by_025r_2h,27,10,37.03703703703704,70.0,3.5160397226897606,0.35160397226897605,2.1209089564018266,1.269569434013989,0.7233849613158406,1.187118605105562,1.9886504690502715,,7,2,1,-1.2695694340139887
