signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year,variant,retest_r,wait_hours,fill_time,fill,fill_delay_m15,pre_fill_mfe_from_h1_open_r,pre_fill_mae_from_h1_open_r,touch_bar_bear,touch_bar_close_loc_short,confirm_delay_m15,first_m15_bear,first_m15_close_loc_short,first_m15_mfe_r,first_m15_mae_r,bars_held_m15
329,2014-01-22 06:00:00,7,0.0615000637198657,1.3983725348924925,0.6046511627907034,0.1627906976744138,0.2325581395348827,0.7674418604651172,-1.0692116074765723,33.8274938041985,-1.5448731396496012,-4.079780153320934,True,False,False,False,True,False,-0.0390347797764621,0.4941704924274086,pullback_rebreak,0,8,0.3739833523549702,1.3008116603651616,0.4390239353732485,5.723571305606584,0.6341456844279679,1.2682913688559936,19.929,330,2014-01-22 08:00:00,19.828,19.93822500955798,19.695729988530424,0.11022500955797909,1.7922747212109684,347,2014-01-23 00:00:00,19.695729988530424,TP,17,0.8437286635124431,1.4697208977313443,0.9731912194858894,IS_2014_2024,2014,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2014-01-22 08:00:00,19.828,2,0.026495912976398573,0.5210862885358282,False,0.14545454545453018,2,False,0.6428571428569435,0.026495912976398573,0.09715168091345097,64
6965,2015-03-04 09:00:00,10,0.0812452085465174,1.1939165611774314,0.4845360824742264,0.4432989690721513,0.0721649484536222,0.9278350515463778,-1.2042013296032965,39.18762169955771,-1.0911672957211451,-2.765284847076246,True,False,False,True,False,False,-0.545774418076017,-0.3615124699476468,pullback_rebreak,0,8,0.3815609628504994,1.107757634082136,0.3569441265375767,2.769394085205362,0.7508135075445594,1.366234415367978,16.363,6966,2015-03-04 11:00:00,16.301,16.37518678128198,16.21197586246162,0.07418678128198053,0.9131219257010642,6990,2015-03-04 14:45:00,16.21197586246162,TP,24,0.7952899287508481,2.1162799798962872,0.8630127420547122,IS_2014_2024,2015,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2015-03-04 11:00:00,16.301,0,0.045399481990610835,0.4021096976310488,False,0.18840579710146643,4,False,0.18840579710146643,0.045399481990610835,0.4021096976310488,15
8594,2015-06-12 03:00:00,4,0.0511400986596036,0.8212733471548079,0.8095238095237873,0.1666666666667019,0.0238095238095107,0.9761904761904892,-0.1419365965272721,45.30408181441109,-0.5741582365568477,-1.934220262736293,True,False,False,True,False,False,-1.1124258226767954,-0.6876838313835267,pullback_rebreak,0,8,0.664840328649112,0.6843944559623457,-0.3519742916377897,1.0559228749132996,1.1536935114793987,1.1732476387926325,16.065,8595,2015-06-12 05:45:00,16.0,16.072671014798942,15.912794782241269,0.07267101479894222,1.4210182753586715,8603,2015-06-12 08:15:00,15.912794782241269,TP,8,0.1376064449859192,1.376064449858972,0.8559838875352558,IS_2014_2024,2015,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2015-06-12 05:45:00,16.0,2,0.09933345779787264,0.22846695293510885,False,0.29032258064512617,5,False,0.5,0.02980003733936356,0.1490001866968178,10
8824,2015-06-26 03:00:00,4,0.0421767054608691,1.2566178278000286,0.7169811320754894,0.0943396226414923,0.1886792452830182,0.8113207547169817,-0.9937351213413032,43.26673459655692,-0.6691172581639853,-2.465078664753665,True,False,False,True,False,False,-0.7984758385223801,-0.8647069913743627,pullback_rebreak,0,8,0.0711293110075527,0.0948390813433896,-0.0711293110075527,1.873071856532167,1.090649435449086,1.2329080574641915,15.885,8825,2015-06-26 05:45:00,15.819,15.89132650581913,15.732208193017046,0.07232650581912914,1.7148448421660758,8827,2015-06-26 06:45:00,15.732208193017046,TP,2,0.13826189841117634,1.5208808825229887,0.8543452539720469,IS_2014_2024,2015,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2015-06-26 05:45:00,15.819,1,0.16306162998251944,0.2772047709702802,False,0.21739130434778578,6,False,0.3529411764706128,0.16306162998251944,0.11414314098776072,4
10110,2015-09-14 05:00:00,6,0.0692320203300677,1.0399812060479634,0.583333333333323,0.2916666666666738,0.125000000000003,0.8749999999999969,-0.1737890172217459,43.48691019036963,-0.6610859724386414,-1.5954624422335677,True,False,False,True,False,False,-0.2901687040568224,-0.6197277066965641,pullback_rebreak,0,8,0.0577767336693241,0.3033278517639968,-0.5633231532759684,3.1199436181438385,1.473306708567933,1.415529974898609,14.615,10111,2015-09-14 07:00:00,14.503,14.62538480304951,14.356138236340588,0.12238480304950983,1.7677485427412507,10116,2015-09-14 13:45:00,14.356138236340588,TP,5,0.08170949129978469,1.2011295221068625,0.9957262717505369,IS_2014_2024,2015,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2015-09-14 07:00:00,14.503,2,0.24914400559713878,0.2580420057970315,False,0.571428571428557,2,True,0.8421052631578898,0.08898000199897475,0.08008200179908202,27
25528,2018-04-26 07:00:00,8,0.0394449272252988,1.850681573907942,0.5342465753424831,0.3972602739725994,0.0684931506849175,0.9315068493150824,-0.5229315162652481,40.68723896806783,-0.7356140036466299,-4.585035534864087,True,False,False,True,False,False,-0.4869277303063336,-0.0242107347816769,pullback_rebreak,0,8,0.2028144190583811,1.014072095291996,0.1267590119114769,2.281662214407036,1.597163550084988,1.0901275024389905,16.594,25529,2018-04-26 12:00:00,16.534,16.599916739083795,16.454899913099442,0.06591673908379647,1.671108142938072,25535,2018-04-26 14:15:00,16.454899913099442,TP,6,0.9860924691279132,1.835649057914982,0.8207336657200193,IS_2014_2024,2018,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2018-04-26 12:00:00,16.534,11,0.9496391003718182,0.7769774457586823,False,0.5263157894736694,5,True,0.34782608695648815,0.3625894746874137,0.03453233092259038,9
26530,2018-06-27 01:00:00,2,0.0463021919533433,2.1597249672491388,0.7000000000000177,0.2,0.0999999999999822,0.9000000000000178,-1.3211997319099325,37.53720797867332,-1.3374260545152834,-2.9018005804787914,True,False,False,True,False,False,-0.6658978363346656,-0.2907530505688205,pullback_rebreak,0,8,0.8422927372272141,1.5118074770744356,-0.259166996069912,2.872434206441397,2.2029194665941754,1.1662514823145274,16.296,26531,2018-06-27 04:30:00,16.209,16.302945328793,16.096265605448398,0.09394532879300144,2.0289607215067926,26548,2018-06-27 19:00:00,16.096265605448398,TP,17,0.7344697270902446,1.7669851405359787,0.9338877800397402,IS_2014_2024,2018,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2018-06-27 04:30:00,16.209,6,0.4798595357143232,0.20419554711252272,True,0.5,4,True,0.26086956521725024,0.23482487917936123,0.0,58
28781,2018-11-12 07:00:00,8,0.0438231865348008,1.4832330813821966,0.3538461538461517,0.4461538461538482,0.2,0.8,-1.0195047198240266,30.903059034994858,-1.7035067941368751,-6.403921686265907,True,False,False,True,False,False,-1.0437860157169314,-0.8231634683473577,pullback_rebreak,0,8,0.2738276457936082,1.3691382289681628,0.5704742620700476,5.6591046797351785,0.6161122030357097,1.460414110899406,14.203,28782,2018-11-12 09:30:00,14.166,14.20957347798022,14.113711826423737,0.043573477980219266,0.9943019078637005,28788,2018-11-12 13:00:00,14.113711826423737,TP,6,0.20654766195358573,1.468783373892111,0.6262564945733947,IS_2014_2024,2018,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2018-11-12 09:30:00,14.166,0,0.049644127326631184,0.31027579579148346,False,0.6206896551724391,6,False,0.6206896551724391,0.049644127326631184,0.31027579579148346,14
31474,2019-05-01 01:00:00,2,0.0414825353218207,0.8919416258662948,0.7297297297296934,0.0540540540540709,0.2162162162162356,0.7837837837837643,-1.0566791446236004,43.913211711257674,-0.6761960973382865,-1.049608651907974,True,False,False,True,False,False,-0.2010529067822104,-0.3522594062048944,pullback_rebreak,0,8,0.0723195912864575,1.325859173584997,-0.6990893824357273,0.9160481562950996,1.3981787648714543,1.4946048865867168,14.971,31475,2019-05-01 04:15:00,14.906,14.977222380298274,14.820533143642072,0.07122238029827344,1.7169244778731962,31485,2019-05-01 12:30:00,14.820533143642072,TP,10,0.28081060919673323,1.2496072109254952,0.848986738504081,IS_2014_2024,2019,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2019-05-01 04:15:00,14.906,6,0.23929048680226006,0.2127026549353554,False,0.5714285714285352,3,False,0.166666666666568,0.0,0.15952699120152244,33
34749,2019-11-18 01:00:00,2,0.0590930190630162,1.26918545014632,0.6800000000000322,0.2133333333333118,0.1066666666666559,0.8933333333333441,-0.6023556947972031,43.588420594165335,-0.843486449398422,-1.3178774027871978,True,False,False,True,False,False,-0.7836021505537768,-0.2635884077598846,pullback_rebreak,0,8,0.4738292347213352,1.438410176832524,-0.3553719260409864,1.5568674855128728,1.4891775948383792,1.404565231495247,17.0,34750,2019-11-18 04:30:00,16.899,17.008863952859453,16.767163256568658,0.1098639528594525,1.859169739530395,34758,2019-11-18 10:15:00,16.767163256568658,TP,8,0.08191949921475994,1.6019813179774844,0.972445835514545,IS_2014_2024,2019,confirm_0.20r_3h_8b_cl0.65_any,0.2,3.0,2019-11-18 04:30:00,16.899,8,0.13348466839533454,0.20022700259303147,False,0.666666666666864,2,False,0.3703703703703314,0.13348466839533454,0.09177070952179621,23
