recovery_max,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
8,5,100.0,9.901942574319143,1.9803885148638287,inf,0.0,0,4,100.0,7.944093822988048,1.986023455747012,inf,0.0,0,1,100.0,1.957848751331096,1.957848751331096,inf,0.0,0
10,11,81.81818181818183,13.60643144285346,1.236948312986678,14.260043144414308,1.0040180446645142,1,8,75.0,10.878642151735038,1.3598302689668798,11.601697064399364,1.0040180446645142,1,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
12,16,81.25,20.521369854935237,1.2825856159334523,10.865535970873275,1.0539842287562833,1,13,76.92307692307693,17.793580563816814,1.3687369664474471,9.554166234704333,1.0539842287562833,1,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
14,18,77.77777777777779,21.509702463434106,1.1949834701907838,7.967020225885181,1.0539842287562833,1,15,73.33333333333333,18.781913172315686,1.2521275448210458,7.083485774607566,1.0539842287562833,1,3,100.0,2.7277892911184223,0.909263097039474,inf,0.0,0
16,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
18,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
20,20,80.0,25.49073504589488,1.274536752294744,9.256481787199776,1.0539842287562833,1,16,75.0,20.772494954799292,1.2982809346749558,7.728237767965809,1.0539842287562833,1,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0
24,24,75.0,26.849848198758515,1.1187436749482715,6.264147251941234,2.015661956267362,2,19,68.42105263157895,20.740260401486807,1.091592652709832,5.066309201780912,2.015661956267362,2,5,100.0,6.109587797271706,1.2219175594543412,inf,0.0,0
28,25,72.0,25.841240590776813,1.0336496236310726,5.229944847318108,2.015661956267362,2,20,65.0,19.73165279350511,0.9865826396752555,4.229868270827004,2.015661956267362,2,5,100.0,6.109587797271706,1.2219175594543412,inf,0.0,0
32,26,73.07692307692307,27.83074081737072,1.0704131083604123,5.555605536968694,2.015661956267362,2,21,66.66666666666666,21.721153020099017,1.0343406200047152,4.555528960477591,2.015661956267362,2,5,100.0,6.109587797271706,1.2219175594543412,inf,0.0,0
