symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,wave1,wave3,wave2_retrace,wave4_retrace,year
AUDJPY,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2015-10-09,long,536.0,546.0,87.507,82.823,4.081072667080493,10.0,9.0,0.9,0.4081072667080492,0.5194761346321727,1.145602049530313,87.507,2015-10-11,87.92,82.53606563359045,99.49486873281909,2015-12-20,86.942,max_hold,60,5.383934366409548,-0.1816515457732483,-0.1839732679840494,,,,,2015
USDJPY,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2015-10-22,long,552.0,560.0,120.568,118.063,3.5322908976848937,8.0,6.0,0.75,0.4415363622106117,0.6639202785069763,1.127744510978047,120.568,2015-10-23,120.887,117.88570712743098,126.89258574513806,2016-01-03,120.316,max_hold,60,3.0012928725690244,-0.1902513430857674,-0.1935832405128356,,,,,2015
SILVER,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2016-06-15,long,736.0,750.0,17.379,15.808,5.47342204731584,14.0,12.0,0.8571428571428571,0.3909587176654172,0.5028626663458001,1.1024824952259693,17.379,2016-06-16,17.541,15.736244159393372,21.147511681213253,2016-08-25,18.544,max_hold,60,1.804755840606628,0.5557538462725596,0.5363606412680336,,,,,2016
XAUUSD,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2017-07-26,long,1080.0,1094.0,1258.811,1204.832,5.145758652260275,14.0,14.0,1.0,0.3675541894471625,0.3771347438211267,1.0260656922136415,1258.811,2017-07-27,1260.222,1202.2095004014088,1376.2349991971826,2017-10-05,1269.052,max_hold,60,58.01249959859115,0.1522085767911708,0.146175394245652,,,,,2017
USDJPY,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2019-09-05,long,1756.0,1766.0,106.973,104.453,3.662848434523801,10.0,10.0,1.0,0.3662848434523801,0.3806746051594384,1.039285714285716,106.973,2019-09-06,107.071,104.2810027112064,112.6539945775872,2019-11-15,108.773,max_hold,60,2.7899972887936,0.6100364351020376,0.606452202228351,,,,,2019
EURJPY,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2022-03-22,long,2533.0,2549.0,131.89,124.38,6.234267401320377,16.0,13.0,0.8125,0.3896417125825235,0.5823672918164696,1.214380825565914,131.89,2022-03-23,133.51,124.07884192012644,152.34231615974713,2022-06-01,138.59,max_hold,60,9.431158079873557,0.5386401072887245,0.5373147133239404,,,,,2022
GBPJPY,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2023-07-31,long,3288.0,3294.0,182.49,176.3,3.6763480135038513,6.0,2.0,0.3333333333333333,0.6127246689173086,1.9421095321740849,1.0565428109854595,182.49,2023-08-01,182.96,175.87906596592168,196.76186806815664,2023-10-10,182.66,max_hold,60,7.080934034078325,-0.0423672920205448,-0.0451917781552452,,,,,2023
XAUUSD,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2023-10-18,long,3020.0,3034.0,1947.315,1810.288,6.619953869322047,14.0,10.0,0.7142857142857143,0.4728538478087176,0.6785661662470649,1.025031563122595,1947.315,2023-10-19,1950.775,1805.1132282906756,2242.0085434186485,2023-12-29,2062.688,max_hold,60,145.6617717093245,0.7683072825952447,0.76590445585565,,,,,2023
AUDJPY,D1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,2024-04-24,long,3208.0,3217.0,100.806,97.774,4.233749563274035,9.0,4.0,0.4444444444444444,0.4704166181415594,1.0884590318509593,1.0283641160949863,100.806,2024-04-25,100.893,97.59496248522224,107.48607502955552,2024-07-01,107.48607502955552,TP,56,3.2980375147777607,1.9990903681396672,1.9953002353883027,,,,,2024
USDJPY,H1,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,7081.0,7094.0,119.352,118.738,4.598795574971646,13.0,12.0,0.9230769230769232,0.3537535057670496,0.4799774426103685,1.2524429967426711,119.352,,119.508,118.70462169529009,121.11175660941984,,118.70462169529009,SL,14,0.8033783047099092,-1.0,-1.0124474359605735,,,,,2015
