symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
AUDJPY,1.0,100.0,1.99220648648386,1.99220648648386,inf,0.0,0.0
SILVER,2.0,50.0,0.49138623862361364,0.24569311931180682,1.4746785205209048,1.0351979653184518,1.0
USDJPY,10.0,30.0,-1.0847516865601066,-0.10847516865601066,0.846270682821017,5.043518482534632,5.0
XAUUSD,7.0,28.57142857142857,-1.0943717419915713,-0.15633882028451018,0.7844641043315687,4.065151018781101,5.0
CHFJPY,3.0,33.33333333333333,-1.958010219369554,-0.6526700731231847,0.0296653371357931,2.0178710441920664,2.0
EURJPY,5.0,20.0,-2.370312892506548,-0.4740625785013096,0.3184046579637472,2.0141173257580793,3.0
GBPJPY,11.0,27.27272727272727,-3.1407393906940966,-0.2855217627903724,0.5619133454630215,4.1473982914096075,5.0
