symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,wave1,wave3,wave2_retrace,wave4_retrace,year
XAUUSD,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,7173.0,7182.0,1255.569,1237.949,3.941526609760708,9.0,3.0,0.3333333333333333,0.437947401084523,1.3846793254494238,1.053916004540298,1255.569,,1256.518,1236.8314127207232,1295.8941745585537,,1236.8314127207232,SL,48,19.686587279276864,-1.0,-1.0177786020011994,,,,,2018
EURJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,7250.0,7260.0,130.26,129.11,4.057122917336586,10.0,10.0,1.0,0.4057122917336586,0.4833268171087944,1.1913043478260898,130.26,,130.49,129.03913697567026,133.36172604865945,,129.03913697567026,SL,19,1.450863024329749,-1.0,-1.0086155617659105,,,,,2018
XAUUSD,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,7408.0,7417.0,1201.558,1183.118,3.5062243796662194,9.0,3.0,0.3333333333333333,0.3895804866295799,1.5978292952166533,1.3671366594360066,1201.558,,1208.321,1181.803195383748,1261.3776092325038,,1181.803195383748,SL,152,26.51780461625185,-1.0,-1.013198679342619,,,,,2018
XAUUSD,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,8167.0,8173.0,1318.078,1302.288,3.9092101211799446,6.0,5.0,0.8333333333333334,0.6515350201966574,0.7970431326236053,1.0194426852438263,1318.078,,1318.335,1301.2782052134237,1352.598589573153,,1301.2782052134237,SL,63,17.056794786576575,-1.0,-1.020519681709226,,,,,2019
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,8280.0,8290.0,111.234,110.351,3.683130421789809,10.0,7.0,0.7,0.3683130421789809,0.5642977688780095,1.0724801812004614,111.234,,111.299,110.29106457151394,113.31187085697212,,110.29106457151394,SL,98,1.0079354284860642,-1.0,-1.0099212704677036,,,,,2019
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,8468.0,8478.0,111.579,110.843,4.184419467046367,10.0,6.0,0.6,0.4184419467046366,0.7533092111190928,1.080163043478278,111.579,,111.638,110.79902735302971,113.31594529394056,,110.79902735302971,SL,100,0.8389726469702765,-1.0,-1.0119193397259174,,,,,2019
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,8799.0,8810.0,107.734,106.778,3.869891142105444,11.0,9.0,0.8181818181818182,0.3518082856459494,0.4623719309721537,1.0753138075313844,107.734,,107.804,106.71624115686366,109.98551768627269,,106.71624115686366,SL,165,1.087758843136342,-1.0,-1.009193214160556,,,,,2019
XAUUSD,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,8902.0,8907.0,1434.258,1400.418,3.6311450252407775,5.0,4.0,0.8,0.7262290050481555,1.037623297697347,1.143026004728129,1434.258,,1439.098,1398.0881563993744,1521.117687201251,,1521.117687201251,TP,43,41.00984360062557,2.0,1.991465463672366,,,,,2019
EURJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,9001.0,9018.0,117.9,115.85,6.377062142565771,17.0,13.0,0.7647058823529411,0.3751213025038689,0.5120792864949598,1.0439024390243847,117.9,,117.98,115.76963383944792,122.43073232110414,,120.44,max_hold,180,2.210366160552084,1.1129377765110005,1.107282604882393,,,,,2019
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,10906.0,10918.0,140.55,139.37,4.252945124552429,12.0,12.0,1.0,0.3544120937127024,0.3964609861870865,1.118644067796598,140.55,,140.68,139.30063630228923,143.46872739542152,,139.30063630228923,SL,27,1.3793636977107724,-1.0,-1.0144994391494966,,,,,2019
AUDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,10188.0,10196.0,68.986,67.63,3.901129728838693,8.0,6.0,0.75,0.4876412161048366,0.7273861601091812,1.1187315634218291,68.986,,69.147,67.54310209514593,72.35479580970816,,72.35479580970816,TP,100,1.6038979048540796,2.0,1.99220648648386,,,,,2020
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,11004.0,11018.0,105.344,103.176,5.52725318276972,14.0,8.0,0.5714285714285714,0.3948037987692657,0.703654002972531,1.018450184501848,105.344,,105.384,103.0779404427339,109.9961191145322,,103.0779404427339,SL,171,2.306059557266096,-1.0,-1.0043364014465637,,,,,2020
EURJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,11466.0,11475.0,130.46,129.49,4.163814381823681,9.0,8.0,0.8888888888888888,0.4626460424248533,0.5794999397383394,1.113402061855655,130.46,,130.57,129.43176013199374,132.8464797360125,,129.43176013199374,SL,8,1.1382398680062522,-1.0,-1.0109818680151168,,,,,2021
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,12568.0,12580.0,114.312,113.255,4.244545419864239,12.0,11.0,0.9166666666666666,0.3537121183220199,0.4241990004199072,1.0993377483443745,114.312,,114.42,113.19274362767722,116.86551274464556,,113.19274362767722,SL,32,1.2272563723227847,-1.0,-1.008148256733892,,,,,2021
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,15277.0,15287.0,162.76,160.08,4.438378674690929,10.0,8.0,0.8,0.4438378674690929,0.6541640210831825,1.1791044776119486,162.76,,163.23,159.92904397549032,169.8619120490194,,159.92904397549032,SL,155,3.3009560245096736,-1.0,-1.0060588507848882,,,,,2022
SILVER,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,13942.0,13953.0,19.023,17.953,4.2562216915055835,11.0,11.0,1.0,0.3869292446823257,0.4285150980827633,1.1074766355140204,19.023,,19.14,17.89015083015204,21.63369833969592,,21.083,max_hold,180,1.249849169847959,1.5545875829451956,1.5265842039420654,,,,,2022
CHFJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,14644.0,14651.0,143.14,141.057,3.934573409937729,7.0,6.0,0.8571428571428571,0.5620819157053898,0.689447573032784,1.0513682189150395,143.14,,143.247,140.92464765941722,147.8917046811656,,140.92464765941722,SL,155,2.322352340582796,-1.0,-1.0086119576476336,,,,,2023
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,16108.0,16122.0,163.71,161.22,5.348515142537807,14.0,11.0,0.7857142857142857,0.3820367958955576,0.5194249828094376,1.0682730923694723,163.71,,164.2,161.10361255724058,169.43277488551882,,161.10361255724058,SL,60,3.096387442759408,-1.0,-1.0064591400041845,,,,,2023
USDJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,15048.0,15056.0,135.469,133.743,3.811492032828318,8.0,6.0,0.75,0.4764365041035397,0.6937681036965382,1.092120509849358,135.469,,135.628,133.62978974105587,139.6244205178882,,139.6244205178882,TP,52,1.9982102589441129,2.0,1.9949955216398123,,,,,2023
CHFJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,15480.0,15490.0,166.418,164.422,4.493864276841957,10.0,7.0,0.7,0.4493864276841957,0.6619218924807238,1.0310621242484883,166.418,,166.471,164.31095970833576,170.81808058332845,,164.31095970833576,SL,53,2.160040291664245,-1.0,-1.009259086544433,,,,,2023
SILVER,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,15517.0,15522.0,23.585,22.799,3.979693625226544,5.0,4.0,0.8,0.7959387250453088,1.2037813732794016,1.209923664122136,23.585,,23.744,22.749624339835,25.750751320329996,,22.749624339835,SL,17,0.994375660164998,-1.0,-1.0351979653184518,,,,,2023
XAUUSD,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,15738.0,15750.0,1965.498,1931.515,4.543274105053503,12.0,9.0,0.75,0.3786061754211253,0.5229310024953607,1.0359003030927236,1965.498,,1966.705,1929.6450379850403,2040.8639240299192,,2040.8639240299192,TP,58,37.05996201495941,2.0010523486231504,1.9916081943129311,,,,,2023
GBPJPY,H4,VFIB_100_BODY60_LONG_STRICTV_RR2,V字フィボ,,long,18571.0,18581.0,186.7,183.75,3.643317186799259,10.0,9.0,0.9,0.3643317186799259,0.4898923674905227,1.2101694915254262,186.7,,187.32,183.5475745832199,194.86485083356015,,194.86485083356015,TP,42,3.772425416780095,2.0,1.9946983709973376,,,,,2024
