year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak
2015,4.0,25.0,-2.9764606430739935,-0.7441151607684984,0.01698693153457751,2.0206630717658314,3.0
2016,5.0,40.0,-0.42102628002685843,-0.08420525600537168,0.8290758225401473,1.006220306484654,2.0
2017,4.0,25.0,-0.14590975249265226,-0.036477438123163064,0.9317381627666714,1.0136540557280562,2.0
2018,6.0,16.666666666666664,-3.064930904643601,-0.5108218174406002,0.39306340972777265,3.039592843109729,3.0
2019,7.0,28.57142857142857,-1.9673048766581405,-0.28104355380830576,0.6116691045408202,3.031033824354177,4.0
2020,2.0,50.0,0.9878700850372963,0.49393504251864817,1.9836047798471204,1.0043364014465637,1.0
2021,2.0,0.0,-2.019130124749009,-1.0095650623745045,0.0,1.0081482567338922,2.0
2022,2.0,50.0,0.5205253531571772,0.2602626765785886,1.5173905609508662,0.0,1.0
2023,6.0,33.33333333333333,-0.07292443356195943,-0.012154072260326573,0.9820362291192198,2.044457051862885,2.0
2024,1.0,100.0,1.9946983709973376,1.9946983709973376,inf,0.0,0.0
