feature,count,mean,std,min,25%,50%,75%,max
v_move_atr,39.0,4.304061923575341,0.6713109466075448,3.5062243796662194,3.8747472058509986,4.184419467046367,4.51856919094773,6.377062142565771
v_move_bars,39.0,9.820512820512821,2.604366726458457,5.0,8.0,10.0,11.5,17.0
v_recovery_bars,39.0,7.897435897435898,2.817192254662449,3.0,6.0,8.0,10.0,13.0
v_recovery_to_drop_bars,39.0,0.7992001881142153,0.18029293661905246,0.3333333333333333,0.7386363636363636,0.8333333333333334,0.9166666666666666,1.0
v_drop_speed_atr_per_bar,39.0,0.460465386086793,0.10904968745924319,0.3518082856459494,0.38032148565834145,0.4310670299551726,0.48203886010418817,0.7959387250453088
v_recovery_speed_atr_per_bar,39.0,0.6933326017085173,0.3289521329398577,0.3964609861870865,0.49028564935391217,0.5794999397383394,0.7239332201814848,1.756414832335483
fib_ratio,39.0,1.1010941531280756,0.07640896005631731,1.018450184501848,1.043392825351607,1.080163043478278,1.1186878156092135,1.3671366594360066
