trades,win_rate,total_r,pf,max_dd_r,decline_bars,drop_atr_cap,spike_atr,use_down_d1,rr
67,47.76119402985074,10.86410538720719,1.3095179811373068,7.664139686912698,18,2.5,1.5,True,1.5
66,39.39393939393939,9.206439021649723,1.2286704960040005,8.217976761240276,18,2.5,1.5,True,2.0
106,41.509433962264154,1.046354929818916,1.0166910186647853,13.840221114023258,18,2.5,1.5,False,1.5
103,35.92233009708738,4.402132591026271,1.0658556981765674,12.904589991078623,18,2.5,1.5,False,2.0
34,58.82352941176471,14.967207011546705,2.1151871136885623,3.1112742724626115,18,2.5,1.8,True,1.5
33,51.515151515151516,16.30954064598923,2.0545235302718754,3.823677292855325,18,2.5,1.8,True,2.0
61,49.18032786885246,12.541198636944646,1.4087941568144176,8.243108258305377,18,2.5,1.8,False,1.5
58,44.827586206896555,17.896976298151984,1.5642473330351825,8.243108258305377,18,2.5,1.8,False,2.0
13,46.15384615384615,0.6162048925884416,1.0865341348028914,2.547060398078851,18,2.5,2.2,True,1.5
13,46.15384615384615,2.9531463252924786,1.4147126471717266,2.2101189653748197,18,2.5,2.2,True,2.0
26,34.61538461538461,-5.0677178415536615,0.7066206839297767,7.955004591379012,18,2.5,2.2,False,1.5
26,34.61538461538461,-1.2307764088496214,0.9287481362709479,6.955004591379004,18,2.5,2.2,False,2.0
6,66.66666666666666,2.7364191144901175,2.352452869720891,1.0211014503734297,18,2.5,2.5,True,1.5
6,66.66666666666666,4.07336054719415,3.013225288585623,1.0211014503734297,18,2.5,2.5,True,2.0
11,45.45454545454545,0.15006727093138394,1.024625202248272,3.0609354969911,18,2.5,2.5,False,1.5
11,45.45454545454545,1.9870087036354096,1.3260570468991268,3.0609354969911,18,2.5,2.5,False,2.0
4,50.0,-0.21946084018127043,0.8915332664054196,1.0211014503734297,18,2.5,3.0,True,1.5
4,50.0,0.11748059252276088,1.0580638264265025,1.0211014503734297,18,2.5,3.0,True,2.0
6,33.33333333333333,-2.2592948867989406,0.443952781774428,3.0609354969910996,18,2.5,3.0,False,1.5
6,33.33333333333333,-1.9223534540949092,0.5268792503176591,3.0609354969910996,18,2.5,3.0,False,2.0
67,47.76119402985074,10.86410538720719,1.3095179811373068,7.664139686912698,18,3.0,1.5,True,1.5
66,39.39393939393939,9.206439021649723,1.2286704960040005,8.217976761240276,18,3.0,1.5,True,2.0
106,41.509433962264154,1.046354929818916,1.0166910186647853,13.840221114023258,18,3.0,1.5,False,1.5
103,35.92233009708738,4.402132591026271,1.0658556981765674,12.904589991078623,18,3.0,1.5,False,2.0
34,58.82352941176471,14.967207011546705,2.1151871136885623,3.1112742724626115,18,3.0,1.8,True,1.5
33,51.515151515151516,16.30954064598923,2.0545235302718754,3.823677292855325,18,3.0,1.8,True,2.0
61,49.18032786885246,12.541198636944646,1.4087941568144176,8.243108258305377,18,3.0,1.8,False,1.5
58,44.827586206896555,17.896976298151984,1.5642473330351825,8.243108258305377,18,3.0,1.8,False,2.0
13,46.15384615384615,0.6162048925884416,1.0865341348028914,2.547060398078851,18,3.0,2.2,True,1.5
13,46.15384615384615,2.9531463252924786,1.4147126471717266,2.2101189653748197,18,3.0,2.2,True,2.0
26,34.61538461538461,-5.0677178415536615,0.7066206839297767,7.955004591379012,18,3.0,2.2,False,1.5
26,34.61538461538461,-1.2307764088496214,0.9287481362709479,6.955004591379004,18,3.0,2.2,False,2.0
6,66.66666666666666,2.7364191144901175,2.352452869720891,1.0211014503734297,18,3.0,2.5,True,1.5
6,66.66666666666666,4.07336054719415,3.013225288585623,1.0211014503734297,18,3.0,2.5,True,2.0
11,45.45454545454545,0.15006727093138394,1.024625202248272,3.0609354969911,18,3.0,2.5,False,1.5
