trades,win_rate,total_r,pf,max_dd_r,shelf_bars,drop_win,shelf_atr,move_atr,rr
120,40.0,-2.553454561195517,0.9652261363185703,12.687156193798872,4,6,2.0,2.0,1.5
117,30.76923076923077,-13.278695259966922,0.8393308828194475,18.24318275689101,4,6,2.0,2.0,2.0
71,33.80281690140845,-12.561248707985895,0.7380680172809416,18.827778193744386,4,6,2.0,2.5,1.5
70,24.285714285714285,-20.529576583457732,0.6207647916670591,27.296106069216215,4,6,2.0,2.5,2.0
33,42.42424242424242,1.3095631636095106,1.0676364134238194,5.2137273493737295,4,6,2.0,3.0,1.5
33,33.33333333333333,-0.6904368363904887,0.9692083033019119,9.213727349373706,4,6,2.0,3.0,2.0
11,54.54545454545454,3.7438259757458976,1.7361057028146711,3.0315663549138385,4,6,2.0,3.5,1.5
11,45.45454545454545,3.7438259757459207,1.611147847800309,3.0315663549138376,4,6,2.0,3.5,2.0
133,38.34586466165413,-8.184137617732645,0.902023998193188,17.760622329200075,4,6,2.5,2.0,1.5
128,28.90625,-23.46347134544085,0.7469927505178284,31.31476233726751,4,6,2.5,2.0,2.0
74,32.432432432432435,-15.589059718728231,0.6942359856031187,21.855589204486723,4,6,2.5,2.5,1.5
73,23.28767123287671,-23.55738759420007,0.5878835126241969,30.323917079958548,4,6,2.5,2.5,2.0
33,42.42424242424242,1.3095631636095106,1.0676364134238194,5.2137273493737295,4,6,2.5,3.0,1.5
33,33.33333333333333,-0.6904368363904887,0.9692083033019119,9.213727349373706,4,6,2.5,3.0,2.0
11,54.54545454545454,3.7438259757458976,1.7361057028146711,3.0315663549138385,4,6,2.5,3.5,1.5
11,45.45454545454545,3.7438259757459207,1.611147847800309,3.0315663549138376,4,6,2.5,3.5,2.0
136,38.970588235294116,-6.202621128340056,0.9266298574725481,17.73017923508855,4,6,3.0,2.0,1.5
131,29.770992366412212,-20.481954856048272,0.7815142462160789,28.333245847874927,4,6,3.0,2.0,2.0
76,32.89473684210527,-15.10474847549312,0.7094718735470913,21.371277961251607,4,6,3.0,2.5,1.5
75,24.0,-22.57307635096496,0.6119375097693177,29.339605836723443,4,6,3.0,2.5,2.0
34,44.11764705882353,2.800574287835711,1.1446442643011427,5.2137273493737295,4,6,3.0,3.0,1.5
34,35.294117647058826,1.3005742878357083,1.05800224856734,9.213727349373706,4,6,3.0,3.0,2.0
11,54.54545454545454,3.7438259757458976,1.7361057028146711,3.0315663549138385,4,6,3.0,3.5,1.5
11,45.45454545454545,3.7438259757459207,1.611147847800309,3.0315663549138376,4,6,3.0,3.5,2.0
212,38.20754716981132,-12.752897420449106,0.9037427777187717,22.45035096749502,4,9,2.0,2.0,1.5
204,29.901960784313726,-27.536314043094098,0.8097921759006812,35.250517276756725,4,9,2.0,2.0,2.0
143,37.06293706293706,-13.49660660423243,0.8529562627396232,21.59975127722934,4,9,2.0,2.5,1.5
