symbol,structure,signal_time,entry_time,exit_time,exit_reason,r_after_cost,is_oos
NAS100,Squeeze_v2,2017-06-14 09:00:00,2017-06-14 13:00:00,2017-06-14 17:00:00,stop,-1.0290929290205624,False
NAS100,Squeeze_v2,2018-07-31 13:00:00,2018-07-31 17:00:00,2018-08-07 13:00:00,target,1.9818562203794785,False
NAS100,Squeeze_v2,2020-01-28 14:00:00,2020-01-28 18:00:00,2020-02-05 06:00:00,target,1.9879773119929345,False
NAS100,Squeeze_v2,2022-08-30 05:00:00,2022-08-30 09:00:00,2022-08-30 13:00:00,stop,-1.0087169740515483,False
NAS100,LongLiquidation,2017-06-06 17:00:00,2017-06-07 05:00:00,2017-06-08 09:00:00,stop,-1.0607192656475546,False
NAS100,LongLiquidation,2017-11-17 18:00:00,2017-11-19 23:00:00,2017-11-21 14:00:00,stop,-1.0437360755209983,False
NAS100,LongLiquidation,2017-12-19 14:00:00,2017-12-19 18:00:00,2018-01-03 14:00:00,stop,-1.0347374265297578,False
NAS100,LongLiquidation,2018-02-07 22:00:00,2018-02-08 02:00:00,2018-02-09 14:00:00,target,1.9894041904170259,False
NAS100,LongLiquidation,2018-04-05 21:00:00,2018-04-06 01:00:00,2018-04-12 13:00:00,stop,-1.0129605629084768,False
NAS100,LongLiquidation,2018-05-08 13:00:00,2018-05-08 17:00:00,2018-05-09 13:00:00,stop,-1.027937786750965,False
NAS100,LongLiquidation,2018-06-21 13:00:00,2018-06-21 17:00:00,2018-06-25 18:00:00,target,1.9837719683438815,False
NAS100,LongLiquidation,2018-07-19 09:00:00,2018-07-19 13:00:00,2018-07-23 21:00:00,stop,-1.0339176113516204,False
NAS100,LongLiquidation,2018-11-08 18:00:00,2018-11-08 22:00:00,2018-11-12 11:00:00,target,1.980078730843785,False
NAS100,LongLiquidation,2019-10-29 13:00:00,2019-10-29 17:00:00,2019-10-30 17:00:00,stop,-1.0346825784021123,False
NAS100,LongLiquidation,2019-12-09 19:00:00,2019-12-09 22:00:00,2019-12-12 14:00:00,stop,-1.0248070193133862,False
NAS100,LongLiquidation,2020-11-06 06:00:00,2020-11-06 10:00:00,2020-11-08 23:00:00,stop,-1.007926747821245,False
NAS100,LongLiquidation,2021-02-16 14:00:00,2021-02-16 18:00:00,2021-02-18 14:00:00,target,1.9840761705352217,False
NAS100,LongLiquidation,2021-10-08 13:00:00,2021-10-08 17:00:00,2021-10-14 13:00:00,stop,-1.0101838738830098,False
NAS100,LongLiquidation,2022-12-02 10:00:00,2022-12-02 14:00:00,2022-12-13 10:00:00,stop,-1.0059120951905298,False
