timeframe,variant,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars
M5,v2_relaxed,32,56.25,10.139739162752939,0.31686684883602934,1.6673678646709653,3.3170138850961486,3,1.6166009274033266,21.65625
M5,v2_context,23,60.86956521739131,9.862329353257271,0.42879692840249006,2.013983564714823,2.176677076756273,2,1.5551098942165187,21.565217391304348
M5,v1_mechanical,79,48.10126582278481,5.08960417993984,0.06442536936632709,1.1113330467264124,5.776772792846658,4,1.6339048248812362,22.189873417721518
M15,v2_relaxed,10,40.0,1.8287833564944247,0.18287833564944247,1.2847332383946206,3.2917516020319173,3,1.9106042221039061,22.9
H1,v2_relaxed,1,100.0,1.0711988801876366,1.0711988801876366,inf,0.0,0,1.0976809291415714,7.0
H1,v1_mechanical,5,60.0,0.8965815666217922,0.17931631332435843,1.4339743233939037,1.041447095742752,1,1.3841405704656398,30.4
M15,v2_context,8,37.5,0.8251432876689386,0.10314291095861733,1.1540509900820344,2.2252559242510355,2,1.7430980844941877,14.25
M30,v1_mechanical,7,42.857142857142854,0.2982302491135578,0.04260432130193682,1.087799514778192,3.3967186477849833,4,1.3818149199902516,32.714285714285715
M30,v2_context,4,25.0,-1.333713206850562,-0.3334283017126405,0.4269813187612824,1.214380880800542,3,1.290431290103388,26.5
M30,v2_relaxed,4,25.0,-1.333713206850562,-0.3334283017126405,0.4269813187612824,1.214380880800542,3,1.290431290103388,26.5
M15,v1_mechanical,24,33.33333333333333,-4.114938959437754,-0.17145578997657307,0.7662344785018927,10.278149807708068,6,1.7939131399473738,19.25
