sample,timeframe,variant,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars
IS_2014_2024,M5,v2_context,22,63.63636363636363,10.926626221081227,0.49666482823096486,2.2614403296505032,2.176677076756273,2,1.5705598529593685,21.545454545454547
IS_2014_2024,M5,v2_relaxed,30,56.666666666666664,9.793150547071072,0.3264383515690357,1.6931078594085551,3.3170138850961486,3,1.6350763746195525,21.966666666666665
IS_2014_2024,M15,v2_relaxed,8,50.0,3.9039434724331095,0.4879929340541387,1.8979463882670915,3.2917516020319173,3,2.0050710455874845,25.25
IS_2014_2024,M15,v2_context,6,50.0,2.9003034036076234,0.48338390060127057,1.8839317070099924,2.2252559242510355,2,1.8132184699357197,14.5
OOS_2025_2026,M5,v1_mechanical,10,60.0,2.60274456395064,0.26027445639506397,1.6018308547369629,1.1319758672698401,1,1.446895436168336,18.4
IS_2014_2024,M5,v1_mechanical,69,46.3768115942029,2.4868596159891982,0.03604144370998838,1.0600829845101627,5.776772792846658,3,1.6610076348396277,22.73913043478261
IS_2014_2024,H1,v2_relaxed,1,100.0,1.0711988801876366,1.0711988801876366,inf,0.0,0,1.0976809291415714,7.0
IS_2014_2024,H1,v1_mechanical,5,60.0,0.8965815666217922,0.17931631332435843,1.4339743233939037,1.041447095742752,1,1.3841405704656398,30.4
OOS_2025_2026,M5,v2_relaxed,2,50.0,0.3465886156818645,0.17329430784093225,1.3256503200939544,0.0,1,1.3394692191599429,17.0
IS_2014_2024,M30,v1_mechanical,7,42.857142857142854,0.2982302491135578,0.04260432130193682,1.087799514778192,3.3967186477849833,4,1.3818149199902516,32.714285714285715
OOS_2025_2026,M5,v2_context,1,0.0,-1.064296867823956,-1.064296867823956,0.0,0.0,1,1.2152108018738252,22.0
IS_2014_2024,M30,v2_context,4,25.0,-1.333713206850562,-0.3334283017126405,0.4269813187612824,1.214380880800542,3,1.290431290103388,26.5
IS_2014_2024,M30,v2_relaxed,4,25.0,-1.333713206850562,-0.3334283017126405,0.4269813187612824,1.214380880800542,3,1.290431290103388,26.5
IS_2014_2024,M15,v1_mechanical,22,36.36363636363637,-2.0397788434990693,-0.09271722015904861,0.8686360230028117,10.278149807708068,6,1.8176564319271726,19.772727272727273
OOS_2025_2026,M15,v1_mechanical,2,0.0,-2.0751601159386848,-1.0375800579693424,0.0,1.0459739918559876,2,1.5327369281695922,13.5
OOS_2025_2026,M15,v2_context,2,0.0,-2.0751601159386848,-1.0375800579693424,0.0,1.0459739918559876,2,1.5327369281695922,13.5
OOS_2025_2026,M15,v2_relaxed,2,0.0,-2.0751601159386848,-1.0375800579693424,0.0,1.0459739918559876,2,1.5327369281695922,13.5
