case,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,symbols
Primary all,18,61.111111111111114,13.609673963145719,0.7560929979525399,2.7790857172703896,2.4247087438185613,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD"
Primary core4 candidate,11,72.72727272727273,12.55461407439882,1.1413285522180745,4.9805809410896265,1.0756784981731755,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD"
Primary core4 practical,9,88.88888888888889,14.669944020037766,1.6299937800041961,15.124248967080074,0.0,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD"
Primary core4 strict,8,100.0,15.708579352382134,1.9635724190477668,inf,0.0,0,"CHFJPY,EURJPY,GBPJPY,XAUUSD"
GBPJPY practical,4,100.0,7.92461498008352,1.98115374502088,inf,0.0,0,GBPJPY
