strategy,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_dd_pct_compounded,max_loss_streak,max_win_streak
H4 Sharp Drop V,39,30.76923076923077,-7.1645932060144,-0.18370751810293334,0.7226634935971983,13.199734175306071,12.580063818170744,5,2
TrendBreakV1,461,36.8763557483731,191.52982587075968,0.41546599971965226,1.6235694706970738,14.022501305097421,13.150490467389393,13,5
