scenario,symbol_filter,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_dd_pct_compounded,max_loss_streak,max_win_streak,linear_final_jpy_1pct,compound_final_jpy_1pct
trendbreak_only,recommended_ex_audjpy,381,39.37007874015748,194.6070981564405,0.5107797851875079,1.7942140570952136,11.941818281770324,11.314831703224264,11,6,2946070.9815644044,6486395.858380242
h4_v_only,recommended_ex_audjpy,38,28.947368421052634,-9.156799692498263,-0.2409684129604806,0.645546542068028,13.199734175306071,12.580063818170705,5,2,908432.0030750174,909910.4469673138
all_trades,recommended_ex_audjpy,419,38.424821002386636,185.45029846394226,0.44260214430535144,1.6846604807244159,18.425211742182825,17.054260354932694,11,6,2854502.9846394225,5902039.354705702
trendbreak_priority_add_h4_when_free,recommended_ex_audjpy,419,38.424821002386636,185.45029846394226,0.44260214430535144,1.6846604807244159,18.425211742182825,17.054260354932694,11,6,2854502.9846394225,5902039.354705702
same_symbol_first_wins,recommended_ex_audjpy,419,38.424821002386636,185.45029846394226,0.44260214430535144,1.6846604807244159,18.425211742182825,17.054260354932694,11,6,2854502.9846394225,5902039.354705702
