exit_time,strategy,symbol,r,equity,drawdown_pct
2015-02-12 08:00:00,TrendBreakV1,XAUUSD,-1.0503474484384268,989496.5255156157,1.0503474484384294
2015-03-04 15:00:00,TrendBreakV1,CHFJPY,-1.052768521271677,979079.4175759103,2.0920582424089664
2015-03-06 09:00:00,TrendBreakV1,EURJPY,2.972997271970248,1008187.4219508644,0.0
2015-03-06 13:00:00,TrendBreakV1,AUDJPY,-1.0443630684387673,997658.2848553646,1.0443630684387706
2015-03-10 03:00:00,TrendBreakV1,USDJPY,2.971086097627632,1027299.5714585327,0.0
2015-03-10 03:00:00,TrendBreakV1,XAUUSD,2.9510934172022325,1057616.1414867921,0.0
2015-03-26 12:00:00,TrendBreakV1,USDJPY,-1.029011016003352,1046733.1548838634,1.0290110160033552
2015-03-31 02:00:00,TrendBreakV1,SILVER,-1.1623464464750315,1034566.4892539949,2.1793967895000295
2015-04-02 02:00:00,TrendBreakV1,AUDJPY,2.9673531137616065,1065265.7301868075,0.0
2015-04-06 12:00:00,TrendBreakV1,XAUUSD,-1.0593873058412362,1053980.4402677314,1.059387305841239
2015-04-15 19:00:00,TrendBreakV1,GBPJPY,-1.0276295705420824,1043149.4255958106,2.076130299161924
2015-04-22 12:00:00,TrendBreakV1,CHFJPY,-1.0407363025905787,1032292.9908333699,3.095259560040046
2015-04-27 10:00:00,TrendBreakV1,XAUUSD,-1.058172076186841,1021369.5546599373,4.120678463877032
2015-05-18 07:00:00,TrendBreakV1,AUDJPY,-1.0281407281363402,1010868.4382836937,5.106452818450705
2015-05-20 18:00:00,TrendBreakV1,USDJPY,2.9617022020420607,1040807.35108009,2.2959885419789425
2015-06-05 12:00:00,TrendBreakV1,SILVER,2.7928110527233883,1069875.1338186124,0.0
2015-06-29 01:00:00,TrendBreakV1,AUDJPY,-1.0238109622459353,1058921.634916234,1.0238109622459397
2015-06-29 06:00:00,TrendBreakV1,CHFJPY,-1.0228727490525542,1048090.2140788542,2.036211427963862
