symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_dd_pct_compounded,max_loss_streak,max_win_streak
XAUUSD,82,42.68292682926829,52.10968084869907,0.6354839127890131,2.0633013965252784,9.43949029909907,9.158270923233555,7,4
SILVER,66,43.93939393939394,37.10640574518097,0.5622182688663784,1.8553183204427774,6.4116375978686335,6.249349086277765,5,5
GBPJPY,70,40.0,35.96486669396931,0.5137838099138473,1.8500895071337273,7.443559436878999,7.3444537235464775,6,9
USDJPY,74,36.486486486486484,28.824831606243006,0.3895247514357163,1.5964320800255267,9.370884365293918,8.989943114280106,9,4
CHFJPY,67,35.82089552238806,22.39275000761271,0.3342201493673539,1.4944837852759771,9.370950919527427,9.948129301683336,10,3
EURJPY,60,30.0,9.051763562237177,0.1508627260372863,1.2127174531601213,9.391596867582713,9.061607973877203,7,2
AUDJPY,81,25.925925925925924,-1.085065799196937,-0.013395874064159716,0.9825326620083887,17.953720538557196,16.609424925010952,12,3
