year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_dd_pct_compounded,max_loss_streak,max_win_streak
2015.0,34,35.294117647058826,11.437919312943949,0.336409391557175,1.4855359831951707,5.38016945724997,5.265816291804339,5,2
2016.0,44,34.090909090909086,13.697113846749714,0.3112980419715844,1.4475151093865033,8.210190312877167,8.138970128512984,6,3
2017.0,43,34.883720930232556,14.383273437677154,0.33449473110877104,1.4846346931948933,7.680403162955436,7.432421182512858,7,3
2018.0,55,32.72727272727273,13.424755666568608,0.2440864666648838,1.341027796628116,14.022501305097425,13.1504904673894,13,2
2019.0,53,49.056603773584904,46.005756282968534,0.8680331374145006,2.5828496610676375,4.436771523384401,4.412896305927032,4,5
2020.0,52,36.53846153846153,21.35325425446509,0.4106395048935594,1.6198780145598979,10.408281175990679,9.934087629898286,10,5
2021.0,46,39.130434782608695,23.391455715753406,0.5085099068642045,1.7920098240500886,5.690231373654301,5.670192429132836,4,4
2022.0,44,40.909090909090914,25.972141670540893,0.5902759470577476,1.953245547986464,4.275991175677021,4.207985710282388,4,3
2023.0,46,32.608695652173914,12.086416556159826,0.2627481860034745,1.3747313759917013,9.367710057237101,8.987075949652983,9,3
2024.0,44,31.818181818181817,9.777739126932522,0.22222134379392094,1.3114354922436815,7.4745145818206655,7.293439142556929,7,3
nan,39,30.76923076923077,-7.1645932060144,-0.18370751810293334,0.7226634935971983,13.199734175306071,12.580063818170744,5,2
