name,trades,win_rate,total_r,avg_r,pf,max_dd_r,is_trades,is_r,oos_trades,oos_r,oos_2025_trades,oos_2025_r,ex_2026_trades,ex_2026_r,worst_year_r,worst_2y_r,same_bar_ambiguous,avg_mae_r,spread,slip
core_no_time,31,67.74193548387096,8.441320847505969,0.2723006725001925,1.7371168205383862,3.609225993593805,28,4.923579533951656,3,3.517741313554313,1,1.1476422924876974,29,6.071221826439354,-1.4444937321413587,0.010537393907035064,0,0.8064365163025341,0.03,0.01
core_no_time,31,64.51612903225806,3.2141480515858976,0.10368219521244831,1.2401878220335047,4.574438179270272,28,-0.2377863128118871,3,3.4519343643977844,1,1.10575612647787,29,0.8679698136659828,-1.960088717854294,-1.4101347050367457,0,0.8064365163025341,0.05,0.02
core_no_time,31,61.29032258064516,-3.3198179433152966,-0.10709090139726764,0.7900318193717746,8.366897642143797,28,-6.689493621267392,3,3.3696756779520953,1,1.0533984189655703,29,-5.636095202301822,-2.6045824499956463,-3.2872243452759293,0,0.8064365163025341,0.08,0.03
core_no_time,31,45.16129032258064,-13.774163535156974,-0.4443278559728056,0.36546828283236077,18.053659376072368,28,-17.01222531479599,3,3.2380617796390156,1,0.9696260869458927,29,-16.042599227850097,-3.6357724214217,-6.424949621655264,0,0.8064365163025341,0.12,0.05
guard_ex_11_12,27,77.77777777777779,12.410203454375822,0.4596371649768823,2.6584693252800755,1.573281462221665,24,8.89246214082151,3,3.517741313554313,1,1.1476422924876974,25,10.040104433309207,-0.411420287069699,0.8418995524709187,0,0.7755763800211068,0.03,0.01
guard_ex_11_12,27,74.07407407407408,7.803464899962361,0.2890172185171245,1.8875143638105802,2.031906631998982,24,4.351530535564576,3,3.4519343643977844,1,1.10575612647787,25,5.457286662042446,-0.9005565167253036,0.08672909289259179,0,0.7755763800211068,0.05,0.02
guard_ex_11_12,27,70.37037037037037,2.045041706944648,0.07574228544239438,1.1957690922783917,3.2525293332047505,24,-1.3246339710074473,3,3.3696756779520953,1,1.0533984189655703,25,-0.271235552041877,-1.719757633792428,-1.4206436332782166,0,0.7755763800211068,0.08,0.03
guard_ex_11_12,27,51.85185185185185,-7.168435401883577,-0.2654976074771695,0.5253281615058475,11.447931242798969,24,-10.40649718152259,3,3.2380617796390156,1,0.9696260869458927,25,-9.436871094576698,-3.5024762816739314,-4.29760691638946,0,0.7755763800211068,0.12,0.05
aggressive_ex_7_11_12,25,80.0,13.004284191400826,0.520171367656033,3.200518798773454,1.2695694340139887,22,9.486542877846512,3,3.517741313554313,1,1.1476422924876974,23,10.63418517033421,-1.1783067293721479,0.8418995524709187,0,0.7596797055143832,0.03,0.01
aggressive_ex_7_11_12,25,76.0,9.032810226607296,0.36131240906429185,2.3360983982707393,1.5816418757979465,22,5.580875862209512,3,3.4519343643977844,1,1.10575612647787,23,6.686631988687381,-1.3209521128698256,0.23541919444781068,0,0.7596797055143832,0.05,0.02
aggressive_ex_7_11_12,25,72.0,4.068467770614541,0.16273871082458163,1.5188707133523172,2.015887362352417,22,0.6987920926624456,3,3.3696756779520953,1,1.0533984189655703,23,1.7521905116280159,-1.511976803794983,-0.6569706047629152,0,0.7596797055143832,0.08,0.03
aggressive_ex_7_11_12,25,52.0,-3.874480158973677,-0.15497920635894707,0.6653999793451977,6.140943199786268,22,-7.112541938612693,3,3.2380617796390156,1,0.9696260869458927,23,-6.1429158516668,-2.490249263106366,-3.30016903456675,0,0.7596797055143832,0.12,0.05
strict_pullback_1_0,21,66.66666666666666,6.126016900068232,0.2917150904794396,1.7758204662126011,2.5257836852107856,18,2.608275586513919,3,3.517741313554313,1,1.1476422924876974,19,3.7559178790016166,-1.2695694340139887,-0.8126822556340375,0,0.8100598093677185,0.03,0.01
strict_pullback_1_0,21,66.66666666666666,2.541502264112547,0.12102391733869271,1.274506251473107,3.212960909145686,18,-0.9104321002852377,3,3.4519343643977844,1,1.10575612647787,19,0.19532402619263223,-1.4852249812251184,-1.7828280601410234,0,0.8100598093677185,0.05,0.02
