family,lookback,box_bars,move_bars,move_atr,trigger_atr,range_atr,body_max,close_location,upper_wick,box_width_max,pullback_atr,bb_z,rsi_high,h4,d1,hour_filter,rr,stop_buffer_atr,max_risk_atr,max_hold,trades,wins,win_rate,total_r,avg_r,pf,max_dd_r,max_loss_streak,is_trades,is_r,oos_trades,oos_r,worst_year_r,worst_2y_r,avg_mae_r,avg_mfe_r,score
pullback_rebreak,any,8,24,0.8,0.05,0.5,0.85,0.75,0.0,1.5,0.6,,,down,any,ex_7_11_12,1.2,0.15,2.5,24,25,20,80.0,13.004284191400826,0.520171367656033,3.200518798773454,1.2695694340139887,1,22,9.486542877846512,3,3.517741313554313,-1.1783067293721479,0.8418995524709187,0.7596797055143832,-0.13092216771890738,70.83182068070442
stretch_wick_short,any,any,6,0.8,1.8,0.7,0.85,0.75,0.4,999.0,0.0,1.6,68.0,not_up,any,no_rollover,0.6,0.15,2.5,12,31,23,74.19354838709677,0.4922049804224432,0.0158775800136272,1.0622306330243712,2.8115098011959256,2,28,-0.9136557394466506,3,1.4058607198690938,-1.4639990735910773,-2.1338803810698233,0.6101831596355648,-0.07172796191113064,0.2730633264164517
failed_high_sweep,48,any,6,0.8,0.15,0.7,0.85,0.75,0.45,999.0,0.0,1.6,,down_or_neutral,any,no_rollover,1.0,0.25,2.5,8,47,29,61.702127659574465,0.5783845939764042,0.012306055190987323,1.0331562313435065,3.4325197651769432,3,44,-0.6610816451734107,3,1.239466239149815,-2.128811042398607,-2.452842733851762,0.7102395933452478,-0.09358702879669296,-1.4985279061072456
breakdown,72,any,12,0.8,0.05,0.8,0.85,0.8,0.0,999.0,0.0,,,down,any,ex_11_12,1.2,0.15,2.5,24,182,96,52.74725274725275,-8.477033413375246,-0.046577106666896954,0.9151472977714684,21.179224704526526,5,171,-10.267640029421285,11,1.7906066160460357,-7.756089229098549,-11.44717263161261,0.8369019255255599,-0.1911945391692664,-46.37360262506838
