hour,name,trades,win_rate,total_r
1,core_no_time,2,100.0,2.149253108464392
2,core_no_time,7,57.14285714285714,0.2858029616266171
4,core_no_time,4,75.0,1.6352168394905198
6,core_no_time,4,75.0,1.798507458844031
7,core_no_time,2,50.0,-0.5940807370250037
8,core_no_time,2,100.0,1.6580700676758942
10,core_no_time,2,100.0,0.8646347872286462
11,core_no_time,3,0.0,-3.6936191557028106
12,core_no_time,1,0.0,-0.27526345116704404
13,core_no_time,2,100.0,2.318989704603068
16,core_no_time,2,100.0,2.293809263467659
1,guard_ex_11_12,2,100.0,2.149253108464392
2,guard_ex_11_12,7,57.14285714285714,0.2858029616266171
4,guard_ex_11_12,4,75.0,1.6352168394905198
6,guard_ex_11_12,4,75.0,1.798507458844031
7,guard_ex_11_12,2,50.0,-0.5940807370250037
8,guard_ex_11_12,2,100.0,1.6580700676758942
10,guard_ex_11_12,2,100.0,0.8646347872286462
13,guard_ex_11_12,2,100.0,2.318989704603068
16,guard_ex_11_12,2,100.0,2.293809263467659
1,aggressive_ex_7_11_12,2,100.0,2.149253108464392
2,aggressive_ex_7_11_12,7,57.14285714285714,0.2858029616266171
4,aggressive_ex_7_11_12,4,75.0,1.6352168394905198
6,aggressive_ex_7_11_12,4,75.0,1.798507458844031
8,aggressive_ex_7_11_12,2,100.0,1.6580700676758942
10,aggressive_ex_7_11_12,2,100.0,0.8646347872286462
13,aggressive_ex_7_11_12,2,100.0,2.318989704603068
16,aggressive_ex_7_11_12,2,100.0,2.293809263467659
1,strict_pullback_1_0,2,100.0,2.149253108464392
2,strict_pullback_1_0,6,66.66666666666666,1.464109690998765
4,strict_pullback_1_0,3,100.0,2.767152602490073
6,strict_pullback_1_0,2,50.0,-0.22683270356768803
7,strict_pullback_1_0,1,0.0,-1.5732814622216655
8,strict_pullback_1_0,1,100.0,0.7683458634673688
11,strict_pullback_1_0,2,0.0,-2.4482314277369377
12,strict_pullback_1_0,1,0.0,-0.27526345116704404
13,strict_pullback_1_0,2,100.0,2.318989704603068
16,strict_pullback_1_0,1,100.0,1.1817749747379007
1,tp1_guard_ex_11_12,2,100.0,1.7492531084643836
2,tp1_guard_ex_11_12,7,57.14285714285714,-0.5141970383733986
4,tp1_guard_ex_11_12,4,75.0,1.0352168394905241
6,tp1_guard_ex_11_12,4,75.0,1.1985074588440212
7,tp1_guard_ex_11_12,2,50.0,-0.7940807370249975
8,tp1_guard_ex_11_12,2,100.0,1.2580700676758607
10,tp1_guard_ex_11_12,2,100.0,0.6646347872286656
13,tp1_guard_ex_11_12,2,100.0,1.9189897046030695
16,tp1_guard_ex_11_12,2,100.0,1.8938092634676522
1,maxhold12_guard_ex_11_12,2,100.0,2.149253108464392
2,maxhold12_guard_ex_11_12,7,42.857142857142854,0.07447018171703512
4,maxhold12_guard_ex_11_12,4,75.0,1.6352168394905198
6,maxhold12_guard_ex_11_12,4,75.0,1.798507458844031
7,maxhold12_guard_ex_11_12,2,0.0,-2.0767038087732383
8,maxhold12_guard_ex_11_12,2,100.0,1.6580700676758942
10,maxhold12_guard_ex_11_12,2,50.0,0.7024937801193646
13,maxhold12_guard_ex_11_12,2,100.0,2.318989704603068
16,maxhold12_guard_ex_11_12,2,50.0,0.9143592124763718
1,loose_close65_guard_ex_11_12,2,100.0,2.149253108464392
2,loose_close65_guard_ex_11_12,8,50.0,-1.017855431379871
4,loose_close65_guard_ex_11_12,5,80.0,2.7268578569929143
6,loose_close65_guard_ex_11_12,4,75.0,1.798507458844031
7,loose_close65_guard_ex_11_12,2,50.0,-0.5940807370250037
8,loose_close65_guard_ex_11_12,2,100.0,1.6580700676758942
10,loose_close65_guard_ex_11_12,3,100.0,1.0841015744916134
13,loose_close65_guard_ex_11_12,2,100.0,2.318989704603068
16,loose_close65_guard_ex_11_12,2,100.0,2.293809263467659
