symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr50,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,stoch_k14,stoch_d3,cci20,roc10,williams_r14,chop14,aroon_up25,aroon_down25,ichi_tenkan,ichi_kijun,ichi_cloud_top,ichi_cloud_bottom,kc_mid,kc_pos,bb_kc_width_ratio,month,year,entry_year,rule_name
SILVER,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2015-10-12 04:00:00,long,stagnation,2820,2825,2829,16.11,15.385,4.607562565680536,5,0.9215125131361072,4,0.8,11,0.8427586206896565,0.618,0.8,15.996,2015-10-12 08:00:00,15.994,15.345662498356496,17.296675003287007,2015-11-02 12:00:00,15.345662498356496,SL,94,0.6483375016435033,-1.0,-1.0539842287562833,Research_2015_2024,15.798,16.035,15.788,15.996,0.157350006574011,0.8016194331983826,15.779599814960113,15.514998399512567,15.081711971752124,0.756269572677173,65.13860478449236,22.272725429586117,3.2275800384302165,0.8325721387401661,16.11,16.11,False,False,0.1498138773327667,1.0503032788111153,77.38095238095238,0.8421052631578959,1.7159198520465424,0.1071500770162181,0.1267470530494447,-0.0195969760332265,0.0101448227521133,94.00000000000004,72.6802684240618,53.117618119476845,1.982786101370726,-5.999999999999951,45.539618325937695,36.0,56.0,15.8125,15.7475,15.78,15.25,15.779599814960113,0.8438197902745274,0.8068950096075541,2015-10,2015,2015,T5_MORE_TRADES_ADX30
GBPJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-08-23 20:00:00,long,stagnation+rebreak,5731,5738,5742,132.12,130.32,3.963218703317223,7,0.566174100473889,4,0.5714285714285714,15,1.1166666666666702,0.618,0.8,132.33,2016-08-24 00:00:00,132.33,130.20645592542664,136.57708814914676,2016-09-01 08:00:00,136.57708814914676,TP,39,2.123544074573374,2.0,1.9905817824836056,Research_2015_2024,132.2,132.37,132.18,132.33,0.454176298293457,0.6842105263159233,131.67786972736917,131.62406835402058,135.11204482226844,1.068340977917027,65.52920321009505,16.01020345016611,3.4997096776302112,0.9388213277666424,132.25,132.5,True,False,0.5824667245826092,0.779746342795661,0.3968253968253968,0.7894736842105656,1.7173947714374551,0.27746308065025,0.2080137616670044,0.0694493189832455,0.0129242970789549,97.20279720279775,93.70563850905266,97.3573077797322,0.4097427725927804,-2.7972027972022273,48.33089378037672,100.0,4.0,131.85000000000002,131.19,131.52,130.86,131.67786972736917,0.8589631796513711,0.8749274194075528,2016-08,2016,2016,T5_MORE_TRADES_ADX30
AUDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-10-03 20:00:00,long,stagnation,4410,4416,4418,78.17,76.494,4.698578365130716,6,0.7830963941884528,2,0.3333333333333333,11,1.0429594272076388,0.618,0.8,78.242,2016-10-04 00:00:00,78.242,76.40482409030155,81.91635181939692,2016-11-09 00:00:00,81.91635181939692,TP,161,1.837175909698459,2.0,1.9931960788653929,Research_2015_2024,77.955,78.287,77.902,78.242,0.3567036387938109,0.7454545454545515,77.60337489688268,77.33378052347052,77.31389672679815,1.0055336934877188,65.76535234708467,13.01228264541373,3.996782438793387,0.9384965566497756,78.17,78.17,True,True,0.3544234635128968,1.006433477226124,80.15873015873017,0.8831168831168802,2.326861600870256,0.21607188090438,0.1610287560842813,0.0550431248200986,0.0308567682071224,97.49023982152808,93.52098201637538,97.1479441135612,1.389140857846316,-2.5097601784719212,39.23742152336027,100.0,56.0,77.83000000000001,77.3905,77.61025000000001,77.2345,77.60337489688268,0.9475880210227352,0.9991956096983468,2016-10,2016,2016,T5_MORE_TRADES_ADX30
CHFJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-11-30 08:00:00,long,rebreak,4662,4674,4678,111.889,110.247,3.620436711821172,12,0.301703059318431,4,0.3333333333333333,9,0.8544457978075575,0.618,0.8,111.65,2016-11-30 12:00:00,111.66,110.13361588844802,114.68276822310398,2016-12-14 20:00:00,114.68276822310398,TP,64,1.5263841115519767,1.9803457073662345,1.967242845610372,Research_2015_2024,111.01,111.719,110.988,111.65,0.4535364462079018,0.8755129958960401,111.0149017836666,110.50801476556153,108.1868772001364,0.224582536334055,62.7037216078147,20.828838815174873,3.3015015088082587,0.9008411489344242,111.796,111.889,False,False,0.4102572873655045,1.1054927241398136,86.11111111111111,0.905608755129974,1.9248728680997904,0.1594606102756302,0.14143145039217,0.0180291598834601,0.0470570969319105,95.31250000000075,75.58486012608341,73.42583033644154,0.8335816919089245,-4.687499999999231,55.12875845816843,16.0,64.0,111.009,111.068,111.0385,110.4805,111.0149017836666,0.850081135509382,0.8253753772020647,2016-11,2016,2016,T5_MORE_TRADES_ADX30
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2016-12-07 04:00:00,long,stagnation,4687,4700,4703,114.824,112.876,4.028355615318696,13,0.3098735088706689,3,0.2307692307692307,14,0.7525667351129358,0.618,0.8,114.342,2016-12-07 08:00:00,114.341,112.75510699885878,117.51578600228244,2016-12-15 00:00:00,117.51578600228244,TP,35,1.5858930011412156,2.001891678693238,1.9955860830491468,Research_2015_2024,114.049,114.404,114.048,114.342,0.4835720045649149,0.8230337078651592,113.92801713694392,113.31572598301368,109.48548467354208,0.3190985781787985,61.01910185349944,11.430133824188824,2.2492150984378436,0.8958047623141269,114.775,114.824,False,False,0.5674820359683236,0.8521362332461703,51.19047619047619,0.8258426966292175,1.5220070497302516,0.1828912072637223,0.1911370009909604,-0.0082457937272381,0.026131323671239,73.25509573810952,65.45750865484807,117.5307087742426,-0.0445831475702207,-26.74490426189049,55.0426502157818,60.0,44.0,113.9525,113.8255,113.889,113.0915,113.92801713694392,0.7140233818066829,0.5623037746094609,2016-12,2016,2016,T5_MORE_TRADES_ADX30
XAUUSD,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2017-05-26 04:00:00,long,rebreak,5403,5410,5414,1263.728,1247.952,3.634503442325443,7,0.5192147774750633,4,0.5714285714285714,12,0.8462221095334592,0.618,0.8,1261.302,2017-05-26 08:00:00,1261.311,1246.8668448852543,1290.1723102294911,2017-06-06 08:00:00,1290.1723102294911,TP,44,14.444155114745628,1.9981307317883563,1.9738994771930056,Research_2015_2024,1257.118,1263.971,1257.091,1261.302,4.34062045898248,0.6081395348837068,1256.268349106887,1252.093602215685,1249.19069261324,0.5662104852083352,62.4990571654309,16.642776013095897,3.307905212714128,0.8611589083590395,1263.728,1265.002,False,False,4.754804974721014,0.9128913766304712,33.33333333333333,0.6120639534883643,2.5187643341115535,1.4799556275577288,1.4195678071608433,0.0603878203968855,0.2470954299784022,83.33853548910609,74.58091630002856,110.42279845659442,0.8112523498343904,-16.66146451089391,47.659867618794024,100.0,52.0,1258.5045,1255.9615,1257.233,1246.99,1256.268349106887,0.7899154015352998,0.826976303178532,2017-05,2017,2017,T5_MORE_TRADES_ADX30
EURJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2018-08-17 16:00:00,long,rebreak,7330,7338,7341,126.94,124.89,4.1487380734163075,8,0.5185922591770384,3,0.375,13,0.8243902439024391,0.618,0.8,126.58,2018-08-19 20:00:00,126.4,124.76646846078717,130.20706307842568,2018-08-28 12:00:00,130.20706307842568,TP,40,1.6335315392128391,2.330572129792,2.322919997157933,Research_2015_2024,126.1,126.58,125.87,126.58,0.4941261568513315,0.6760563380281805,126.15112542896296,126.83569845574432,128.56877232176186,-0.0620137006892135,54.527048318965136,26.99470777991383,2.4711693606175182,0.9934199404065616,126.94,129.43,False,False,0.4232086595780209,1.1675709975878614,90.87301587301587,1.0,1.902348189761622,-0.1470595090970192,-0.2706001834854735,0.1235406743884542,0.0038040002173097,100.0,78.5562632696391,90.80681452909074,0.3249583894745056,-0.0,53.47103560166135,16.0,48.0,126.11,125.915,127.16,126.0125,126.15112542896296,0.7169863733635942,0.6177923401543796,2018-08,2018,2018,T5_MORE_TRADES_ADX30
CHFJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2018-09-13 00:00:00,long,rebreak,7539,7548,7553,115.091,113.866,4.422179409365516,9,0.4913532677072795,5,0.5555555555555556,13,0.8506122448979644,0.618,0.8,114.908,2018-09-13 04:00:00,114.908,113.7967468169764,117.1305063660472,2018-09-20 12:00:00,117.1305063660472,TP,33,1.1112531830236063,2.0,1.982002301270722,Research_2015_2024,114.625,114.947,114.579,114.908,0.2770127320944119,0.7690217391304189,114.54535330510316,114.40961504148864,113.28434609584696,0.5485102229161078,61.65104186272801,11.853506881569462,3.588744189104598,0.966388712588268,114.813,115.091,True,False,0.2749957606444077,1.0073345547046897,73.01587301587301,0.8940217391304334,2.2742636962451677,0.0625087697984696,0.0169430165338562,0.0455657532646133,0.0171188481172119,96.39222941720617,85.80902543403533,111.99266337014328,0.481824461991831,-3.607770582793836,48.44396261282195,12.0,48.0,114.632,114.4785,114.55525,114.4785,114.54535330510316,0.8272834177647471,0.8971860472761495,2018-09,2018,2018,T5_MORE_TRADES_ADX30
USDJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2018-10-30 00:00:00,long,rebreak,7752,7757,7763,112.674,111.377,4.313017123771187,5,0.8626034247542375,6,1.2,10,0.9876638396299112,0.618,0.8,112.658,2018-10-30 04:00:00,112.659,111.30182060917105,115.37035878165794,2018-12-10 04:00:00,112.639,max_hold,180,1.3571793908289749,-0.014736445406671,-0.022104668109996,Research_2015_2024,112.324,112.711,112.303,112.658,0.3007175633158509,0.8186274509803975,112.2440340035364,112.3176026712478,112.40024687240012,-0.0258317912299364,60.4578381193309,21.298738005732012,3.8177243858428462,0.9153975748415392,112.674,112.885,False,False,0.2606647312449075,1.153656506883978,93.25396825396824,0.8700980392156934,2.7833425848854794,0.0115503525492925,-0.0635644465136515,0.0751147990629441,0.0346247480318031,96.02698650674684,84.55670906097349,98.14853754219232,0.9082440614811338,-3.973013493253159,46.3666750374103,12.0,60.0,112.233,112.0605,112.14675,112.131,112.2440340035364,0.844148502584127,0.9544310964607116,2018-10,2018,2018,T5_MORE_TRADES_ADX30
CHFJPY,H4,REC1.20_T5_STAG_OR_REBREAK_BROAD,V候補後トリガー,2019-06-03 16:00:00,long,rebreak,8697,8703,8708,108.995,107.92,3.9686573127421942,6,0.6614428854570324,5,0.8333333333333334,8,0.8316279069767338,0.618,0.8,108.814,2019-06-03 20:00:00,108.814,107.85228188305976,110.73743623388046,2019-06-30 20:00:00,110.73743623388046,TP,118,0.9617181169402328,2.0,1.9792038855796523,Research_2015_2024,108.44,108.918,108.43,108.814,0.270872467760946,0.7663934426229417,108.53209446287296,108.69173083567831,109.19926778309538,-0.6252999394022407,56.159306474454546,21.44146493575559,3.659279166614601,0.7927770298321565,108.995,109.626,False,False,0.2256120379134248,1.200611768175638,100.0,0.7868852459016117,2.517790034688538,-0.0741339388896449,-0.1256641804216995,0.0515302415320546,0.0377869060115842,89.57915831663198,64.12328533034979,74.80053032370023,0.5507401726145167,-10.420841683368028,53.27245666150285,44.0,68.0,108.419,108.4575,108.773,108.43825,108.53209446287296,0.7601829003306427,0.9148197916536502,2019-06,2019,2019,T5_MORE_TRADES_ADX30
