rule_name,year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
T5_CORE_STRICT_BEST,2015,1,100.0,1.9885516782133612,1.9885516782133612,inf,0.0,0
T5_CORE_STRICT_BEST,2016,2,100.0,3.960438924475765,1.9802194622378826,inf,0.0,0
T5_CORE_STRICT_BEST,2017,1,100.0,1.9738994771930056,1.9738994771930056,inf,0.0,0
T5_CORE_STRICT_BEST,2018,1,0.0,-0.022104668109996,-0.022104668109996,0.0,0.0,1
T5_CORE_STRICT_BEST,2019,1,100.0,1.9792038855796523,1.9792038855796523,inf,0.0,0
T5_CORE_STRICT_BEST,2020,2,50.0,1.556502939131646,0.778251469565823,4.444548796222889,0.0,1
T5_CORE_STRICT_BEST,2021,2,50.0,0.9848705946302196,0.4924352973151098,1.977778304582121,0.0,1
T5_CORE_STRICT_BEST,2022,1,100.0,1.993428195911128,1.993428195911128,inf,0.0,0
T5_CORE_STRICT_BEST,2024,5,80.0,6.972432801116096,1.394486560223219,7.944529371925666,1.0040180446645146,1
T5_CORE_STRICT_BEST,2025,2,100.0,3.948299551308263,1.9741497756541315,inf,0.0,0
T5_CORE_STRICT_BEST,2026,2,100.0,0.7699405397873264,0.3849702698936632,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2015,3,33.33333333333333,-0.1636811702820964,-0.05456039009403213,0.9239482055129307,2.1522328484954576,2
T5_CURRENT_STRICT_PRACTICAL,2016,4,100.0,7.946606790008517,1.9866516975021293,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2017,1,100.0,1.9738994771930056,1.9738994771930056,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2018,2,0.0,-1.0320078702018656,-0.5160039351009328,0.0,0.022104668109995895,2
T5_CURRENT_STRICT_PRACTICAL,2019,1,100.0,1.9792038855796523,1.9792038855796523,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2020,1,100.0,2.0083771993652144,2.0083771993652144,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2021,2,50.0,0.9848705946302196,0.4924352973151098,1.977778304582121,0.0,1
T5_CURRENT_STRICT_PRACTICAL,2022,1,100.0,1.993428195911128,1.993428195911128,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2024,4,50.0,1.942268202718487,0.48556705067962175,1.9542459178380887,1.031377828045983,1
T5_CURRENT_STRICT_PRACTICAL,2025,2,100.0,3.948299551308263,1.9741497756541315,inf,0.0,0
T5_CURRENT_STRICT_PRACTICAL,2026,2,100.0,0.7699405397873264,0.3849702698936632,inf,0.0,0
T5_MORE_TRADES_ADX30,2015,1,0.0,-1.0539842287562833,-1.0539842287562833,0.0,0.0,1
T5_MORE_TRADES_ADX30,2016,4,100.0,7.946606790008517,1.9866516975021293,inf,0.0,0
T5_MORE_TRADES_ADX30,2017,1,100.0,1.9738994771930056,1.9738994771930056,inf,0.0,0
T5_MORE_TRADES_ADX30,2018,3,66.66666666666666,4.282817630318658,1.427605876772886,194.75172741824233,0.02210466810999634,1
T5_MORE_TRADES_ADX30,2019,1,100.0,1.9792038855796523,1.9792038855796523,inf,0.0,0
T5_MORE_TRADES_ADX30,2020,5,60.0,4.428681487957898,0.8857362975915797,4.003126615047619,1.0228159728612738,1
T5_MORE_TRADES_ADX30,2021,3,100.0,5.954265555941825,1.9847551853139418,inf,0.0,0
T5_MORE_TRADES_ADX30,2022,1,100.0,1.993428195911128,1.993428195911128,inf,0.0,0
T5_MORE_TRADES_ADX30,2024,5,60.0,3.951779001946207,0.7903558003892414,2.9475853373436345,2.029065903389962,2
T5_MORE_TRADES_ADX30,2025,2,100.0,3.310301567997013,1.6551507839985065,inf,0.0,0
T5_MORE_TRADES_ADX30,2026,1,100.0,0.5544621813482675,0.5544621813482675,inf,0.0,0
T5_SAFE_LIVE_GUARD,2015,2,50.0,0.9345674494570779,0.46728372472853896,1.8866996525743853,1.0539842287562833,1
T5_SAFE_LIVE_GUARD,2016,4,100.0,7.946606790008517,1.9866516975021293,inf,0.0,0
T5_SAFE_LIVE_GUARD,2017,1,100.0,1.9738994771930056,1.9738994771930056,inf,0.0,0
T5_SAFE_LIVE_GUARD,2018,1,0.0,-0.022104668109996,-0.022104668109996,0.0,0.0,1
T5_SAFE_LIVE_GUARD,2019,1,100.0,1.9792038855796523,1.9792038855796523,inf,0.0,0
T5_SAFE_LIVE_GUARD,2020,1,100.0,2.0083771993652144,2.0083771993652144,inf,0.0,0
T5_SAFE_LIVE_GUARD,2021,2,50.0,0.9848705946302196,0.4924352973151098,1.977778304582121,0.0,1
T5_SAFE_LIVE_GUARD,2022,1,100.0,1.993428195911128,1.993428195911128,inf,0.0,0
