trade_id,phase,symbol,period,signal_time,entry_time,trigger_type,signal_close,entry,stop,target,exit_time,exit_reason,r_after_cost,bb_pos,bb_width_atr,macd_hist_slope3,signal_recovery_bars,v_move_atr,v_drop_speed_atr_per_bar,max_recovery_to_drop,candidate,tv_signal_time,tv_entry_time,tv_match,tv_notes
12,A_BASE,GBPJPY,Research_2015_2024,2016-05-25 04:00:00,2016-05-25 08:00:00,stagnation+rebreak,161.24,161.25,157.8422962444742,168.03540751105163,2016-06-01 08:00:00,SL,-1.0058690547755362,0.8685966440256565,6.286900254571557,0.0670296080822834,9,5.336791637098479,0.3557861091398985,1.2,Strict_075_100_width7,,,,
13,A_BASE,GBPJPY,Research_2015_2024,2016-08-23 20:00:00,2016-08-24 00:00:00,stagnation+rebreak,132.33,132.33,130.20645592542664,136.57708814914676,2016-09-01 08:00:00,TP,1.9905817824836056,0.9388213277666424,3.4997096776302112,0.0129242970789549,15,3.963218703317223,0.566174100473889,1.2,Strict_075_100_width7,,,,
16,A_BASE,GBPJPY,Research_2015_2024,2016-11-04 12:00:00,2016-11-04 16:00:00,rebreak,129.17,129.18,126.3476044975714,134.81479100485717,2016-11-11 08:00:00,TP,1.9823470980810527,0.9821360236087594,5.841447160328678,0.031803268528117,8,4.6640557169452705,0.4240050651768428,1.2,Strict_075_100_width7,,,,
28,A_BASE,GBPJPY,Research_2015_2024,2017-08-15 00:00:00,2017-08-15 04:00:00,rebreak,142.82,142.83,141.12422108733622,146.21155782532753,2017-08-17 16:00:00,SL,-1.011724848895423,0.8871082947142952,4.746902245317641,0.0381711534571685,11,5.403068228772605,0.6753835285965756,1.2,Strict_075_100_width7,,,,
32,A_BASE,GBPJPY,Research_2015_2024,2018-03-13 04:00:00,2018-03-13 08:00:00,stagnation+rebreak,148.53,148.55,146.10740414049627,153.37519171900746,2018-04-13 04:00:00,TP,1.96724795889228,0.9487973100663234,4.61087400818434,0.0221801786679306,24,3.8855780481478535,0.7771156096295706,1.2,Strict_075_100_width7,,,,
47,A_BASE,GBPJPY,Research_2015_2024,2019-09-04 16:00:00,2019-09-04 20:00:00,rebreak,129.97,129.98,126.4996662771993,136.9106674456014,2019-10-11 08:00:00,TP,1.985633561611523,0.966806649802832,5.524074163687437,0.1750872645846977,9,5.98573160631473,0.3741082253946706,1.2,Strict_075_100_width7,,,,
49,A_BASE,GBPJPY,Research_2015_2024,2020-02-05 08:00:00,2020-02-05 12:00:00,rebreak,143.11,143.1,140.78619649735558,147.7576070052889,2020-02-28 00:00:00,SL,-1.0086437763522806,0.7872789508827015,5.925579719775763,0.0590387519466228,7,4.7252297996789645,0.3937691499732471,1.2,Strict_075_100_width7,,,,
51,A_BASE,GBPJPY,Research_2015_2024,2020-03-25 04:00:00,2020-03-25 08:00:00,stagnation,131.92,131.91,123.83788441541084,148.08423116917828,2020-05-05 08:00:00,max_hold,0.1139725999162388,0.9560233506177456,4.448226848032164,0.0247003801514016,28,8.113981246189784,0.3863800593423707,1.2,Strict_075_100_width7,,,,
55,A_BASE,GBPJPY,Research_2015_2024,2020-07-16 12:00:00,2020-07-16 16:00:00,rebreak,135.07,135.06,133.86628363203158,137.47743273593682,2020-07-31 08:00:00,TP,2.0083771993652144,0.9023559555544804,2.8442739120734375,0.0403118901991127,12,3.948083008558404,0.658013834759734,1.2,Strict_075_100_width7,,,,
59,A_BASE,GBPJPY,Research_2015_2024,2020-10-08 04:00:00,2020-10-08 08:00:00,stagnation,137.3,137.29,134.91144930881583,142.07710138236837,2020-10-28 08:00:00,SL,-1.0084084817170849,0.8125115603546422,3.306480083010708,0.0614610746634133,24,4.112164974582115,0.8224329949164231,1.2,Strict_075_100_width7,,,,
63,A_BASE,GBPJPY,Research_2015_2024,2021-01-25 00:00:00,2021-01-25 04:00:00,stagnation,142.16,142.16,140.25519698888215,145.9696060222357,2021-02-15 00:00:00,TP,1.9895002265939064,0.8124019584375167,3.3592074798519316,0.0035228221173042,30,6.216327298206711,0.4781790229389777,1.2,Strict_075_100_width7,,,,
66,A_BASE,GBPJPY,Research_2015_2024,2021-03-11 00:00:00,2021-03-11 04:00:00,rebreak,151.33,151.33,149.26119822166118,155.4676035566777,2021-03-23 08:00:00,SL,-1.0096674317517462,0.8908151638971449,4.6895149846605975,0.0080444115586939,22,3.6316840274245585,0.6052806712374265,1.2,Strict_075_100_width7,,,,
68,A_BASE,GBPJPY,Research_2015_2024,2021-07-22 04:00:00,2021-07-22 08:00:00,rebreak,151.54,151.55,148.3320099171229,157.9559801657542,2021-09-02 08:00:00,max_hold,0.1211936612468755,0.9284227355219448,6.104804427322201,0.0264002715443714,11,8.027965736895583,0.6175358259150447,1.2,Strict_075_100_width7,,,,
70,A_BASE,GBPJPY,Research_2015_2024,2021-10-05 04:00:00,2021-10-05 08:00:00,stagnation,151.42,151.43,149.11487862278616,156.03024275442763,2021-10-15 00:00:00,TP,1.978402860216248,0.9271855465403416,4.6107839100296735,0.0003268901089477,12,3.626607065554219,0.7253214131108437,1.2,Strict_075_100_width7,,,,
74,A_BASE,GBPJPY,Research_2015_2024,2022-05-23 16:00:00,2022-05-23 20:00:00,stagnation,160.96,160.97,157.653838749436,167.572322501128,2022-06-08 04:00:00,TP,1.984922325477553,0.9190827972654194,4.04375608209509,0.0338628667779235,14,4.802066330561746,0.4001721942134789,1.2,Strict_075_100_width7,,,,
75,A_BASE,GBPJPY,Research_2015_2024,2022-07-10 20:00:00,2022-07-11 00:00:00,rebreak,164.23,164.27,160.1459602360265,172.39807952794698,2022-08-01 20:00:00,SL,-1.0048496137633531,0.929355369684752,4.367560770080201,0.0694270290196281,15,5.699875468704433,0.7124844335880541,1.2,Strict_075_100_width7,,,,
81,A_BASE,GBPJPY,Research_2015_2024,2023-02-27 08:00:00,2023-02-27 12:00:00,rebreak,163.24,163.26,161.1088904462591,167.50221910748184,2023-03-13 08:00:00,SL,-1.0092975273924103,0.9010389969411636,4.084448075042441,0.010912450705121,10,5.602578527599522,0.400184180542823,1.2,Strict_075_100_width7,,,,
