label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,removed_hour
exclude_01,78,57.692307692307686,32.184948918780044,0.4126275502407698,1.9501334658016476,4.163107198443356,4,1.0
exclude_06,95,50.526315789473685,22.105700505742213,0.23269158427097067,1.4575249589797823,9.045805726127144,6,6.0
exclude_17,99,49.494949494949495,20.459413726911624,0.20666074471627902,1.3977832711147853,9.045805726127146,6,17.0
exclude_19,99,49.494949494949495,20.45117187493413,0.20657749368620332,1.3975593224940361,9.045805726127144,6,19.0
exclude_11,99,49.494949494949495,20.436841243762142,0.20643273983598123,1.3971700996293186,9.045805726127144,6,11.0
exclude_14,97,49.48453608247423,19.97421399972316,0.20591973195590885,1.3960593445294542,8.031340643829042,6,14.0
exclude_02,90,50.0,19.727228676227142,0.21919142973585715,1.4265573004992147,9.474782861487418,5,2.0
exclude_18,100,49.0,19.424037327097047,0.19424037327097046,1.3702006358653436,9.045805726127144,6,18.0
no_hour_filter,100,49.0,19.424037327097047,0.19424037327097046,1.3702006358653436,9.045805726127144,6,
exclude_04,100,49.0,19.424037327097047,0.19424037327097046,1.3702006358653436,9.045805726127144,6,4.0
exclude_07,93,49.46236559139785,19.268784999829695,0.20719123655730853,1.3988931695303712,10.492694447490381,8,7.0
exclude_20,98,48.97959183673469,18.98989383362279,0.19377442687370194,1.3692937482931562,9.045805726127146,6,20.0
exclude_22,98,48.97959183673469,18.680958054369935,0.19062202096295852,1.3606820310993974,9.045805726127146,6,22.0
exclude_13,96,48.95833333333333,18.552092916213418,0.1932509678772231,1.3681508377612124,6.9695000774999745,4,13.0
exclude_12,94,48.93617021276596,18.12696684206595,0.19284007278793563,1.3674810705481384,9.045805726127144,6,12.0
exclude_16,99,48.484848484848484,17.943841070880918,0.18125091990788805,1.3419897348034782,9.045805726127144,6,16.0
exclude_23,97,48.45360824742268,17.53439029309034,0.18076691023804473,1.3410374357792278,8.407329461872811,6,23.0
exclude_05,97,48.45360824742268,17.533131148171336,0.18075392936259108,1.3407635949159549,8.029336655434024,6,5.0
exclude_09,97,48.45360824742268,17.521893010430713,0.18063807227248158,1.3405853234237703,9.045805726127146,6,9.0
exclude_15,97,48.45360824742268,17.49521851984259,0.18036307752415043,1.340114041827059,9.045805726127146,6,15.0
exclude_03,95,48.421052631578945,17.11263937750318,0.18013304607898084,1.3396597071753136,8.01113307052628,5,3.0
exclude_21,97,47.42268041237113,15.026684593410558,0.15491427415887174,1.2863919636144936,9.045805726127144,6,21.0
exclude_08,97,47.42268041237113,15.006295411138762,0.1547040764034924,1.2860033683850527,9.045805726127144,6,8.0
exclude_10,95,46.31578947368421,12.094866313449089,0.1273143822468325,1.2305147547105928,10.512244700699226,7,10.0
exclude_00,93,46.236559139784944,11.677608538938184,0.12556568321438907,1.2272154434242302,9.045805726127144,6,0.0
