symbol,label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_trades,oos_total_r
EURJPY,,3,100.0,4.569287945106582,1.523095981702194,inf,0.0,0,2.319174977882131,0.4556234777261359,0,0.0
GBPJPY,,3,66.66666666666666,1.9897694224855327,0.6632564741618442,2.9519249776570757,1.0193882681259,1,1.1936350611375746,1.2909421609203384,0,0.0
USDJPY,,2,50.0,0.482400381951261,0.2412001909756305,1.475617161339298,0.0,1,0.9548212707728956,0.5775607452396666,1,1.496662316051498
