symbol,timeframe,strategy,family,period,year,month,pair_key,v_start_i,v_low_i,v_start_time,v_low_time,v_start_confirm_time,v_low_confirm_time,v_start,v_low,drop,drop_atr,drop_bars,context_i,context_time,context_recovery_bars,context_recovery_ratio,drop_speed,context_recovery_speed,context_speed_ratio,pre_adx14,pre_ema50_slope_20_atr,pre_close_ema50_stretch_atr,pre_range60_atr,signal_i,signal_time,atr_signal,shelf_high,shelf_low,shelf_bars,shelf_range_atr,shelf_hold_level,shelf_hold_actual,breakout_atr,signal_close,stop,signal_risk_atr,body_ratio,close_location,signal_adx14,signal_ema50_slope_20_atr,signal_range60_atr,recovery_bars_signal,recovery_ratio_signal,recovery_speed_signal,speed_ratio_signal,mfe_12_atr,mae_12_atr,fwd_12_atr,mfe_24_atr,mae_24_atr,fwd_24_atr,mfe_48_atr,mae_48_atr,fwd_48_atr,mfe_72_atr,mae_72_atr,fwd_72_atr,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,risk_atr_entry,r_clean,r_after_cost,mfe_r,mae_r,mfe_atr_trade,mae_atr_trade,param_shelf_bars,param_shelf_range,param_shelf_hold,param_breakout_buffer,param_body,param_close_location,param_adx_max,param_range60_max,param_ema_slope_mode,param_rr,param_stop_buffer,param_max_hold,param_entry_mode,param_target_basis,d1_low_trap_age_days,d1_low_trap_source,d1_low_trap_signal_time,d1_low_trap_context_start,d1_low_trap_break_depth_atr,d1_low_trap_reclaim_atr,d1_low_trap_activity_ratio,selected_universe,d1_low_trap_age_band
EURJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2015,2015-04,2032-2043,2032,2043,2015-04-17 08:00:00,2015-04-21 04:00:00,2015-04-19 20:00:00,2015-04-21 16:00:00,128.71,127.44,1.2700000000000102,2.830295166243616,11,2053,2015-04-22 20:00:00,10,0.9370078740157388,0.2572995605676014,0.2652008856558952,1.0307086614173129,24.089481337950858,-1.3092512021985263,0.522691873579266,9.219862310857852,2069,2015-04-27 12:00:00,0.5116473369279753,129.7,128.82,6,1.7199346825172146,128.075,1.086614173228334,0.1368129861093668,129.77,128.692088165768,2.1067476686265554,0.6060606060605918,0.8636363636363636,17.23270088452804,1.0916656808025371,7.837429632834176,26,1.8346456692913335,0.1751506910080923,0.6807267397647739,6.019771388810251,0.8208779166559786,5.648421855084946,10.690957628828649,0.8208779166559786,9.420551329242052,12.137266339127184,0.8208779166559786,10.43687636891134,12.137266339127184,0.8208779166559786,11.081851874855268,2015-04-27 16:00:00,129.75,131.386867751348,2015-04-29 12:00:00,131.386867751348,TP,11,1.057911834231987,2.067658244023871,1.547262917742407,1.535447188306822,2.930300900027744,0.3781033419390698,6.058860813412935,0.7817884920532945,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,41.666666666666664,CLOSEFAIL_L120_W6_BODY_RR15,2015-03-16,2015-03-17,0.5448667242342401,0.5075470855880616,1.3177041228779398,True,30-60d
CHFJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2015,2015-05,2223-2238,2223,2238,2015-05-21 08:00:00,2015-05-25 16:00:00,2015-05-21 20:00:00,2015-05-26 04:00:00,130.063,128.46,1.6029999999999802,3.7874187370684766,15,2247,2015-05-27 04:00:00,9,0.8128509045539697,0.2524945824712317,0.3420674162611961,1.3547515075899497,21.501231411417223,-0.2236639360164338,0.528821611521158,6.025220504345318,2260,2015-05-29 08:00:00,0.4840010697221137,131.49,130.621,6,1.7954505772041596,129.2615,1.3480973175296491,0.1157022236172643,131.546,130.49999973256948,2.1611528008214305,0.8793706293706005,0.9527972027971764,35.65151602264568,1.5339073028371395,6.997918417710577,22,1.9251403618215983,0.2898190438985255,1.1478228208383296,1.8904916894612696,1.3491705718231315,0.9090888998502028,3.6466861550809777,1.3491705718231315,2.62809336502155,6.34502729872724,1.3491705718231315,4.3966844974573975,6.34502729872724,1.3491705718231315,2.396688917786904,2015-05-29 12:00:00,131.547,133.11500040114578,2015-06-02 12:00:00,133.11500040114578,TP,13,1.0470002674305192,2.1632189119574634,1.4976122260158222,1.4785100341424005,1.6236863092423537,0.6246416742614604,3.512388931239474,1.3512366829591649,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,,NONE,,,,,,False,
EURJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2015,2015-05,2176-2192,2176,2192,2015-05-21 08:00:00,2015-05-26 00:00:00,2015-05-21 20:00:00,2015-05-26 12:00:00,135.33,133.08,2.25,4.859537221193954,16,2201,2015-05-27 12:00:00,9,0.7422222222222167,0.3037210763246221,0.4007618350317947,1.3195061728394963,25.95984924880627,-0.0599109435107522,-0.0267342841952974,6.665550095376889,2212,2015-05-29 08:00:00,0.4434314273963209,135.9,135.14,6,1.7139064871032748,134.205,0.915555555555544,0.2255140114609386,136.0,135.0291421431509,2.1894204985642447,0.7777777777777357,0.9555555555555344,25.248904309314625,0.7354594624569893,8.704840842392693,20,1.297777777777772,0.3292504567329877,1.084055346824464,4.2622148166119525,1.9845233008563627,3.3601587707681975,11.320803375339787,1.9845233008563627,10.080476312304528,11.320803375339787,1.9845233008563627,6.201635315176166,11.320803375339787,1.9845233008563627,6.133981111737878,2015-05-29 12:00:00,135.99,137.45628678527368,2015-06-02 08:00:00,137.45628678527368,TP,11,0.9608578568491168,2.16686909741817,1.5260184165865829,1.5130092082932989,1.9773996605809443,0.9054408972133954,4.284766217758027,1.961971899710288,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,73.5,CLOSEFAIL_L120_W6_BODY_RR15,2015-03-16,2015-03-17,0.5448667242342401,0.5075470855880616,1.3177041228779398,True,60-120d
CHFJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2015,2015-06,2324-2330,2324,2330,2015-06-12 16:00:00,2015-06-15 12:00:00,2015-06-15 00:00:00,2015-06-16 00:00:00,133.251,131.489,1.7620000000000005,3.0640886846508733,6,2333,2015-06-16 00:00:00,3,0.7883087400680938,0.5106814474418122,0.805149296818011,1.5766174801361876,25.48196398619872,-0.1883772356299078,0.3253893478249455,6.493132975969365,2355,2015-06-19 16:00:00,0.5073157197873042,133.677,132.84,6,1.649860170607186,132.37,0.7667423382519857,0.2404814107695371,133.799,132.71317107005316,2.1403415813767492,0.7822931785196244,0.9172714078374622,17.479375304255385,0.92573121730138,6.165785679401819,25,1.311010215664019,0.1821351012713335,0.3566511025292068,1.417263396256359,3.140056453736334,-2.619670450103933,1.417263396256359,4.890445738681569,-3.847702572312146,1.417263396256359,8.192137239000674,-6.3412188397173335,1.417263396256359,9.234880405370095,-7.906319168823779,2015-06-19 20:00:00,133.8,135.42774339492027,2015-06-23 08:00:00,132.71317107005316,SL,10,1.0868289299468472,2.142312740481427,-1.0,-1.0184021601274085,0.6606375485745526,1.1400138198939913,1.4152922371516816,2.4422661306837963,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,,NONE,,,,,,False,
AUDJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2015,2015-11,2997-3009,2997,3009,2015-11-12 00:00:00,2015-11-15 20:00:00,2015-11-12 12:00:00,2015-11-16 08:00:00,87.949,86.818,1.1310000000000002,3.4881995999723503,12,3018,2015-11-17 08:00:00,9,0.7886825817860262,0.2906832999976958,0.3056758073656863,1.0515767757147017,13.210225730251226,0.2584262342659882,2.9271368852631037,7.355057602203717,3027,2015-11-18 20:00:00,0.2975425101014319,87.879,87.379,6,1.6804321501137789,87.3835,0.4960212201591573,0.0604955574040983,87.897,87.30461437247465,1.9909277075178813,0.6028169014084401,0.6901408450704276,11.237778841618423,0.9344615077108704,5.222783122553632,18,0.9540229885057536,0.2014651433303089,0.6930743642029175,3.7473636947537097,0.1310737077088797,3.1827384923154587,3.7473636947537097,0.1310737077088797,2.7895173691888675,4.80267508502514,0.1310737077088797,4.735457799020602,9.504524241043496,0.1310737077088797,8.886125209801634,2015-11-19 00:00:00,87.897,88.78557844128804,2015-11-20 12:00:00,88.78557844128804,TP,9,0.5923856275253598,1.9909277075178813,1.499999999999988,1.4788988803590437,1.882219871973957,0.0658354932798093,3.7473636947537097,0.1310737077088797,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,132.0,WICK_L120_BODY_RR15,2015-07-09,2015-07-10,0.2476418951593115,1.1585484465845304,1.8624699278267751,True,120-240d
AUDJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2016,2016-03,3434-3445,3434,3445,2016-02-22 16:00:00,2016-02-24 12:00:00,2016-02-23 04:00:00,2016-02-25 00:00:00,82.02,79.605,2.414999999999992,4.214052906360846,11,3454,2016-02-26 00:00:00,9,0.8662525879917208,0.3830957187600768,0.4056038040076794,1.058753163100992,18.904934757987384,-0.5214402175474684,0.6803798698791996,8.804226012538216,3486,2016-03-04 04:00:00,0.4900564570727169,83.871,83.129,6,1.5141112606335654,80.8125,1.4592132505176034,0.0571362739861848,83.899,83.00648588573182,1.821247534619762,0.4900849858357069,0.9575070821529722,33.45832050999135,2.041343390801807,8.792864450229267,41,1.7780538302277478,0.2137135544395704,0.5578594173050881,2.2752480533779513,0.4387249609652642,0.0102029060689501,2.7058106894880383,1.1304819924407137,2.40788583227442,5.115737102976289,1.1304819924407137,1.0019253759718194,5.115737102976289,1.1304819924407137,1.8569289045506168,2016-03-04 08:00:00,83.9,85.23777117140227,2016-03-10 12:00:00,85.23777117140227,TP,26,0.8935141142681857,1.8232881158335636,1.4972020587474888,1.4832123524850125,1.921626052215495,0.6211429580545217,3.5036779440806796,1.1325225736545153,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,238.33333333333334,WICK_L120_BODY_RR15,2015-07-09,2015-07-10,0.2476418951593115,1.1585484465845304,1.8624699278267751,True,120-240d
CHFJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2016,2016-05,3750-3766,3750,3766,2016-05-03 20:00:00,2016-05-06 12:00:00,2016-05-04 08:00:00,2016-05-08 20:00:00,112.556,109.834,2.721999999999994,6.3999503257574135,16,3772,2016-05-09 08:00:00,6,0.6502571638501101,0.3999968953598383,0.6936022579347674,1.7340191036002937,22.366219546542325,-2.396902834963996,-1.0102834549422992,8.66622702692806,3808,2016-05-17 04:00:00,0.3472332466214187,111.608,111.301,6,0.8841319285728361,111.195,0.5389419544452615,1.0310072652412512,111.966,111.21419168834464,2.165139193814104,0.8252569750366932,0.8737151248164299,13.635755435293188,0.1119623754753232,8.409333001409331,42,0.7832476120499615,0.1461896441536579,0.3654769470701648,0.4060671072598493,3.084382070037456,-1.3909958355070615,0.4060671072598493,3.4501304574275053,-2.6869546884639863,0.4060671072598493,5.088798429277481,-2.652395785718467,1.0598063508625717,5.088798429277481,-3.5595669827883025,2016-05-17 08:00:00,111.967,113.09371246748302,2016-05-17 20:00:00,111.21419168834464,SL,3,0.7528083116553574,2.1680191023762445,-1.0,-1.0265671880747864,0.1859703165234098,1.1490308842339134,0.403187198697709,2.491120906239392,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,7.333333333333333,CLOSEFAIL_L120_W6_BODY_RR15,2016-05-09,2016-05-10,0.7188076659000363,0.8226453860051475,1.438081369431484,False,7-15d
GBPJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2016,2016-08,5731-5738,5731,5738,2016-08-18 08:00:00,2016-08-19 12:00:00,2016-08-18 20:00:00,2016-08-21 20:00:00,132.12,130.32,1.8000000000000114,3.1361634318045946,7,5743,2016-08-22 04:00:00,5,0.8166666666666609,0.4480233474006564,0.5122400271947468,1.143333333333325,19.83572669401971,-1.7407932411065126,0.3925262771677978,6.792271497845146,5756,2016-08-24 08:00:00,0.4537665187138215,132.42,131.85,6,1.2561526170234631,131.22,0.8499999999999953,0.3526042433750665,132.58,131.73655837032155,1.8587568603985132,0.7543859649122641,0.7719298245614201,16.773381652699133,0.3386067898157485,7.691180058617456,18,1.2555555555555584,0.2766963854262266,0.617593674596569,1.4544925039219143,0.5068685998516189,-0.0220377652109808,3.878646677125105,0.5068685998516189,2.7326828861562955,13.685452195992584,0.5068685998516189,11.922430979117566,13.685452195992584,0.5068685998516189,7.779331119461191,2016-08-24 12:00:00,132.57,133.8451624445177,2016-08-28 20:00:00,133.8451624445177,TP,15,0.8334416296784468,1.8367190951875323,1.529996101838222,1.5059992203677126,1.631787939996134,0.2639656961758412,2.997136068687627,0.4848308346406381,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,43.5,CLOSEFAIL_L120_W6_BODY_RR15,2016-07-11,2016-07-12,0.7013812025495635,0.9156921255508182,1.0398764120884427,True,30-60d
AUDJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2016,2016-10,4384-4397,4384,4397,2016-09-23 00:00:00,2016-09-27 00:00:00,2016-09-23 12:00:00,2016-09-27 12:00:00,77.338,76.182,1.1559999999999917,3.4275761705450383,13,4402,2016-09-27 20:00:00,5,0.7551903114186945,0.2636597054265414,0.5176944631290408,1.9634948096886056,16.370968755712497,-0.1677932262286742,0.8336006387849285,6.320469199051642,4426,2016-10-03 16:00:00,0.3545269956241037,77.902,77.373,6,1.492128967693287,76.75999999999999,1.0302768166090062,0.1523156224110418,77.956,77.28436825109398,1.8944445901043252,0.6232558139534801,0.7534883720930399,12.170975719313974,1.0080491317222655,5.630036709859762,29,1.534602076124579,0.1725465607644815,0.6544290129025988,2.9955405740837016,0.1523156224110418,2.572441622941919,2.9955405740837016,0.1523156224110418,0.4202782914674908,3.026567830500752,0.6008005106213314,0.9985135246945672,5.810558929013602,0.6008005106213314,4.084315208355169,2016-10-03 20:00:00,77.955,78.96344762335903,2016-10-05 16:00:00,78.96344762335903,TP,11,0.6706317489060183,1.8916239304300333,1.503727828281442,1.4850886868742843,1.5850725852661207,0.0790299595664157,2.9983612337579935,0.1494949627367498,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,451.8333333333333,WICK_L120_BODY_RR15,2015-07-09,2015-07-10,0.2476418951593115,1.1585484465845304,1.8624699278267751,True,>240d
EURJPY,H4,CURRENT_PRECALM_SHELF6_RR15,current,Research_2015_2024,2016,2016-10,4314-4326,4314,4326,2016-09-23 16:00:00,2016-09-27 12:00:00,2016-09-26 00:00:00,2016-09-28 00:00:00,113.6,112.23,1.3699999999999903,3.625747195511365,12,4334,2016-09-28 20:00:00,8,0.7664233576642369,0.302145599625947,0.3473571674531888,1.1496350364963552,21.318947870450007,-2.0054440565903353,-0.6626303553534814,10.122017231743254,4353,2016-10-03 20:00:00,0.4002056296700362,114.08,113.62,6,1.1494091184555726,112.915,1.014598540145993,0.1249357737451655,114.13,113.5199485925825,1.5243448922007408,0.8275862068965162,0.9310344827585868,13.593044819539308,0.672057071373425,5.672084128030828,27,1.3868613138686168,0.175835533419131,0.5819562940410634,5.272289652046284,0.1499229284942128,4.497687854826244,5.297276806795331,0.1499229284942128,2.7985613318918783,5.297276806795331,0.5497174044787567,0.8245761067181352,5.297276806795331,2.4487411654053584,-2.2488439274130863,2016-10-04 00:00:00,114.12,115.04507711112625,2016-10-04 12:00:00,115.04507711112625,TP,3,0.6000514074175101,1.4993577374517288,1.541663097012924,1.520831548506462,2.0498243730377044,0.0833261940259425,3.0734200341312214,0.124935773745201,6,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,106.0,CLOSEFAIL_L120_W6_BODY_RR15,2016-06-19,2016-06-20,2.403124063425473,0.2864651201434338,1.4158749616917,True,60-120d
