symbol,timeframe,strategy,trap_kind,lookback,quality,rr,signal_time,period,year,month,direction,trap_level,break_time,break_extreme,fail_bars,break_depth_atr,reclaim_atr,body_ratio,close_location,range_atr,activity_ratio,atr_expansion_20,lower_wick_atr,upper_wick_atr,ema50_slope_20_atr,range60_atr,fwd_4_atr,fwd_8_atr,fwd_16_atr,fwd_24_atr,fwd_36_atr,mfe_8_atr,mae_8_atr,hit_1atr_first_8,mfe_16_atr,mae_16_atr,hit_1atr_first_16,mfe_24_atr,mae_24_atr,hit_1atr_first_24,mfe_36_atr,mae_36_atr,hit_1atr_first_36,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,risk_atr,r_clean,r_after_cost,mfe_r,mae_r,context_start
AUDJPY,D1,WICK_L120_BODY_RR15,wick,120,body_close,1.5,2015-02-01,Research_2015_2024,2015,2015-02,long,90.86,2015-02-01,90.676,0,0.1539902210637898,0.2619507564835175,0.9783464566929218,0.9783464566929218,0.4602968564406798,0.4949158643030665,1.474690179581896,0.0,0.00920593712881,1.661156062042773,9.866253891962188,0.4092457505445375,1.4436583224730442,1.3248180431738168,1.7675399287322155,1.0059578571667258,1.6135497076684258,1.5106105925007902,False,1.8353291021353004,1.5106105925007902,False,2.3316128037158936,1.5106105925007902,False,2.5299589036730556,1.5106105925007902,False,2015-02-02,91.173,90.37727973268548,92.3665804009718,2015-02-03,90.37727973268548,SL,1,0.795720267314536,0.6659409775473096,-1.0,-1.0157090381047786,1.0858087138032873,2.2683851023320964,2015-02-02
AUDJPY,D1,CLOSEFAIL_L120_W6_BODY_RR15,close_fail,120,body_close,1.5,2015-02-02,Research_2015_2024,2015,2015-02,long,91.38,2015-01-30,90.676,2,0.6001904618071848,0.2668460433887102,0.5855855855855776,0.6171171171171155,0.7570584234158922,0.7934475055845179,1.4463949674618413,0.0238712115491545,0.2898647116682482,1.8083163673996965,9.606457561993496,0.9565535485052096,0.9522908321571508,1.3419031063700515,1.306096289046326,0.9028433225196209,1.2003809236143816,1.9821631018490329,False,1.497065981439526,1.9821631018490329,False,1.9318630489418984,1.9821631018490329,False,2.133915803840053,1.9821631018490329,False,2015-02-03,91.695,90.38275975177936,93.66336037233094,2015-02-03,90.38275975177936,SL,0,1.3122402482206326,1.118741591735119,-1.0,-1.00952569471706,0.2606230074590053,1.7733033285294797,2015-02-03
AUDJPY,D1,CLOSEFAIL_L120_W6_BODY_RR15,close_fail,120,body_close,1.5,2015-07-09,Research_2015_2024,2015,2015-07,long,90.195,2015-07-08,89.162,1,0.8944548171313884,0.5117355246124535,0.5823466092572732,0.8740581270183014,1.6088064377832831,1.8624699278267751,1.5093110361466209,0.4693073677494747,0.2026160960394412,0.730048409054204,7.03961051624228,0.9065771476636716,0.5870671500630072,0.0155858535414964,0.717815143661108,-0.2182019495809376,1.420044433780732,0.1896278847548731,True,1.420044433780732,1.2511976870811996,True,1.420044433780732,1.2511976870811996,True,1.6503687138939402,1.2511976870811996,True,2015-07-10,90.785,88.87327664019047,93.6525850397143,2015-08-03,90.165,max_hold,20,1.911723359809528,1.655324460991536,-0.3243147063191,-0.330853309269076,0.8583877952736342,0.7553394127819171,2015-07-10
AUDJPY,D1,WICK_L120_ACTIVITY_RR15,wick,120,wick_activity,1.5,2015-07-09,Research_2015_2024,2015,2015-07,long,89.448,2015-07-09,89.162,0,0.2476418951593115,1.1585484465845304,0.5823466092572732,0.8740581270183014,1.6088064377832831,1.8624699278267751,1.5093110361466209,0.4693073677494747,0.2026160960394412,0.730048409054204,7.03961051624228,0.9065771476636716,0.5870671500630072,0.0155858535414964,0.717815143661108,-0.2182019495809376,1.420044433780732,0.1896278847548731,True,1.420044433780732,1.2511976870811996,True,1.420044433780732,1.2511976870811996,True,1.6503687138939402,1.2511976870811996,True,2015-07-10,90.785,88.87327664019047,93.6525850397143,2015-08-03,90.165,max_hold,20,1.911723359809528,1.655324460991536,-0.3243147063191,-0.330853309269076,0.8583877952736342,0.7553394127819171,2015-07-10
AUDJPY,D1,WICK_L120_BODY_RR15,wick,120,body_close,1.5,2015-07-09,Research_2015_2024,2015,2015-07,long,89.448,2015-07-09,89.162,0,0.2476418951593115,1.1585484465845304,0.5823466092572732,0.8740581270183014,1.6088064377832831,1.8624699278267751,1.5093110361466209,0.4693073677494747,0.2026160960394412,0.730048409054204,7.03961051624228,0.9065771476636716,0.5870671500630072,0.0155858535414964,0.717815143661108,-0.2182019495809376,1.420044433780732,0.1896278847548731,True,1.420044433780732,1.2511976870811996,True,1.420044433780732,1.2511976870811996,True,1.6503687138939402,1.2511976870811996,True,2015-07-10,90.785,88.87327664019047,93.6525850397143,2015-08-03,90.165,max_hold,20,1.911723359809528,1.655324460991536,-0.3243147063191,-0.330853309269076,0.8583877952736342,0.7553394127819171,2015-07-10
AUDJPY,D1,CLOSEFAIL_L120_W6_BODY_RR15,close_fail,120,body_close,1.5,2017-04-20,Research_2015_2024,2017,2017-04,long,81.838,2017-04-19,81.486,1,0.4574875376177398,0.5107744383061856,0.6966173361522022,0.7019027484143688,1.2294977573477277,1.2059148466049272,1.0321860264184683,0.006498402522992,0.3665099022960548,2.143972300984582,8.698761617260288,1.9378236323524711,1.3672638908348849,1.609004464689711,0.5965533516095176,0.019495207568939,2.3186300201990755,0.3301188481673439,True,2.9996626046073227,0.3301188481673439,True,2.9996626046073227,0.6004523931232869,True,2.9996626046073227,0.6004523931232869,True,2017-04-21,82.231,81.29364503344019,83.63703244983971,2017-04-23,83.63703244983971,TP,1,0.9373549665598092,1.2182619759239162,1.5,1.486664603649709,1.716532218211002,0.2709752538381455,2017-04-21
AUDJPY,D1,CLOSEFAIL_L120_W6_BODY_RR15,close_fail,120,body_close,1.5,2018-03-05,Research_2015_2024,2018,2018-03,long,82.125,2018-03-02,81.487,2,0.8171215506435395,0.4815637978714298,0.5762557077625579,0.926027397260284,1.4024264858223627,1.265213372361729,0.88026465211547,0.4905290813424467,0.1037411373073935,2.567826601651357,9.73373633995432,1.6611389517000934,1.481833282279882,-2.4500838971490393,-1.9736431184039076,0.9349509905482296,2.5909669231220436,0.626289088189171,True,2.5909669231220436,2.56535182749059,True,2.5909669231220436,2.56535182749059,True,2.5909669231220436,2.56535182749059,True,2018-03-06,82.502,81.29180260265515,84.31729609601726,2018-03-13,84.31729609601726,TP,6,1.2101973973448423,1.5499661032965284,1.5,1.4896711065257506,1.6708018083960912,0.4048926241909366,2018-03-06
AUDJPY,D1,WICK_L120_ACTIVITY_RR15,wick,120,wick_activity,1.5,2018-03-05,Research_2015_2024,2018,2018-03,long,81.561,2018-03-05,81.487,0,0.0947758538364129,1.2039094946785565,0.5762557077625579,0.926027397260284,1.4024264858223627,1.265213372361729,0.88026465211547,0.4905290813424467,0.1037411373073935,2.567826601651357,9.73373633995432,1.6611389517000934,1.481833282279882,-2.4500838971490393,-1.9736431184039076,0.9349509905482296,2.5909669231220436,0.626289088189171,True,2.5909669231220436,2.56535182749059,True,2.5909669231220436,2.56535182749059,True,2.5909669231220436,2.56535182749059,True,2018-03-06,82.502,81.29180260265515,84.31729609601726,2018-03-13,84.31729609601726,TP,6,1.2101973973448423,1.5499661032965284,1.5,1.4896711065257506,1.6708018083960912,0.4048926241909366,2018-03-06
AUDJPY,D1,WICK_L120_BODY_RR15,wick,120,body_close,1.5,2018-03-05,Research_2015_2024,2018,2018-03,long,81.561,2018-03-05,81.487,0,0.0947758538364129,1.2039094946785565,0.5762557077625579,0.926027397260284,1.4024264858223627,1.265213372361729,0.88026465211547,0.4905290813424467,0.1037411373073935,2.567826601651357,9.73373633995432,1.6611389517000934,1.481833282279882,-2.4500838971490393,-1.9736431184039076,0.9349509905482296,2.5909669231220436,0.626289088189171,True,2.5909669231220436,2.56535182749059,True,2.5909669231220436,2.56535182749059,True,2.5909669231220436,2.56535182749059,True,2018-03-06,82.502,81.29180260265515,84.31729609601726,2018-03-13,84.31729609601726,TP,6,1.2101973973448423,1.5499661032965284,1.5,1.4896711065257506,1.6708018083960912,0.4048926241909366,2018-03-06
AUDJPY,D1,CLOSEFAIL_L120_W6_BODY_RR15,close_fail,120,body_close,1.5,2018-03-26,Research_2015_2024,2018,2018-03,long,81.255,2018-03-22,80.498,3,0.8896381654721901,0.6922019543766514,0.957666980244602,0.9887111947318904,1.2492541213962207,1.3079857265903656,1.0793397091521808,0.0387821128937531,0.0141025865068253,2.098660045139222,10.070421981415164,-0.2996799632700226,0.7016036787145461,1.7169899072059402,0.9895314865622254,0.0893163812098996,0.7674157490797257,1.2809849410365777,False,2.6207306591849555,1.2809849410365777,False,2.6207306591849555,1.2809849410365777,False,2.6207306591849555,1.2809849410365777,False,2018-03-27,81.846,80.28527306522473,84.18709040216291,2018-04-19,82.95,max_hold,20,1.5607269347752748,1.8341905509333247,0.7073626881174838,0.6993535997103638,1.4275399176863688,0.6996739632466413,2018-03-27
