universe,label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_trades,oos_total_r
all_symbols,BASELINE,55,50.90909090909091,13.568321702940345,0.246696758235279,1.4857676852182213,8.486273533508538,8,1.2306295714965267,0.8824393845748911,7,5.401321453757891
all_symbols,REQUIRE_D1_LOW_TRAP_WITHIN_7D,0,0.0,0.0,,,0.0,0,,,0,0.0
all_symbols,REQUIRE_D1_LOW_TRAP_WITHIN_15D,4,25.0,-1.8382176705205484,-0.4595544176301371,0.44572703012307713,2.289881151321463,3,0.7333594588120647,1.1795096632017354,1,1.4782306688757012
all_symbols,REQUIRE_D1_LOW_TRAP_WITHIN_30D,5,40.0,-0.3803919751976339,-0.07607839503952678,0.8853014019006601,2.289881151321463,3,0.9199582946758849,1.0575720738666483,1,1.4782306688757012
all_symbols,REQUIRE_D1_LOW_TRAP_WITHIN_60D,9,66.66666666666666,5.548851551190411,0.616539061243379,2.673130705904668,2.289881151321463,2,1.4053280232334573,0.7766172074140315,2,2.9575287616446237
all_symbols,REQUIRE_D1_LOW_TRAP_WITHIN_120D,16,62.5,8.515857299640805,0.5322410812275503,2.334124764505421,4.342275011865811,4,1.328665283468648,0.8667312896753836,3,4.454191077696121
all_symbols,REQUIRE_D1_LOW_TRAP_WITHIN_240D,24,62.5,12.84113130687406,0.5350471377864191,2.355757121866513,7.430728208975317,7,1.3842447691334705,0.7574466937280423,4,5.942930523399443
all_symbols,D1_LOW_TRAP_AGE_3_15D,4,25.0,-1.8382176705205484,-0.4595544176301371,0.44572703012307713,2.289881151321463,3,0.7333594588120647,1.1795096632017354,1,1.4782306688757012
all_symbols,D1_LOW_TRAP_AGE_7_30D,5,40.0,-0.3803919751976339,-0.07607839503952678,0.8853014019006601,2.289881151321463,3,0.9199582946758849,1.0575720738666483,1,1.4782306688757012
all_symbols,D1_LOW_TRAP_AGE_15_60D,5,100.0,7.387069221710959,1.4774138443421918,inf,0.0,0,1.9429028747705712,0.45430324278386836,1,1.4792980927689223
all_symbols,D1_LOW_TRAP_AGE_30_120D,11,72.72727272727273,8.89624927483844,0.8087499340762218,3.9009611350495508,3.066655794644585,3,1.5144411874653585,0.7799854786793542,2,2.9759604088204203
all_symbols,D1_LOW_TRAP_AGE_60_240D,15,60.0,7.29227975568365,0.48615198371224333,2.1847523358973833,6.155108991754092,6,1.3715948166734786,0.7459443855164488,2,2.9854017617548196
all_symbols,D1_LOW_TRAP_AGE_120_9999D,37,45.94594594594595,4.592356529284549,0.12411774403471755,1.2236878300351424,7.4898139626299045,6,1.1930177848376677,0.8892381087204708,4,0.9471303760617689
all_symbols,AVOID_D1_LOW_TRAP_WITHIN_7D,55,50.90909090909091,13.568321702940345,0.246696758235279,1.4857676852182213,8.486273533508538,8,1.2306295714965267,0.8824393845748911,7,5.401321453757891
all_symbols,AVOID_D1_LOW_TRAP_WITHIN_15D,51,52.94117647058824,15.406539373460893,0.3020890073227626,1.6258938097636624,6.196392382187074,6,1.269631148961975,0.8591397548786681,6,3.923090784882189
all_symbols,AVOID_D1_LOW_TRAP_WITHIN_30D,50,52.0,13.94871367813798,0.2789742735627596,1.5666693430421623,7.095576871785553,6,1.2616966991785912,0.8649261156457153,6,3.923090784882189
all_symbols,AVOID_D1_LOW_TRAP_WITHIN_60D,46,47.82608695652174,8.019470151749937,0.17433630764673777,1.3257926133763034,8.504075896730141,6,1.1964494396349536,0.9031437235846246,5,2.443792692113267
all_symbols,AVOID_D1_LOW_TRAP_WITHIN_120D,39,46.15384615384615,5.052464403299544,0.12955036931537292,1.2344682821540125,7.489813962629903,6,1.1904097922259131,0.8888837312003302,4,0.9471303760617689
all_symbols,AVOID_D1_LOW_TRAP_WITHIN_240D,31,41.935483870967744,0.7271903960662871,0.02345775471181571,1.0393924385238174,5.877829960265866,4,1.1117016765517966,0.9792079194240644,3,-0.541609069641553
selected_ex_xau_chf_silver,BASELINE,34,58.82352941176471,15.545414765716837,0.45721808134461284,2.090817256714214,5.10669170088808,5,1.329273843399927,0.7524373925992267,5,4.931994433991882
selected_ex_xau_chf_silver,REQUIRE_D1_LOW_TRAP_WITHIN_7D,0,0.0,0.0,,,0.0,0,,,0,0.0
selected_ex_xau_chf_silver,REQUIRE_D1_LOW_TRAP_WITHIN_15D,1,100.0,1.4782306688757012,1.4782306688757012,inf,0.0,0,1.680592362798102,0.2127174641291336,1,1.4782306688757012
selected_ex_xau_chf_silver,REQUIRE_D1_LOW_TRAP_WITHIN_30D,1,100.0,1.4782306688757012,1.4782306688757012,inf,0.0,0,1.680592362798102,0.2127174641291336,1,1.4782306688757012
selected_ex_xau_chf_silver,REQUIRE_D1_LOW_TRAP_WITHIN_60D,3,100.0,4.519677077550236,1.5065590258500787,inf,0.0,0,2.080893734273993,0.2849288340813482,1,1.4782306688757012
selected_ex_xau_chf_silver,REQUIRE_D1_LOW_TRAP_WITHIN_120D,9,77.77777777777779,8.519688418419078,0.9466320464910086,5.189357839953495,2.033650202226138,2,1.569851669044779,0.7341706522830989,2,2.974892984927199
selected_ex_xau_chf_silver,REQUIRE_D1_LOW_TRAP_WITHIN_240D,16,75.0,13.88177953796429,0.8676112211227681,4.397994305088906,4.085286287023685,4,1.5487103056992086,0.6155636732845594,3,4.463632430630521
selected_ex_xau_chf_silver,D1_LOW_TRAP_AGE_3_15D,1,100.0,1.4782306688757012,1.4782306688757012,inf,0.0,0,1.680592362798102,0.2127174641291336,1,1.4782306688757012
selected_ex_xau_chf_silver,D1_LOW_TRAP_AGE_7_30D,1,100.0,1.4782306688757012,1.4782306688757012,inf,0.0,0,1.680592362798102,0.2127174641291336,1,1.4782306688757012
selected_ex_xau_chf_silver,D1_LOW_TRAP_AGE_15_60D,2,100.0,3.0414464086745348,1.5207232043372674,inf,0.0,0,2.2810444200119386,0.3210345190574555,0,0.0
selected_ex_xau_chf_silver,D1_LOW_TRAP_AGE_30_120D,8,75.0,7.041457749543376,0.880182218692922,4.462472426101322,2.033650202226138,2,1.5560090823256134,0.7993523008023445,1,1.496662316051498
selected_ex_xau_chf_silver,D1_LOW_TRAP_AGE_60_240D,13,69.23076923076923,9.362102460414055,0.7201617277241581,3.2916637421840913,4.085286287023687,4,1.4258987452588736,0.6918640207929929,2,2.9854017617548196
selected_ex_xau_chf_silver,D1_LOW_TRAP_AGE_120_9999D,25,52.0,7.025726347297759,0.28102905389191035,1.5750537231767994,4.092429766787842,4,1.2426658261677803,0.7590134191130329,3,1.957101449064682
selected_ex_xau_chf_silver,AVOID_D1_LOW_TRAP_WITHIN_7D,34,58.82352941176471,15.545414765716837,0.45721808134461284,2.090817256714214,5.10669170088808,5,1.329273843399927,0.7524373925992267,5,4.931994433991882
selected_ex_xau_chf_silver,AVOID_D1_LOW_TRAP_WITHIN_15D,33,57.57575757575758,14.067184096841137,0.4262783059648829,1.9870902383415747,5.10669170088808,5,1.3186278276605883,0.7687925419468052,4,3.45376376511618
selected_ex_xau_chf_silver,AVOID_D1_LOW_TRAP_WITHIN_30D,33,57.57575757575758,14.067184096841137,0.4262783059648829,1.9870902383415747,5.10669170088808,5,1.3186278276605883,0.7687925419468052,4,3.45376376511618
selected_ex_xau_chf_silver,AVOID_D1_LOW_TRAP_WITHIN_60D,31,54.83870967741935,11.025737688166604,0.35566895768279366,1.7736728237563895,5.10669170088808,5,1.2565364346056622,0.7976801563267635,4,3.45376376511618
selected_ex_xau_chf_silver,AVOID_D1_LOW_TRAP_WITHIN_120D,25,52.0,7.025726347297759,0.28102905389191035,1.5750537231767994,4.092429766787842,4,1.2426658261677803,0.7590134191130329,3,1.957101449064682
selected_ex_xau_chf_silver,AVOID_D1_LOW_TRAP_WITHIN_240D,18,44.44444444444444,1.663635227752549,0.09242417931958606,1.1636489639956775,3.1212765443724604,2,1.1342192102450097,0.874102920878931,2,0.46836200336136025
