candidate,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
T5_base_no_indicator_filter,AUDJPY,5,40.0,-0.29535978485158076,-0.059071956970316156,0.9020877464793811,1.005979245373212,1
T5_base_no_indicator_filter,CHFJPY,6,83.33333333333334,5.234081710575926,0.8723469517626543,6.207702526432618,0.0,1
T5_base_no_indicator_filter,EURJPY,8,37.5,1.0459784442130595,0.13074730552663244,1.3135889821876359,1.1800564073163882,2
T5_base_no_indicator_filter,GBPJPY,7,42.857142857142854,-1.712904333365847,-0.24470061905226384,0.5753842110465999,1.4659166264974066,1
T5_base_no_indicator_filter,SILVER,5,80.0,3.2257660174513125,0.6451532034902625,4.1520080177866685,0.0,1
T5_base_no_indicator_filter,USDJPY,5,80.0,4.002455776532164,0.8004911553064329,4.991457855251147,0.0,1
T5_base_no_indicator_filter,XAUUSD,4,75.0,3.0635744412100845,0.7658936103025211,4.0610757796244386,1.0008162691045674,1
Current_060_110,AUDJPY,3,33.33333333333333,-0.018675659278927448,-0.006225219759642482,0.990711386399887,1.005824042064217,1
Current_060_110,CHFJPY,3,100.0,4.586442267502985,1.5288140891676616,inf,0.0,0
Current_060_110,EURJPY,6,33.33333333333333,-0.7760427900715474,-0.12934046501192456,0.7545856973267737,1.0067230291412559,2
Current_060_110,GBPJPY,5,20.0,-3.4795478058635636,-0.6959095611727127,0.1374469034796547,2.472898794318107,3
Current_060_110,SILVER,5,80.0,3.2257660174513125,0.6451532034902625,4.1520080177866685,0.0,1
Current_060_110,USDJPY,3,100.0,3.0106206224412926,1.003540207480431,inf,0.0,0
Current_060_110,XAUUSD,2,100.0,3.9872898151949663,1.9936449075974831,inf,0.0,0
Robust_075_105_width7,AUDJPY,3,33.33333333333333,-0.018675659278927448,-0.006225219759642482,0.990711386399887,1.005824042064217,1
Robust_075_105_width7,CHFJPY,3,100.0,4.586442267502985,1.5288140891676616,inf,0.0,0
Robust_075_105_width7,EURJPY,3,33.33333333333333,0.8404545721953469,0.2801515240651156,1.7295575193642754,0.14904407996818936,2
Robust_075_105_width7,GBPJPY,4,25.0,-2.4725656380428633,-0.6181414095107158,0.18317049410526873,1.465916626497407,2
Robust_075_105_width7,SILVER,4,75.0,1.2284432901744788,0.3071108225436197,2.2003546069610844,0.0,1
Robust_075_105_width7,USDJPY,3,100.0,3.0106206224412926,1.003540207480431,inf,0.0,0
Robust_075_105_width7,XAUUSD,1,100.0,1.989256832487368,1.989256832487368,inf,0.0,0
Strict_075_100_width7,AUDJPY,2,0.0,-2.0105970689425634,-1.0052985344712817,0.0,1.0058240420642168,2
Strict_075_100_width7,CHFJPY,3,100.0,4.586442267502985,1.5288140891676616,inf,0.0,0
Strict_075_100_width7,EURJPY,1,0.0,-0.1490440799681893,-0.1490440799681893,0.0,0.0,1
Strict_075_100_width7,GBPJPY,3,33.33333333333333,-1.462565301562242,-0.48752176718741397,0.2748907419685702,1.0103784713650532,1
Strict_075_100_width7,SILVER,3,66.66666666666666,1.149926788689615,0.383308929563205,2.123633406207538,0.0,1
Strict_075_100_width7,USDJPY,3,100.0,3.0106206224412926,1.003540207480431,inf,0.0,0
Strict_075_100_width7,XAUUSD,1,100.0,1.989256832487368,1.989256832487368,inf,0.0,0
