candidate,trigger_type,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
T5_base_no_indicator_filter,rebreak,25,64.0,12.635399958823179,0.5054159983529272,2.5403605653922803,2.0162025134292705,2
T5_base_no_indicator_filter,stagnation,10,60.0,2.231968584481064,0.2231968584481064,1.700206810308049,1.0067230291412559,1
T5_base_no_indicator_filter,stagnation+rebreak,5,40.0,-0.3037762715391239,-0.06075525430782478,0.8996663826490436,1.003445319746302,1
Current_060_110,rebreak,19,63.1578947368421,10.918171208282034,0.5746405899095808,2.763316125691462,2.0162025134292705,2
Current_060_110,stagnation,6,66.66666666666666,1.6445268999213252,0.2740878166535542,1.8175640687934307,1.0067230291412559,1
Current_060_110,stagnation+rebreak,2,0.0,-2.0268456408268416,-1.0134228204134208,0.0,1.0034453197463018,2
Robust_075_105_width7,rebreak,15,60.0,7.536126679497638,0.5024084452998425,2.4534876394426,2.0162025134292705,2
Robust_075_105_width7,stagnation,5,80.0,2.651249929062581,0.5302499858125163,3.6386555551750317,0.0,1
Robust_075_105_width7,stagnation+rebreak,1,0.0,-1.0234003210805398,-1.0234003210805398,0.0,0.0,1
Strict_075_100_width7,rebreak,11,63.63636363636363,5.564706954151088,0.5058824503773717,2.7543789730908363,2.0162025134292705,2
Strict_075_100_width7,stagnation,4,75.0,2.572733427577717,0.6431833568944293,3.5605120348132235,0.0,1
Strict_075_100_width7,stagnation+rebreak,1,0.0,-1.0234003210805398,-1.0234003210805398,0.0,0.0,1
