stress,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak
base,14,57.14285714285714,8.560655896583302,0.6114754211845216,3.0799393905968,2.0175331103144574,2,2,50.0,-0.4758189785548198,-0.2379094892774099,0.24153841939736184,0.6273475027921075,1
cost_x1_5,14,57.14285714285714,8.520593474239547,0.6086138195885391,3.0600244886632995,2.0262996654716865,2,2,50.0,-0.4792938789334963,-0.23964693946674814,0.23855713575054407,0.629454817211965,1
cost_x2,14,57.14285714285714,8.480531051895797,0.605752217992557,3.0403045085134264,2.0350662206289156,2,2,50.0,-0.4827687793121727,-0.24138438965608636,0.2355957472231579,0.6315621316318223,1
extra_-0_10R,14,57.14285714285714,7.160655896583303,0.5114754211845216,2.5184328655862775,2.2175331103144584,2,2,50.0,-0.6758189785548198,-0.3379094892774099,0.07084443686062357,0.7273475027921075,1
extra_-0_20R,14,50.0,5.760655896583305,0.4114754211845218,2.07388945019767,2.4175331103144577,3,2,0.0,-0.8758189785548198,-0.4379094892774099,0.0,0.8273475027921076,2
