symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,period,open,high,low,close,atr,body_ratio,ema20,ema50,ema200,ema20_slope_10_atr,rsi14,adx14,bb_width_atr,bb_pos,donchian20_high_prev,donchian55_high_prev,donchian20_break,donchian55_break,atr50,atr_ratio_50,atr_pctile_252,close_location,range5_atr,macd,macd_signal,macd_hist,macd_hist_slope3,stoch_k14,stoch_d3,cci20,roc10,williams_r14,chop14,aroon_up25,aroon_down25,ichi_tenkan,ichi_kijun,ichi_cloud_top,ichi_cloud_bottom,kc_mid,kc_pos,bb_kc_width_ratio,month,year,exit_variant,exit_time_model,exit_model,exit_reason_model,r_clean_model,r_after_cost_model,bars_held_model,mfe_r_model,wf_window,rule
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2015-11-26 08:00:00,short,stagnation,4519,4537,4546,185.99,188.75,6.331324054798319,18,0.3517402252665733,9,0.5,33,1.43478260869566,0.618,0.8,184.79,2015-11-26 12:00:00,184.78,188.85898194343363,176.6520361131327,2016-01-04 00:00:00,176.6520361131327,TP,149,4.078981943433632,1.992645223632758,1.98774203938793,Research_2015_2024,185.33,185.38,184.65,184.79,0.4359277737345114,0.7397260273972986,185.54420297752085,186.1492509923908,185.9387447699797,-1.552065979378204,32.91726725970007,32.60137531695227,5.927892454301971,0.2496258861755896,186.93,188.75,False,False,0.4084380241386655,1.067304579816773,23.809523809523807,0.1917808219177922,2.5004142100471785,-0.4445645430394336,-0.5015606135132796,0.056996070473846,-0.0029148387105744,29.696969696968935,52.7272727272726,-32.87533923020747,0.0378951927241244,-70.30303030303106,52.35727655774279,4.0,60.0,185.115,186.13,186.525,185.6225,185.54420297752085,0.0674725132447236,1.4819731135754928,2015-11,2015,fixed_2R,2016-01-04 00:00:00,176.6520361131327,TP,1.992645223632758,1.98774203938793,149,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2016-02-08 08:00:00,short,rebreak,4821,4849,4868,166.99,174.95,9.130338486586554,28,0.3260835173780911,19,0.6785714285714286,28,0.8479899497487459,0.618,0.8,168.2,2016-02-08 12:00:00,168.18,175.16795467965656,154.26409064068685,2016-03-18 16:00:00,161.6,max_hold,180,6.9879546796565535,0.9416203025981,0.9387582348090506,Research_2015_2024,170.42,170.49,167.94,168.2,0.871818718626267,0.8705882352941133,170.41207485316517,170.81469722600622,172.91109643265736,-1.6781270904908252,30.10427073164162,26.93635325001645,5.816611314496074,0.0245542416785914,173.65,174.95,False,False,0.9878232604507324,0.8825654887175527,59.12698412698413,0.1019607843137214,3.0396227373686533,-0.726840002158724,-0.5866138572716073,-0.1402261448871167,0.0773365366630942,5.816554809843199,26.698003819080828,-79.17022664424894,-1.250513708683154,-94.1834451901568,33.462070456589025,4.0,100.0,169.265,171.195,171.445,170.23,170.41207485316517,-0.1343276434379472,1.4541528286240184,2016-02,2016,fixed_2R,2016-03-18 16:00:00,161.6,max_hold,0.9416203025981,0.9387582348090506,180,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2016-09-19 08:00:00,short,stagnation+rebreak,5844,5848,5850,134.46,136.58,3.70700116465248,4,0.92675029116312,2,0.5,20,1.768867924528298,0.618,0.8,132.83,2016-09-19 12:00:00,132.84,136.7229727093301,125.0440545813399,2016-10-06 20:00:00,125.0440545813399,TP,82,3.882972709330062,2.0077260393635754,2.0025753464545213,Research_2015_2024,133.23,133.29,132.79,132.83,0.5718908373201842,0.7999999999999545,134.1577141076002,134.93869250916856,135.2408742535729,-2.2386895836772966,29.346839926911528,32.84650536386132,7.335864473588095,0.1136164956699769,136.58,138.25,False,False,0.5777899838823786,0.9897901543350476,50.79365079365079,0.0800000000000409,1.101608836665585,-0.7122122298000022,-0.5515721304720035,-0.1606400993279987,0.0591564871778525,1.4234875444847128,6.38926246746793,-126.69739243403784,-1.6583993484859505,-98.57651245551529,38.1968149839678,20.0,100.0,133.95499999999998,134.685,134.945,134.32,134.1577141076002,-0.080405394245221,1.8339661183970235,2016-09,2016,fixed_2R,2016-10-06 20:00:00,125.0440545813399,TP,2.0077260393635754,2.0025753464545213,82,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2017-05-16 20:00:00,short,rebreak,6887,6897,6904,145.64,148.06,4.9318100798839,10,0.49318100798839,7,0.7,29,1.0619834710743703,0.618,0.8,145.49,2017-05-17 00:00:00,145.52,148.18267301258572,140.10465397482858,2017-06-08 20:00:00,140.10465397482858,TP,104,2.6626730125857136,2.033800620494743,2.0262893714959183,Research_2015_2024,146.02,146.11,145.42,145.49,0.4906920503429007,0.768115942028958,146.3616643030541,146.12417069222514,143.0664325492214,-0.2790704534116102,35.64019195731707,18.58046824365837,2.92389708959813,-0.069443908404447,146.99,148.06,False,False,0.4551703320607347,1.0780404955686484,54.36507936507936,0.1014492753623463,3.1995627377759415,-0.1345067865927376,-0.0455963170365583,-0.0889104695561792,-0.0844784385801487,4.458598726115964,19.39253566352634,-91.40081163541912,-0.926115083418444,-95.54140127388403,53.36536203807898,8.0,100.0,146.20499999999998,146.65499999999997,146.42999999999998,146.42000000000002,146.3616643030541,0.0559005375953331,0.7309742723995325,2017-05,2017,fixed_2R,2017-06-08 20:00:00,140.10465397482858,TP,2.033800620494743,2.0262893714959183,104,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2017-11-20 00:00:00,short,rebreak,7723,7731,7735,148.04,149.52,3.547270224677074,8,0.4434087780846342,4,0.5,21,1.1824324324324178,0.618,0.8,147.77,2017-11-20 04:00:00,147.78,149.6243055579544,144.0613888840912,2017-11-29 08:00:00,149.6243055579544,SL,42,1.8443055579544136,-1.0,-1.010844190060439,Research_2015_2024,148.21,148.22,147.62,147.77,0.4172222318176366,0.7333333333333365,148.57537334471533,148.8894031899297,148.93452323185568,-0.7542698360597903,35.40810799050058,14.576132912118128,3.826080978739359,-0.0334123330459761,149.4,150.28,False,False,0.4273405767746909,0.9763225270265196,30.952380952380953,0.2500000000000118,2.732356794683626,-0.2330945005997193,-0.1401205005391282,-0.092974000060591,-0.0382268879837847,8.426966292135145,15.784380262926716,-155.7660653700181,-0.765563091800403,-91.57303370786484,43.2268627450213,16.0,100.0,148.44,148.57,148.85500000000002,148.505,148.57537334471533,0.0174194450241155,0.95652024468484,2017-11,2017,fixed_2R,2017-11-29 08:00:00,149.6243055579544,SL,-1.0,-1.010844190060439,42,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2020-01-28 08:00:00,short,stagnation,11196,11209,11215,142.77,144.57,4.49913607710305,13,0.3460873905463884,6,0.4615384615384615,24,1.6111111111111296,0.618,0.8,141.67,2020-01-28 12:00:00,141.68,144.67001920197305,135.66996159605387,2020-02-21 08:00:00,144.67001920197305,SL,110,2.990019201973041,-1.0,-1.0066889202540186,Research_2015_2024,142.04,142.05,141.47,141.67,0.400076807892191,0.6379310344827527,142.63102701979662,142.9985868987263,142.70000114398843,-2.082754364531286,30.34478384391321,17.23304220248448,6.999776116078695,0.0961360589872526,144.34,144.57,False,False,0.3792693289805329,1.0548620131440316,52.38095238095239,0.3448275862068695,2.3745440406932707,-0.4183842567520344,-0.3183037448363819,-0.1000805119156524,0.0240091197732784,6.968641114982171,5.945441385526112,-110.64037255594523,-0.7913165266106637,-93.03135888501782,29.55101227202856,4.0,100.0,142.09,143.01999999999998,143.01999999999998,142.555,142.63102701979662,-0.1005265744219299,1.7499440290196735,2020-01,2020,fixed_2R,2020-02-21 08:00:00,144.67001920197305,SL,-1.0,-1.0066889202540186,110,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2020-09-07 08:00:00,short,rebreak,12182,12194,12207,140.0,142.67,5.371477649564798,12,0.4476231374637331,13,1.0833333333333333,25,1.071161048689138,0.618,0.8,139.81,2020-09-07 12:00:00,139.83,142.79426748160333,133.84146503679335,2020-09-21 08:00:00,133.84146503679335,TP,61,2.964267481603315,2.020241088354003,2.0134940589026784,Research_2015_2024,140.46,140.52,139.63,139.81,0.4970699264133237,0.7303370786516796,140.87384903678952,140.7711392441374,139.01487846508806,-0.7436980737469647,33.594567506594515,27.573678354118748,3.845426478700539,-0.1257043565989635,141.92,142.67,False,False,0.436951109190245,1.1375870571297797,99.20634920634922,0.2022471910112402,2.9573303913334397,-0.1987081244678563,-0.0702999498740252,-0.1284081745938311,-0.0566823558220563,9.782608695652527,23.57126637779471,-148.2282542085748,-0.604294042371667,-90.21739130434749,52.4267985950588,4.0,100.0,140.515,141.14999999999998,141.14,140.83249999999998,140.87384903678952,-0.035060049028656,0.9613566196751347,2020-09,2020,fixed_2R,2020-09-21 08:00:00,133.84146503679335,TP,2.020241088354003,2.0134940589026784,61,,train_2015_2020,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2021-08-03 08:00:00,short,rebreak,13624,13637,13649,151.55,153.38,4.7229219728344916,13,0.3633016902180377,12,0.9230769230769232,18,1.2076502732240586,0.618,0.8,151.17,2021-08-03 12:00:00,151.2,153.47686799880063,146.5562640023987,2021-09-14 12:00:00,151.65,max_hold,180,2.2768679988006397,-0.1976399159885678,-0.2064239122547181,Research_2015_2024,151.9,152.16,151.16,151.17,0.3874719952025161,0.7300000000000182,152.14195611626567,152.13356848991023,152.51718259881318,-1.2564694031848362,31.7176859132329,16.48219755049503,6.058609737715102,-0.0297030724785715,153.38,153.38,False,False,0.3952061740697279,0.9804300150790476,52.77777777777778,0.0099999999999909,2.580831679144554,-0.2106318372354394,-0.049794700301213,-0.1608371369342263,-0.0008030774492736,0.497512437810495,11.009210973245978,-125.9589375194003,-0.8396195473925894,-99.5024875621895,37.447622695007425,28.0,100.0,151.985,152.26999999999998,152.1275,152.05,152.14195611626567,-0.127113783899196,1.5146524344287755,2021-08,2021,fixed_2R,2021-09-14 12:00:00,151.65,max_hold,-0.1976399159885678,-0.2064239122547181,180,,test_2021_2024,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2022-06-16 04:00:00,short,rebreak,14981,14999,15013,162.89,168.66,5.646180289843908,18,0.313676682769106,14,0.7777777777777778,32,1.2894280762564965,0.618,0.8,161.22,2022-06-16 08:00:00,161.21,168.91548245467732,145.82903509064536,2022-07-28 08:00:00,163.17,max_hold,180,7.705482454677309,-0.2543643453253519,-0.2569598998694858,Research_2015_2024,162.99,163.12,160.4,161.22,1.021929818709265,0.6507352941176511,163.1510073278968,163.85932433807133,162.5370003371737,-1.0815614522652517,34.93466458918553,30.058098045396974,3.8731060645547273,0.0832535988862261,166.07,168.66,False,False,0.7304659264840506,1.3990109348811337,100.0,0.3014705882352917,3.2683261989737677,-0.7682825603641845,-0.8069945915639821,0.0387120311997976,0.0133817624294729,21.13402061855655,50.06269155753669,-43.00243691217034,-0.3030115639107045,-78.86597938144345,52.50548398489244,4.0,100.0,162.07,164.04000000000002,164.53,163.055,163.1510073278968,0.0276076466934583,0.9682765161386818,2022-06,2022,fixed_2R,2022-07-28 08:00:00,163.17,max_hold,-0.2543643453253519,-0.2569598998694858,180,,test_2021_2024,R8_gbp_only_slow
GBPJPY,H4,SHORT_REC1.20_T5_STAG_OR_REBREAK_BROAD,逆V候補後トリガー,2022-09-16 04:00:00,short,rebreak,15398,15410,15416,164.28,167.4,4.848253497654564,12,0.404021124804547,6,0.5,17,1.4038461538461504,0.618,0.8,163.02,2022-09-16 08:00:00,163.01,167.56088267669531,153.9382346466094,2022-09-25 20:00:00,153.9382346466094,TP,33,4.550882676695323,1.9934078722456008,1.989013120409347,Research_2015_2024,164.38,164.39,162.72,163.02,0.6435307067811872,0.8143712574850271,164.9374578966787,164.81936686344764,163.5272569591345,-1.3711565718349965,25.092128360565596,21.7644823539393,5.811636004502515,-0.1076258080850502,167.4,167.4,False,False,0.625769955956147,1.0283822364049142,66.66666666666666,0.1796407185628824,3.527415205024325,-0.426142522939557,-0.1624580219923869,-0.26368450094717,-0.0541735386218499,8.426966292135145,10.318870186970244,-153.92229159497407,-1.3852761478434394,-91.57303370786484,35.81148553373327,32.0,100.0,164.20999999999998,165.06,164.635,164.59,164.9374578966787,-0.2448975924821883,1.4529090011256287,2022-09,2022,fixed_2R,2022-09-25 20:00:00,153.9382346466094,TP,1.9934078722456008,1.989013120409347,33,,test_2021_2024,R8_gbp_only_slow
