rule,exit,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,test_positive,oos_nonnegative,score
R8_gbp_only_slow,fixed_2R,GBPJPY専用 + signal_recovery_bars>16。,14,57.14285714285714,8.560655896583302,0.6114754211845216,3.0799393905968,2.0175331103144574,2,7,71.42857142857143,6.951325940735641,0.9930465629622345,4.44545817126748,2.0175331103144574,2,5,40.0,2.0851489344024823,0.41702978688049647,2.417562899366469,1.007555456485583,2,2,50.0,-0.4758189785548198,-0.2379094892774099,0.24153841939736184,0.6273475027921075,1,True,False,16.119559206096373
R8_gbp_only_slow,BE_after_1R_to_2R,GBPJPY専用 + signal_recovery_bars>16。,14,57.14285714285714,8.51283505249262,0.6080596466066158,3.0683206012753517,2.0175331103144574,2,7,71.42857142857143,6.896912968890561,0.9852732812700802,4.41848811978882,2.0175331103144574,2,5,40.0,2.0917410621568813,0.41834821243137627,2.4220444764751066,1.0075554564855835,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,True,False,16.052928891426312
R3_gbp_aud_adx,fixed_2R,GBPJPY/AUDJPY + ADX>=25。,25,48.0,11.448193814712857,0.45792775258851426,2.4547842528736257,4.210648216499401,5,14,64.28571428571429,12.683370315836637,0.9059550225597598,6.067672521879642,1.010045988643114,1,8,25.0,-0.22162729850740148,-0.027703412313425185,0.9472499786471275,3.1970990138830206,5,3,33.33333333333333,-1.013549202616381,-0.33784973420546033,0.13005872547790912,1.1650777268536687,2,False,False,13.386449006993162
R6_macd_turn_rebreak,fixed_2R,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,48.275862068965516,9.05869441628496,0.31236877297534343,1.7350048973273016,5.701684212995483,5,15,53.333333333333336,7.6361879889306765,0.5090791992620451,2.4600023831049223,2.018541442905124,2,13,46.15384615384615,2.4259245230720143,0.18660957869784725,1.3982803750109558,4.698266117277752,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,True,False,12.99884048854858
R5_gbp_aud_atr80_rebreak,fixed_2R,GBPJPY/AUDJPY + ATR percentile>=80 + rebreak。,17,52.94117647058824,9.110595343943483,0.5359173731731461,2.6696442128476914,3.0600794091686456,4,10,70.0,9.19520303773651,0.919520303773651,7.604967557661535,1.002608684001454,2,7,28.57142857142857,-0.08460769379302752,-0.01208681339900393,0.9791834523112003,3.0600794091686465,4,0,0.0,0.0,0.0,,0.0,0,False,True,12.261887088758337
R8_gbp_only_slow,fixed_1_5R,GBPJPY専用 + signal_recovery_bars>16。,14,57.14285714285714,6.499001716201105,0.46421440830007893,2.5790296716023753,2.0175331103144574,2,7,71.42857142857143,5.455292666292465,0.7793275237560664,3.7039420757968076,2.0175331103144574,2,5,40.0,1.5195280284634622,0.3039056056926924,2.0330324717617994,1.0075554564855833,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,True,False,11.97225888338901
R6_macd_turn_rebreak,fixed_1_5R,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,51.724137931034484,8.908838670009885,0.3072013334486167,1.7873736624506515,4.59669903741068,5,15,60.0,8.377346139500716,0.558489742633381,2.985053757432335,1.1734527307274876,2,13,46.15384615384615,1.5349106262268981,0.11807004817129986,1.2519966198485897,4.079769563034578,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,True,False,11.925740275950231
R3_gbp_aud_adx,fixed_1_5R,GBPJPY/AUDJPY + ADX>=25。,25,52.0,11.209756802122575,0.448390272084903,2.634243210264298,4.210648216499401,5,14,71.42857142857143,13.440932375676276,0.9600665982625911,10.004117967140065,1.0026086840014539,1,8,25.0,-1.2176263709373192,-0.1522032963671649,0.7101899562944897,3.1970990138830184,5,3,33.33333333333333,-1.0135492026163824,-0.33784973420546077,0.13005872547790903,1.16507772685367,2,False,False,11.78578494063062
R7_gbp_only_adx,fixed_2R,GBPJPY専用 + ADX>=25。,13,61.53846153846154,8.296977356354839,0.6382290274119107,3.712495811275999,1.7374487330652002,2,9,77.77777777777779,10.03442608942004,1.114936232157782,9.577745158163822,1.002608684001454,1,2,0.0,-1.261629754510381,-0.6308148772551905,0.0,0.25695989986948575,2,2,50.0,-0.4758189785548198,-0.2379094892774099,0.24153841939736184,0.6273475027921075,1,False,False,11.700066616352
R8_gbp_only_slow,half_1R_BE_rest_2R,GBPJPY専用 + signal_recovery_bars>16。,14,57.14285714285714,5.755918384346863,0.41113702745334735,2.3984864619358808,2.0175331103144574,2,7,71.42857142857143,4.926102817591514,0.7037289739416448,3.4416465793831352,2.0175331103144574,2,5,40.0,1.3056345453101719,0.2611269090620344,1.8876196136528136,1.0075554564855833,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,True,False,10.46240521290468
