filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
observe_loose,fixed_1_5R,189,50.264550264550266,26.977507339636794,0.14273813407215236,1.3122982799534875,7.128996354077,7,1.5,1.5,31.798941798941797,32.27513227513227
basic_role,fixed_1_5R,135,52.59259259259259,23.15076427915254,0.17148714280853733,1.3833658504566144,8.017550944344448,6,1.5,1.5,31.05925925925926,34.074074074074076
observe_loose,fixed_2R,178,45.50561797752809,13.522781641704062,0.07597068338035991,1.1502371918452454,7.957305107280019,8,2.0,2.0,36.662921348314605,18.53932584269663
diag_break,fixed_1_5R,84,51.19047619047619,12.42349180277005,0.14789871193773868,1.3263563691570681,5.933133474993034,7,1.5000000000000004,1.5,30.357142857142858,34.523809523809526
context,fixed_1_5R,50,54.0,11.454712141313813,0.22909424282627625,1.5375026541051264,3.8080188631541603,4,1.5000000000000007,1.5,31.34,38.0
context,fixed_2R,49,51.02040816326531,10.551505953395598,0.2153368561917469,1.4590632057815618,3.2975030616904606,4,2.0,2.0,36.53061224489796,20.408163265306122
basic_role,fixed_2R,129,47.286821705426355,6.384733488474597,0.04949405805019068,1.0963940506711012,12.003185233179202,9,2.0,2.0,36.248062015503876,18.6046511627907
diag_break,fixed_2R,80,48.75,4.9125608083017935,0.06140701010377242,1.124592870033619,7.617040121239462,7,2.0,2.0,36.3625,17.5
strict_synapse,fixed_2R,11,54.54545454545454,4.869899453169339,0.4427181321063035,2.5447959629434287,1.9090075702055032,2,2.0000000000000004,2.0,50.90909090909091,18.181818181818183
strict_synapse,fixed_1_5R,11,54.54545454545454,3.6435119428130713,0.33122835843755194,2.155769763692098,1.9090075702055034,2,1.5000000000000009,1.5,46.09090909090909,36.36363636363637
observe_loose,half_wave,4,75.0,0.8368021982453547,0.20920054956133868,1.8340387482609821,1.0033133352498724,1,0.7325463127453544,0.6663484155411685,2.25,75.0
