structure,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
ihs_5pivot,observe_loose,fixed_1_5R,114,51.75438596491229,19.69379846505297,0.17275261811449974,1.3818036929461301,9.282541017264293,7,1.5000000000000002,1.5,31.31578947368421,34.21052631578947
ihs_5pivot,basic_role,fixed_1_5R,80,52.5,12.793929002754746,0.15992411253443434,1.3538040481672937,8.343427803758322,7,1.5,1.5,31.7125,32.5
ihs_5pivot,observe_loose,fixed_2R,107,46.728971962616825,11.12732137044077,0.10399365766767074,1.2045589899607034,7.205448748636909,7,2.0,2.0,36.10280373831776,19.626168224299064
ihs_5pivot,diag_break,fixed_1_5R,53,54.71698113207547,10.676769252779023,0.20144847646752873,1.4805734027891886,3.6832732741952023,4,1.5,1.5,32.528301886792455,33.9622641509434
role_ab_5pivot,context,fixed_2R,13,69.23076923076923,8.923069235567436,0.6863899411974951,3.594398193017374,2.371406086698306,2,2.0000000000000004,2.0,40.84615384615385,30.76923076923077
ihs_5pivot,basic_role,fixed_2R,76,50.0,8.825706879721379,0.1161277221015971,1.2351533061167848,9.346368721972635,8,2.0,2.0,36.81578947368421,19.736842105263158
ihs_5pivot,diag_break,fixed_2R,51,52.94117647058824,8.520462075134933,0.16706788382617516,1.3613485535697019,6.183273274195203,7,2.0,2.0,37.0,19.607843137254903
ihs_5pivot,context,fixed_1_5R,32,53.125,7.324514880333993,0.22889109001043728,1.5291492974257146,3.5293522416056327,3,1.5000000000000007,1.5,31.9375,37.5
role_ab_5pivot,context,fixed_1_5R,13,69.23076923076923,6.696681725211171,0.5151293634777824,2.9470720789487963,2.371406086698307,2,1.5000000000000016,1.5,35.61538461538461,46.15384615384615
classic_6pivot,basic_role,fixed_1_5R,15,60.0,5.431518638551924,0.36210124257012827,1.8953256541357832,2.594980104980192,2,1.4999999999999991,1.4999999999999987,33.8,46.666666666666664
role_ab_5pivot,strict_synapse,fixed_2R,5,80.0,5.34190209674237,1.068380419348474,13.76671981773688,0.4184240096912628,1,2.000000000000001,2.0,54.0,20.0
role_ab_5pivot,basic_role,fixed_1_5R,40,50.0,4.925316637845869,0.12313291594614673,1.271209092530364,4.063585215013941,5,1.5000000000000004,1.5,28.725,32.5
role_ab_5pivot,diag_break,fixed_1_5R,23,52.17391304347826,4.830467631190675,0.21002033179089893,1.4923690917623058,2.2442283775610483,3,1.5000000000000016,1.5,28.565217391304348,39.130434782608695
role_ab_5pivot,strict_synapse,fixed_1_5R,5,80.0,4.6155145863861,0.9231029172772199,12.030711621428448,0.4184240096912628,1,1.5000000000000018,1.5,45.6,60.0
classic_6pivot,observe_loose,fixed_1_5R,23,56.52173913043478,4.510408215482838,0.19610470502099295,1.4652914866988842,4.616770478825666,3,1.4999999999999998,1.5,35.30434782608695,34.78260869565217
ihs_5pivot,context,fixed_2R,31,48.38709677419355,3.6949211820595025,0.11919100587288718,1.2381371843472375,5.287901650507289,4,2.0,2.0,37.903225806451616,16.129032258064516
classic_6pivot,basic_role,fixed_2R,15,46.666666666666664,3.221828852991762,0.2147885901994508,1.398771679808748,4.314763560200376,3,2.0,2.0,36.93333333333333,33.33333333333333
role_ab_5pivot,observe_loose,fixed_1_5R,52,44.230769230769226,2.7733006591009826,0.053332704982711206,1.1104499996717276,5.106837666798105,4,1.5,1.5,31.307692307692307,26.923076923076923
classic_6pivot,observe_loose,fixed_2R,22,50.0,1.989309726196727,0.0904231693725785,1.1859408276714514,3.5333932805015005,3,2.0,2.0,42.22727272727273,18.181818181818183
ihs_5pivot,observe_loose,half_wave,1,100.0,0.6533034610864317,0.6533034610864317,inf,0.0,0,0.700730209622653,0.700730209622653,0.0,100.0
classic_6pivot,observe_loose,half_wave,1,100.0,0.5598176509605962,0.5598176509605962,inf,0.0,0,0.5680351577636875,0.5680351577636875,4.0,100.0
ihs_5pivot,strict_synapse,fixed_2R,5,40.0,0.5315341191595855,0.1063068238319171,1.307157441598408,0.6794859626687948,2,2.0,2.0,51.2,20.0
role_ab_5pivot,observe_loose,fixed_2R,49,40.816326530612244,0.40615054506656834,0.0082887866340116,1.0163019099331654,6.501716962173467,5,2.0,2.0,35.38775510204081,16.3265306122449
