feature,bin,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r
body,"(0.65, 1.0]",8,75.0,8.370895424544319,1.0463619280680398,5.01359043228497,1.0518253805734847,1,-1.0338122961584428,-1.0338122961584428,8,8.370895424544319,0,0.0
body,"(0.45, 0.65]",5,80.0,5.962796841685261,1.1925593683370521,6.715964432673737,1.04318298546446,1,-1.0431829854644605,-1.0431829854644605,4,7.005979827149721,1,-1.0431829854644605
body,"(-0.001, 0.45]",5,40.0,0.2712899652501737,0.05425799305003474,1.0833494821990255,1.0703232626806607,2,-1.1229863403722233,-2.184525574920704,4,-1.4809944529404027,1,1.7522844181905763
box_width_atr,"(1.4, 1.7]",13,69.23076923076923,11.560723733535498,0.8892864410411921,3.758885637130126,2.0953515307069237,2,-1.0431829854644605,-1.0431829854644605,11,10.851622300809382,2,0.7091014327261158
box_width_atr,"(1.2, 1.4]",3,66.66666666666666,2.3933904536555173,0.7977968178851724,3.2361379380479787,0.0,1,-1.0703232626806607,0.6452283232019147,3,2.3933904536555173,0,0.0
box_width_atr,"(1.7, 2.0]",1,100.0,1.7738543846609622,1.7738543846609622,inf,0.0,0,1.7738543846609622,1.7738543846609622,1,1.7738543846609622,0,0.0
box_width_atr,"(-0.001, 1.2]",1,0.0,-1.1229863403722233,-1.1229863403722233,0.0,0.0,1,-1.1229863403722233,-1.1229863403722233,1,-1.1229863403722233,0,0.0
chase_atr,"(-0.001, 0.35]",14,64.28571428571429,10.412842306573955,0.7437744504695682,2.9529532510205727,2.0953515307069237,2,-1.1229863403722233,-1.0431829854644605,12,9.703740873847838,2,0.7091014327261158
chase_atr,"(0.5, 0.8]",2,100.0,3.495770090286363,1.7478850451431815,inf,0.0,0,1.7411645599682868,1.7411645599682868,2,3.495770090286363,0,0.0
chase_atr,"(0.35, 0.5]",2,50.0,0.6963698346194365,0.34818491730971823,1.6620584057781111,0.0,1,0.6963698346194365,0.6963698346194365,2,0.6963698346194365,0,0.0
direction,long,18,66.66666666666666,14.604982231479756,0.8113879017488753,3.287866286301706,2.0953515307069237,2,-1.1229863403722233,-1.0431829854644605,16,13.89588079875364,2,0.7091014327261158
entry_hour,6,3,100.0,5.257042863809756,1.7523476212699187,inf,0.0,0,1.7411645599682868,1.7411645599682868,3,5.257042863809756,0,0.0
entry_hour,1,3,66.66666666666666,2.438940398835017,0.8129801329450057,3.2975508765555945,0.0,1,-1.0615392345484809,-1.0615392345484809,2,0.6866559806444406,1,1.7522844181905763
entry_hour,19,1,100.0,1.7481621304536026,1.7481621304536026,inf,0.0,0,1.7481621304536026,1.7481621304536026,1,1.7481621304536026,0,0.0
entry_hour,4,1,100.0,1.7452056972827379,1.7452056972827379,inf,0.0,0,1.7452056972827379,1.7452056972827379,1,1.7452056972827379,0,0.0
entry_hour,0,1,100.0,1.7155515858825754,1.7155515858825754,inf,0.0,0,1.7155515858825754,1.7155515858825754,1,1.7155515858825754,0,0.0
entry_hour,23,2,50.0,0.7110006459878904,0.3555003229939452,1.6877463623037832,0.0,1,-1.0338122961584428,-1.0338122961584428,2,0.7110006459878904,0,0.0
entry_hour,3,2,50.0,0.6496324966030484,0.3248162483015242,1.5784865525503384,0.0,1,-1.1229863403722233,0.6496324966030484,2,0.6496324966030484,0,0.0
entry_hour,2,5,40.0,0.3394464126251262,0.06788928252502524,1.107238814898691,1.051825380573485,1,-1.0703232626806607,-1.051825380573485,4,1.3826293980895867,1,-1.0431829854644605
recovery,"(0.65, 0.8]",6,83.33333333333334,7.6926027230548435,1.2821004538424738,8.246649462115117,1.0615392345484809,1,0.7110796024267909,0.7110796024267909,6,7.6926027230548435,0,0.0
recovery,"(0.8, 0.95]",4,75.0,4.092376473111166,1.0230941182777915,4.644190784862721,0.0,1,-1.1229863403722233,-1.1229863403722233,4,4.092376473111166,0,0.0
recovery,"(0.5, 0.65]",5,60.0,3.185314068265944,0.6370628136531888,2.527261472019984,1.051825380573485,1,0.6929875615728482,0.6929875615728482,4,1.4330296500753676,1,1.7522844181905763
recovery,"(0.25, 0.5]",3,33.33333333333333,-0.3653110329521998,-0.12177034431739993,0.8271540321809749,1.0431829854644605,1,-1.0703232626806607,-1.0703232626806607,2,0.6778719525122607,1,-1.0431829854644605
retrace,"(0.499, 0.618]",18,66.66666666666666,14.604982231479756,0.8113879017488753,3.287866286301706,2.0953515307069237,2,-1.1229863403722233,-1.0431829854644605,16,13.89588079875364,2,0.7091014327261158
setup_age,"(-0.001, 2.0]",18,66.66666666666666,14.604982231479756,0.8113879017488753,3.287866286301706,2.0953515307069237,2,-1.1229863403722233,-1.0431829854644605,16,13.89588079875364,2,0.7091014327261158
