symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour,entry_i,entry_time,entry,rr,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,3052,2014-07-02 02:00:00,long,174.22,173.9,174.25,174.07,3.0946495609931444,0.5142857142857421,0.8333333333333334,2,4,2.0,2,174.2,174.07,1.149441265511718,0.1768371177711301,0.4444444444443391,True,1,0,H4順,174.04738031443614,3041-3043-3047,3,3053,2014-07-02 03:00:00,174.21,1.8,174.50271543401496,1.79999999999993,3057,2014-07-02 07:00:00,174.04738031443614,SL,4,0.1626196855638682,-1.0,-1.1229863403722233,IS_2014_2024,2014
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,6375,2015-01-20 02:00:00,long,178.16,176.97,178.33,177.51,3.8620365062244617,0.6029411764705981,0.7926829268292543,12,8,0.6666666666666666,0,178.06,177.51,1.5618529988407917,0.2839732725164855,0.4848484848484979,True,0,1,H4逆,177.43957083663977,6352-6364-6372,3,6376,2015-01-20 03:00:00,178.17,1.8,179.48477249404837,1.8,6383,2015-01-20 10:00:00,179.48477249404837,TP,7,0.7304291633602134,1.8,1.7726188369752718,IS_2014_2024,2015
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,11613,2015-11-27 00:00:00,long,185.24,184.65,185.34,184.95,3.943317092286409,0.5652173913043711,0.7435897435897679,6,2,0.3333333333333333,2,185.22,184.95,1.5430371230686584,0.1142990461532881,0.4285714285714865,True,0,1,H4逆,184.9150040824082,11600-11606-11608,1,11614,2015-11-27 01:00:00,185.24,1.8,185.8249926516653,1.800000000000035,11618,2015-11-27 05:00:00,184.9150040824082,SL,4,0.32499591759182067,-1.0,-1.0615392345484809,IS_2014_2024,2015
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,16049,2016-08-18 22:00:00,long,131.67,130.25,132.12,131.18,6.08122237319987,0.5026737967914414,0.5212765957446616,2,8,4.0,2,131.65,131.18,1.5284355697347192,0.0650398114780141,0.6923076923076334,True,0,1,H4逆,131.11849920673052,16034-16036-16044,23,16050,2016-08-18 23:00:00,131.71,1.8,132.77470142788508,1.7999999999999807,16063,2016-08-19 12:00:00,131.11849920673052,SL,13,0.5915007932694891,-1.0,-1.0338122961584428,IS_2014_2024,2016
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,17788,2016-11-30 05:00:00,long,140.68,138.71,141.3,139.99,7.975781108240907,0.505791505791506,0.5267175572519057,12,8,0.6666666666666666,1,140.57,139.99,1.786082255899457,0.3387397381878793,0.3653846153846038,True,1,0,H4順,139.92505338311446,17764-17776-17784,6,17789,2016-11-30 06:00:00,140.69,1.8,142.06690391039396,1.7999999999999925,17799,2016-11-30 16:00:00,142.06690391039396,TP,10,0.7649466168855383,1.7999999999999925,1.7738543846609622,IS_2014_2024,2016
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,25617,2018-03-13 03:00:00,long,148.07,147.46,148.13,147.74,3.8284127102033585,0.5820895522387964,0.8461538461538349,3,10,3.3333333333333335,0,148.01,147.74,1.5427931817236664,0.3428429292719619,0.8999999999999574,True,0,1,H4逆,147.7049985489697,25601-25604-25614,4,25618,2018-03-13 04:00:00,148.07,1.8,148.7270026118545,1.799999999999969,25623,2018-03-13 09:00:00,148.7270026118545,TP,5,0.36500145103028103,1.799999999999969,1.7452056972827379,IS_2014_2024,2018
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,27596,2018-07-09 05:00:00,long,146.93,146.26,147.03,146.62,4.403793344850605,0.532467532467521,0.7560975609756216,8,3,0.375,1,146.89,146.62,1.544187276765672,0.2287684854468986,0.5,True,1,0,H4順,146.58503014834244,27581-27589-27592,6,27597,2018-07-09 06:00:00,146.93,1.8,147.55094573298362,1.7999999999999836,27604,2018-07-09 13:00:00,147.55094573298362,TP,7,0.34496985165756655,1.7999999999999836,1.7420239191805074,IS_2014_2024,2018
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,35292,2019-10-08 01:00:00,long,131.95,131.28,132.21,131.71,5.406833492340846,0.5376344086021466,0.4799999999999613,9,5,0.5555555555555556,0,131.94,131.71,1.3371738744498174,0.0581379945412461,0.3636363636363401,True,0,1,H4逆,131.67559908858607,35275-35284-35289,2,35293,2019-10-08 02:00:00,131.96,1.8,132.4719216405451,1.80000000000002,35298,2019-10-08 07:00:00,131.67559908858607,SL,5,0.28440091141393964,-1.0,-1.0703232626806607,IS_2014_2024,2019
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,40433,2020-08-10 23:00:00,long,138.56,138.19,138.6,138.35,3.056169563120271,0.6097560975609807,0.8400000000000318,3,4,1.3333333333333333,2,138.52,138.35,1.267192257879266,0.2981628842067989,0.8888888888889942,True,1,0,H4順,138.32316902799192,40421-40424-40428,0,40434,2020-08-11 00:00:00,138.56,1.8,138.98629574961456,1.800000000000048,40444,2020-08-11 10:00:00,138.98629574961456,TP,10,0.2368309720080788,1.800000000000048,1.7155515858825754,IS_2014_2024,2020
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,42343,2020-12-01 01:00:00,long,139.35,138.46,139.43,138.94,4.780408829273968,0.5051546391752677,0.8367346938775285,5,7,1.4,1,139.23,138.94,1.4291943922571282,0.5913907830029882,0.9230769230767886,True,1,0,H4順,138.89941769691077,42327-42332-42339,2,42344,2020-12-01 02:00:00,139.34,1.8,140.13304814556062,1.800000000000013,42357,2020-12-01 15:00:00,140.13304814556062,TP,13,0.4405823030892293,1.800000000000013,1.7546055303180763,IS_2014_2024,2020
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,43368,2021-02-01 01:00:00,long,143.71,142.97,143.91,143.36,5.2351209508537275,0.5851063829787067,0.6363636363636458,6,7,1.1666666666666667,2,143.63,143.36,1.503704953968526,0.4455422085833667,0.7692307692307524,True,1,0,H4順,143.3240886998095,43350-43356-43363,2,43369,2021-02-01 02:00:00,143.71,1.8,144.40464034034292,1.7999999999999705,43386,2021-02-01 19:00:00,143.3240886998095,SL,17,0.38591130019051434,-1.0,-1.051825380573485,IS_2014_2024,2021
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,44352,2021-03-30 00:00:00,long,151.39,150.57,151.77,151.03,6.65470206783572,0.6166666666666655,0.4864864864864605,7,9,1.2857142857142858,2,151.3,151.03,1.4973079652630723,0.4991026550875332,0.6666666666665088,True,1,0,H4順,150.993935275005,44331-44338-44347,1,44353,2021-03-30 01:00:00,151.38,1.8,152.07491650499102,1.8000000000000294,44374,2021-03-30 22:00:00,152.07491650499102,TP,21,0.3860647249950091,1.8000000000000294,1.7481952151929214,IS_2014_2024,2021
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,46540,2021-08-04 22:00:00,long,152.26,151.53,152.47,151.96,5.801786982343956,0.5425531914893533,0.5882352941176241,2,6,3.0,1,152.21,151.96,1.5430284527510558,0.3086056905501059,1.0,True,0,1,H4逆,151.92759619052336,46528-46530-46536,23,46541,2021-08-04 23:00:00,152.29,1.8,152.94232685705794,1.8000000000000156,46554,2021-08-05 12:00:00,152.94232685705794,TP,13,0.362403809476632,1.8000000000000156,1.7448129421463332,IS_2014_2024,2021
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,57067,2023-04-17 18:00:00,long,166.42,165.67,166.59,166.08,4.015860466269556,0.554347826086937,0.6666666666666295,5,3,0.6,1,166.37,166.08,1.265869060019695,0.2182532862102237,0.8571428571425671,True,1,0,H4順,166.03418167499956,57055-57060-57063,19,57068,2023-04-17 19:00:00,166.42,1.8,167.11447298500076,1.8,57101,2023-04-19 04:00:00,167.11447298500076,TP,33,0.3858183250004288,1.8,1.7481621304536026,IS_2014_2024,2023
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,59429,2023-09-04 01:00:00,long,184.17,183.51,184.28,183.81,3.721167029680752,0.6103896103896008,0.765957446808481,3,7,2.3333333333333335,0,184.14,183.81,1.5947858698630812,0.1449805336239289,0.5555555555555205,True,0,1,H4逆,183.76861513370088,59416-59419-59426,2,59430,2023-09-04 02:00:00,184.17,1.8,184.89249275933838,1.7999999999999858,59434,2023-09-04 06:00:00,184.89249275933838,TP,4,0.40138486629911085,1.7999999999999858,1.750172511025656,IS_2014_2024,2023
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,63928,2024-05-27 05:00:00,long,199.9,199.15,200.05,199.58,6.013797545327725,0.5222222222222177,0.6808510638297743,9,11,1.2222222222222223,1,199.82,199.58,1.603679345420587,0.534559781806989,0.6249999999999778,True,1,0,H4順,199.55006882944707,63904-63913-63924,6,63929,2024-05-27 06:00:00,199.89,1.8,200.50187610699524,1.8000000000000167,63959,2024-05-28 12:00:00,200.50187610699524,TP,30,0.3399311705529158,1.8000000000000167,1.7411645599682868,IS_2014_2024,2024
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,71605,2025-10-24 00:00:00,long,203.479,202.526,203.79,203.104,6.143334444171846,0.5427215189873328,0.5466472303207167,18,10,0.5555555555555556,0,203.421,203.104,1.5406938439892195,0.281893510887739,0.4444444444444849,True,1,0,H4順,203.06284970901433,71574-71592-71602,1,71606,2025-10-24 01:00:00,203.482,1.8,204.23647052377422,1.8000000000000271,71642,2025-10-27 13:00:00,204.23647052377422,TP,36,0.41915029098566947,1.8000000000000271,1.7522844181905763,OOS_2025_2026,2025
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.8,72937,2026-01-14 01:00:00,long,213.868,212.642,214.291,213.453,6.995383946891338,0.5081867798665818,0.4952267303102566,10,14,1.4,0,213.797,213.453,1.459315996198046,0.3011960340990118,0.4752851711027035,True,1,0,H4順,213.4058546249207,72910-72920-72934,2,72938,2026-01-14 02:00:00,213.869,1.8,214.70266167514276,1.8000000000000245,72946,2026-01-14 10:00:00,213.4058546249207,SL,8,0.4631453750793071,-1.0,-1.0431829854644605,OOS_2025_2026,2026
