symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,1453,2014-03-28 09:00:00,long,169.95,168.85,170.29,169.5,6.956468963544392,0.5486111111111065,0.5696202531645483,4,4,1.0,14,169.87,169.64,1.1111026816773188,0.38647049797461214,0.7916666666666272,True,1,0,H4順,169.4585996859169,1428-1432-1436,10
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,3052,2014-07-02 02:00:00,long,174.22,173.9,174.25,174.07,3.0946495609931444,0.5142857142857421,0.8333333333333334,2,4,2.0,2,174.2,174.07,1.1494412655117179,0.17683711777113015,0.44444444444433917,True,1,0,H4順,174.04738031443614,3041-3043-3047,3
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,4424,2014-09-22 08:00:00,long,178.29,175.35,180.67,177.5,17.02639162448096,0.5958646616541338,0.24921135646687545,31,19,0.6129032258064516,7,178.05,177.7,1.1201573437159271,0.7681078928336668,0.9761904761904971,True,1,0,H4順,177.43750877910796,4364-4395-4414,9
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,6778,2015-02-13 03:00:00,short,182.69,184.14,182.28,183.29,4.701242346574662,0.5430107526881714,0.5940594059405938,4,6,1.5,2,183.29,182.82,1.1879483348871522,0.3285814543304782,0.5925925925925887,True,0,1,H4逆,183.3691280203351,6763-6767-6773,4
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,7081,2015-03-04 00:00:00,short,183.66,184.26,183.62,183.96,3.1232365436773186,0.5312500000000167,0.8823529411764952,8,5,0.625,0,183.96,183.75,1.0248119908941808,0.43920513895464897,0.8235294117648534,True,0,1,H4逆,184.00098312702545,7065-7073-7078,1
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,8145,2015-05-06 01:00:00,long,182.0,181.43,182.75,181.7,5.469615955365677,0.7954545454545582,0.28571428571429347,8,5,0.625,3,181.97,181.7,1.1187850817793912,0.12430945353104346,0.38461538461540146,True,1,0,H4順,181.65173335712151,8126-8134-8139,2
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,9585,2015-07-30 01:00:00,long,193.69,192.54,194.13,193.19,6.90232389967979,0.5911949685534564,0.5319148936170226,9,4,0.4444444444444444,4,193.54,193.28,1.128681895545081,0.6511626320452865,0.7916666666667209,True,1,0,H4順,193.1439285602035,9565-9574-9578,2
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,10458,2015-09-21 02:00:00,short,186.01,188.25,185.92,187.11,6.553754582160822,0.510729613733914,0.9243697478991585,13,7,0.5384615384615384,7,186.48,186.06,1.1813634869130683,0.14063851034683,0.625,True,0,1,H4逆,187.1811042798686,10428-10441-10448,3
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,10486,2015-09-22 06:00:00,short,186.51,187.29,186.46,187.01,3.6247868967485286,0.6626506024096307,0.9090909090909373,4,5,1.25,6,186.9,186.67,1.0044590195810164,0.6987541005780281,0.8571428571429035,True,0,1,H4逆,187.05579579565045,10468-10472-10477,7
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,1.2,11187,2015-11-03 00:00:00,long,186.25,185.55,186.93,185.97,6.209849956276052,0.6956521739130516,0.2916666666666654,6,6,1.0,5,186.19,185.97,0.9899760799860355,0.2699934763598395,1.0,True,1,0,H4順,185.92555448167937,11167-11173-11179,1
