box_bars,box_atr,rr,direction,retrace,recovery,body,h4,hours,setup_age,box_width,chase,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
6,1.8,1.8,long,50_618,25_85,any,any,none,le2,any,any,18,66.66666666666666,14.60498223147974,0.8113879017488744,3.287866286301705,2.0953515307069237,2,-1.1229863403722231,-1.0431829854644603,16,13.895880798753623,2,0.7091014327261158,92.378604974114
6,1.8,1.8,long,50_618,25_85,any,any,ex14,le2,any,any,18,66.66666666666666,14.60498223147974,0.8113879017488744,3.287866286301705,2.0953515307069237,2,-1.1229863403722231,-1.0431829854644603,16,13.895880798753623,2,0.7091014327261158,92.378604974114
6,2.0,1.8,long,50_70,25_85,any,align,ex14,le2,any,any,21,66.66666666666666,17.1135062051153,0.8149288669102523,3.306935847162817,1.1229863403722231,2,-2.176203329736161,-1.0431829854644603,18,17.4549351928732,3,-0.3414289877579006,89.52931450746209
6,2.0,1.8,long,50_70,25_85,any,align,none,le2,any,any,21,66.66666666666666,17.1135062051153,0.8149288669102523,3.306935847162817,1.1229863403722231,2,-2.176203329736161,-1.0431829854644603,18,17.4549351928732,3,-0.3414289877579006,89.52931450746209
6,1.8,1.8,long,50_70,50_80,any,align,active_1_6_8_22,any,any,any,18,61.111111111111114,12.80203933619188,0.7112244075662155,2.972952356715538,1.1055116979228297,1,-1.0728819488742631,-0.1289250908589954,15,12.229210429344317,3,0.5728289068475645,83.54889221066333
6,2.0,1.8,long,50_70,25_85,any,align,active_1_6_8_22,le5,any,any,18,61.111111111111114,12.787488456818451,0.7104160253788029,2.959412939009197,1.1055116979228297,2,-1.0728819488742631,-2.1148606209465353,15,12.214659549970886,3,0.5728289068475645,79.43002176937135
6,2.0,1.8,long,50_618,25_85,any,any,ex14,le2,any,any,22,63.63636363636363,16.056390340814794,0.7298359245824906,2.8996644215982226,2.124033815171761,2,-1.1229863403722231,-1.0431829854644603,19,16.362133447818174,3,-0.3057431070033767,79.14339303642353
6,2.0,1.8,long,50_618,25_85,any,any,none,le2,any,any,22,63.63636363636363,16.056390340814794,0.7298359245824906,2.8996644215982226,2.124033815171761,2,-1.1229863403722231,-1.0431829854644603,19,16.362133447818174,3,-0.3057431070033767,79.14339303642353
6,2.0,1.8,long,50_70,50_80,any,align,active_1_6_8_22,any,any,any,20,60.0,13.521920978757496,0.6760960489378748,2.792885111911572,2.1061129484122283,2,-1.0728819488742631,-0.3476584136204828,17,12.94909207190993,3,0.5728289068475645,78.62303286585734
6,1.8,1.8,long,50_70,25_85,any,align,active_1_6_8_22,any,any,any,20,60.0,13.488590919802183,0.6744295459901093,2.786469828517591,2.114539590630888,2,-2.114539590630888,-0.3560850558391422,17,12.91576201295462,3,0.5728289068475645,78.40279939095733
6,1.8,1.8,long,50_70,25_85,any,not_oppose,ex14,le2,any,any,19,63.1578947368421,13.6082860845424,0.7162255833969685,2.838077954793938,2.092184460872291,2,-1.1229863403722231,-1.0431829854644603,16,13.9497150723003,3,-0.3414289877579006,75.99748188478928
6,1.8,1.8,long,50_70,25_85,any,not_oppose,none,le2,any,any,19,63.1578947368421,13.6082860845424,0.7162255833969685,2.838077954793938,2.092184460872291,2,-1.1229863403722231,-1.0431829854644603,16,13.9497150723003,3,-0.3414289877579006,75.99748188478928
6,1.8,1.8,long,50_70,50_80,any,any,none,le2,any,any,20,60.0,12.686162354816627,0.6343081177408314,2.514780665237954,2.0953515307069237,2,-1.0373071115417956,0.6814601692805822,18,11.984408357110066,2,0.7017539977065599,73.79889333450188
6,1.8,1.8,long,50_70,50_80,any,any,ex14,le2,any,any,20,60.0,12.686162354816627,0.6343081177408314,2.514780665237954,2.0953515307069237,2,-1.0373071115417956,0.6814601692805822,18,11.984408357110066,2,0.7017539977065599,73.79889333450188
6,2.0,1.8,long,50_618,25_85,any,any,none,le2,any,le50,18,61.111111111111114,11.802366158328372,0.6556870087960207,2.5868983533652017,2.124033815171761,2,-1.1229863403722231,-1.0431829854644603,16,11.093264725602255,2,0.7091014327261158,73.5779959974079
6,2.0,1.8,long,50_618,25_85,any,any,ex14,le2,any,le50,18,61.111111111111114,11.802366158328372,0.6556870087960207,2.5868983533652017,2.124033815171761,2,-1.1229863403722231,-1.0431829854644603,16,11.093264725602255,2,0.7091014327261158,73.5779959974079
6,1.8,1.8,long,50_70,50_80,any,not_oppose,active_1_6_8_22,any,any,any,19,57.89473684210527,11.76553225315207,0.6192385396395826,2.563467756086527,1.1055116979228297,1,-1.0728819488742631,-0.1289250908589954,16,11.192703346304503,3,0.5728289068475645,72.7563129067534
6,2.0,1.8,long,50_70,25_85,any,align,active_1_6_8_22,any,any,any,22,59.09090909090909,14.2084725623678,0.645839661925809,2.6514502743120087,3.1677565799948257,3,-2.114539590630888,-1.4093020452030802,19,13.635643655520234,3,0.5728289068475645,72.58221207254608
