reference,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r
box8_atr2_rr1.5_long,73,45.20547945205479,7.163841565598779,0.09813481596710656,1.17538906824042,8.254944341168155,6,-4.1164754668461025,-5.960011745677612,64,13.123853311276392,9,-5.960011745677612
box8_atr2_rr1.5_short,60,31.666666666666664,-15.241911480761804,-0.25403185801269673,0.6448172536804541,21.820869755853746,7,-4.215676071140061,-6.348394371913647,59,-14.211463143804313,1,-1.0304483369574906
