structure,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
role_ab_5pivot,diag_break,fixed_1_5R,29,62.06896551724138,11.492939936980397,0.3963082736889792,2.0563239331140655,4.030029246550049,4,1.4999999999999996,1.5,28.20689655172414,48.275862068965516
ihs_5pivot,diag_break,fixed_1_5R,89,47.19101123595505,10.759275417476335,0.12089073502782399,1.2757797312316819,12.86753650160504,10,1.5000000000000002,1.5,32.86516853932584,33.70786516853933
role_ab_5pivot,observe_loose,fixed_1_5R,56,50.0,9.00887271329708,0.16087272702316216,1.3321978137045065,10.159571584234488,8,1.499999999999999,1.5,26.214285714285715,39.285714285714285
role_ab_5pivot,diag_break,fixed_2R,26,50.0,6.832588423786536,0.2627918624533283,1.5425214472065762,4.03002924655005,4,1.9999999999999998,2.0,34.03846153846154,34.61538461538461
role_ab_5pivot,context,fixed_1_5R,10,70.0,6.105789829266059,0.610578982926606,3.0187871012970313,2.0124653607554723,2,1.4999999999999971,1.4999999999999964,28.7,60.0
classic_6pivot,observe_loose,fixed_1_5R,41,48.78048780487805,5.84617545490023,0.14258964524146903,1.3242925832178019,5.957322795880543,5,1.4999999999999982,1.5,34.19512195121951,31.70731707317073
ihs_5pivot,observe_loose,fixed_1_5R,185,45.40540540540541,5.28941312091802,0.02859142227523254,1.0602436645202875,10.021805585082072,8,1.5000000000000007,1.5,32.8,28.64864864864865
role_ab_5pivot,basic_role,fixed_1_5R,50,48.0,4.1717092652715815,0.08343418530543163,1.160290224338813,8.926932407298493,6,1.4999999999999982,1.5,26.22,38.0
role_ab_5pivot,observe_loose,fixed_2R,51,43.13725490196079,4.0943531384028296,0.08028143408633,1.154990883329796,8.288921634390583,5,1.9999999999999998,2.0,33.23529411764706,23.52941176470588
role_ab_5pivot,observe_loose,half_wave,3,100.0,2.732629021695555,0.910876340565185,inf,0.0,0,0.9261781911267045,0.7879069297205805,11.0,100.0
