rank,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars
A,25,64.0,14.078519164511263,0.5631407665804505,2.5036525781401524,2.106220362185642,2,64.0,17.88,13.0
A+,23,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2,69.56521739130434,16.043478260869566,9.0
B,21,61.904761904761905,10.78412963546809,0.5135299826413376,2.2951534167047494,2.1146500789219953,2,61.904761904761905,11.952380952380953,10.0
