direction,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars
long,34,61.76470588235294,17.35416736080067,0.5104166870823726,2.2869317228140833,3.128434542842495,3,61.76470588235294,16.11764705882353,12.5
short,35,68.57142857142857,24.116050479611246,0.6890300137031785,3.171081856218051,2.1270713018882788,2,68.57142857142857,14.82857142857143,10.0
