trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars,window,start_year,end_year
9.0,55.55555555555556,3.192498628910494,0.3547220698789438,1.7692869205381248,1.041102634811275,1.0,55.55555555555556,15.11111111111111,14.0,2014-2015,2014,2015
16.0,62.5,8.930028968438442,0.5581268105274027,2.531864127219274,1.7049743351866322,2.0,62.5,15.5,11.5,2015-2016,2015,2016
13.0,61.53846153846154,7.001329120587199,0.5385637785067077,2.4539315708347296,2.088521873628846,2.0,61.53846153846154,19.076923076923077,11.0,2016-2017,2016,2017
12.0,58.333333333333336,5.035494004431538,0.41962450036929483,1.9674178480957838,2.088521873628846,2.0,58.333333333333336,21.916666666666668,12.0,2017-2018,2017,2018
13.0,53.84615384615385,3.9309159901375113,0.3023781530875009,1.6260404520210052,2.0879327667524588,2.0,53.84615384615385,16.384615384615383,11.0,2018-2019,2018,2019
13.0,61.53846153846154,6.4187994044021135,0.4937538003386241,2.217554987016253,2.0879327667524588,2.0,61.53846153846154,11.0,9.0,2019-2020,2019,2020
16.0,62.5,8.242934178716961,0.5151833861698101,2.310075255934715,3.128434542842495,3.0,62.5,9.4375,7.0,2020-2021,2020,2021
11.0,54.54545454545454,3.503281973701771,0.31848017942743373,1.673838293512487,3.128434542842495,3.0,54.54545454545454,8.090909090909092,8.0,2021-2022,2021,2022
7.0,85.71428571428571,7.817836847119894,1.116833835302842,8.69117041779637,1.0164690706931203,1.0,85.71428571428571,22.714285714285715,10.0,2022-2023,2022,2023
9.0,77.77777777777779,8.303024216475068,0.9225582462750075,5.070232686406703,1.0271345478370852,1.0,77.77777777777779,23.444444444444443,15.0,2023-2024,2023,2024
10.0,80.0,9.804960461668363,0.9804960461668364,5.806498152904401,1.0128039166650942,1.0,80.0,13.3,12.5,2024-2025,2024,2025
6.0,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0.0,100.0,14.0,12.5,2025-2026,2025,2026
1.0,100.0,1.479742613271487,1.479742613271487,inf,0.0,0.0,100.0,27.0,27.0,2026-2027,2026,2027
