candidate,sample,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars
standard_v1_v04_filtered,IS_2014_2024,70,58.57142857142858,30.29901146765928,0.43284302096656113,2.016900799325935,4.163107198443356,4,58.57142857142858,14.885714285714286,10.0
standard_v1_v04_filtered,OOS_2025_2026,6,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0,100.0,14.0,12.5
standard_v1_wave1_quality,IS_2014_2024,63,61.904761904761905,32.587861841115895,0.5172676482716809,2.325099474655001,3.128434542842495,3,61.904761904761905,15.603174603174603,10.0
standard_v1_wave1_quality,OOS_2025_2026,6,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0,100.0,14.0,12.5
standard_v1_wave1_balanced,IS_2014_2024,67,61.19402985074627,33.431180484729516,0.4989728430556644,2.253828710367208,3.128434542842495,3,61.19402985074627,14.925373134328359,10.0
standard_v1_wave1_balanced,OOS_2025_2026,6,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0,100.0,14.0,12.5
standard_v1_wave1_loose,IS_2014_2024,69,59.42028985507246,31.321545473290218,0.4539354416418872,2.0885775816895857,4.163107198443356,4,59.42028985507246,15.043478260869565,10.0
standard_v1_wave1_loose,OOS_2025_2026,6,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0,100.0,14.0,12.5
expanded_v1_082_ex16_wave1_balanced,IS_2014_2024,80,57.49999999999999,32.432681167484176,0.4054085145935522,1.9270363107410342,4.174137463355834,4,57.49999999999999,15.1125,10.0
expanded_v1_082_ex16_wave1_balanced,OOS_2025_2026,8,100.0,11.850263935887547,1.4812829919859434,inf,0.0,0,100.0,17.625,14.5
conservative_v03_strict,IS_2014_2024,63,58.730158730158735,27.547236687420394,0.4372577251971491,2.032828382153218,4.163107198443356,4,58.730158730158735,14.825396825396826,10.0
conservative_v03_strict,OOS_2025_2026,6,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0,100.0,14.0,12.5
simple_v04_less_fit,IS_2014_2024,72,56.94444444444444,28.26244160041911,0.3925339111169321,1.8878621739957715,4.163107198443356,4,56.94444444444444,15.180555555555555,10.0
simple_v04_less_fit,OOS_2025_2026,7,100.0,10.368749193910075,1.4812498848442963,inf,0.0,0,100.0,17.285714285714285,14.0
standard_a_h4_not_oppose,IS_2014_2024,41,58.536585365853654,17.758073429801108,0.43312374219027094,2.0231622869742276,4.182526010812811,4,58.536585365853654,18.097560975609756,13.0
standard_a_h4_not_oppose,OOS_2025_2026,3,100.0,4.4344913697366435,1.4781637899122144,inf,0.0,0,100.0,11.333333333333334,11.0
standard_h4_and_shallow_compare,IS_2014_2024,16,62.5,8.784834532257907,0.5490521582661192,2.493661465955875,2.082231339723051,2,62.5,19.6875,13.5
standard_shallow_no_h4,IS_2014_2024,24,66.66666666666666,15.562710718868859,0.6484462799528691,2.9605250877216083,3.1109783042280323,3,66.66666666666666,16.5,10.0
standard_shallow_no_h4,OOS_2025_2026,1,100.0,1.4830249089694585,1.4830249089694585,inf,0.0,0,100.0,9.0,9.0
standard_wave1_quality_shallow,IS_2014_2024,22,68.18181818181817,15.1245441314631,0.6874792787028682,3.190896281142365,2.0822313397230516,2,68.18181818181817,16.363636363636363,10.0
standard_wave1_quality_shallow,OOS_2025_2026,1,100.0,1.4830249089694585,1.4830249089694585,inf,0.0,0,100.0,9.0,9.0
