candidate,metric,p05,p50,p90,p95,p99
standard_v1_v04_filtered,permutation_dd,3.10604235254639,4.197918863518304,6.249687743676198,6.997754421862101,8.411830779077892
standard_v1_v04_filtered,bootstrap_total_r,21.504702585210225,39.1900994125852,52.29652039547301,56.5866340558077,63.900734780964854
standard_v1_v04_filtered,bootstrap_dd,2.7081200536945635,4.202719527662425,6.873486992975283,7.850800945599807,10.10247664408466
standard_v1_wave1_quality,permutation_dd,2.3523424134786666,3.793849307464079,5.25310306117008,6.191760554198462,7.513231637541496
standard_v1_wave1_quality,bootstrap_total_r,25.873404624676986,41.51326117664868,53.893283554607805,56.75858348187254,63.81321881134191
standard_v1_wave1_quality,bootstrap_dd,2.101443334295798,3.8068174590088475,5.93433729754604,6.641748623247861,8.560208358491508
standard_v1_wave1_balanced,permutation_dd,2.7209384855114256,4.129190127085749,5.76838584814374,6.262787674166156,7.635113716244565
standard_v1_wave1_balanced,bootstrap_total_r,24.913188551386494,42.278627031621866,55.110471209074234,59.565342842836294,65.04166658386737
standard_v1_wave1_balanced,bootstrap_dd,2.109891334764985,4.13956976740149,6.255383094636495,7.224279539084463,8.944553354133738
standard_v1_wave1_loose,permutation_dd,3.0898307557757487,4.178813041949661,6.211566971801038,6.860893986311412,8.348113284070175
standard_v1_wave1_loose,bootstrap_total_r,22.536909001273393,40.235080443892926,52.9871214343684,57.461466803210946,64.8694979769658
standard_v1_wave1_loose,bootstrap_dd,2.3389299522276707,4.181625153806518,6.784043971226701,7.541040183006169,9.57586693193435
expanded_v1_082_ex16_wave1_balanced,permutation_dd,3.1227942640011785,4.713923767885172,6.820235918632883,7.4340773344921995,9.18402507015209
expanded_v1_082_ex16_wave1_balanced,bootstrap_total_r,24.94160694438788,44.10793715690752,58.89907795850011,61.88219214891168,69.26037385837833
expanded_v1_082_ex16_wave1_balanced,bootstrap_dd,3.0985466496439447,4.757915396726206,7.308903309781681,8.251384002220828,10.442551974414078
conservative_v03_strict,permutation_dd,3.0795126984885757,4.16379049723164,6.209831553169889,6.852472131541701,8.33686829914751
conservative_v03_strict,bootstrap_total_r,20.931448333110957,36.41025934734247,48.93970263229358,53.501684783234744,58.97995956517649
conservative_v03_strict,bootstrap_dd,2.289236020976612,4.164570865914895,6.470966406255686,7.340866920563343,9.367355169258515
simple_v04_less_fit,permutation_dd,3.1113592410292483,4.413358270859217,6.770501943433614,7.37894746749473,9.102526752953251
simple_v04_less_fit,bootstrap_total_r,21.032867862836692,38.66075739222035,53.16669251203173,56.03001156780609,63.32859328818233
simple_v04_less_fit,bootstrap_dd,3.0793980097275315,4.5039165087377615,7.244794691109771,8.132502500796916,10.31017210084638
standard_a_h4_not_oppose,permutation_dd,2.121702937077359,3.7505900590025014,5.402993692882052,6.222261085003523,7.4098867838881235
standard_a_h4_not_oppose,bootstrap_total_r,8.216540458311252,22.116741581662826,32.2657448456876,34.81633877944224,39.81067550632699
standard_a_h4_not_oppose,bootstrap_dd,2.087932766752459,3.757484114775483,6.2125041095961855,7.126633352060054,9.289611998173408
standard_h4_and_shallow_compare,permutation_dd,1.0525563669378766,2.0992969481768036,3.1466488145022837,3.804993809801198,4.8340574974998205
standard_h4_and_shallow_compare,bootstrap_total_r,0.9360569978845429,8.784092397536224,14.193862853130145,16.2632791102232,18.785357225504804
standard_h4_and_shallow_compare,bootstrap_dd,1.0473518663254797,2.0992969481768036,4.170398096191576,4.98879470228676,6.598835129163266
standard_shallow_no_h4,permutation_dd,1.6974704059356425,2.0940924475644103,3.7617191194644404,4.150719845571304,4.839819799295379
standard_shallow_no_h4,bootstrap_total_r,7.042157366395984,17.03759984659701,24.240529833207543,26.606203184236556,29.531105691972815
standard_shallow_no_h4,bootstrap_dd,1.04735186632548,2.0999082332633563,4.151427552246664,4.8344723056794985,6.233157202143971
standard_wave1_quality_shallow,permutation_dd,1.0525563669378766,2.082231339723051,3.1294733006515987,3.79156285350005,4.176323787287458
standard_wave1_quality_shallow,bootstrap_total_r,6.954129679883969,16.620469861262677,23.757295250443523,24.222249517821314,28.777364812925384
standard_wave1_quality_shallow,bootstrap_dd,1.0473518663254797,2.0822313397230516,3.78720701086396,4.389998337197657,6.194917901786356
