month,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars
1,5,100.0,7.32024911927467,1.464049823854934,inf,0.0,0,100.0,20.6,10.0
2,4,75.0,3.4018981308868037,0.8504745327217009,4.3288306418793345,1.0219498967860432,1,75.0,17.5,11.0
3,4,25.0,-1.620716654069626,-0.4051791635174065,0.47925257842446817,2.0649374834059406,3,25.0,11.25,12.0
4,7,71.42857142857143,5.169062207062143,0.7384374581517347,3.428378586087844,1.0745149349504015,1,71.42857142857143,10.0,8.0
5,6,100.0,8.759890685629966,1.4599817809383275,inf,0.0,0,100.0,14.5,12.5
6,13,53.84615384615385,4.466457293836791,0.34357363798744545,1.7614482797149884,3.7918644264832917,4,53.84615384615385,21.0,10.0
7,5,80.0,4.83087439167287,0.9661748783345739,5.665814666567631,1.0353763998145822,1,80.0,23.0,15.0
8,6,50.0,1.3256866994023166,0.22094778323371944,1.4286330281003785,1.0352527212027862,1,50.0,20.666666666666668,23.5
9,3,66.66666666666666,1.909587783079921,0.6365292610266403,2.814975136201431,1.0521288942153253,1,66.66666666666666,15.333333333333334,10.0
10,9,44.44444444444444,0.6756517015377661,0.075072411281974,1.129516782423229,2.724242972095028,2,44.44444444444444,8.11111111111111,9.0
11,5,80.0,4.803672321959022,0.9607344643918043,5.742944061449025,1.012803916665094,1,80.0,10.6,13.0
12,2,50.0,0.4279041601392699,0.21395208006963495,1.4058518128344561,0.0,1,50.0,4.0,4.0
