symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_i,entry_time,entry,target_model,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year,month,hour
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,1156,2014-03-11 01:00:00,long,103.341,102.934,103.405,103.154,4.446559607499087,0.5329087048832332,0.7450199203187015,4,3,0.75,8,103.334,103.164,1.6049153572714363,0.0660847500052068,0.8265306122447929,True,1,0,H4順,103.13281508215,1138-1142-1145,1157,2014-03-11 02:00:00,103.344,fixed_1_5R,103.660777376775,1.5,1171,2014-03-11 16:00:00,103.13281508215,SL,14,0.2111849178500051,-1.0,-1.04735186632548,IS_2014_2024,2014,3,2
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,1430,2014-03-26 11:00:00,long,102.379,102.198,102.401,102.26,2.819387685844033,0.6945812807881235,0.8439716312057253,9,4,0.4444444444444444,4,102.355,102.26,1.319417882537813,0.3333266229569377,0.590909090909179,True,1,0,H4順,102.2455997101059,1410-1419-1423,1431,2014-03-26 12:00:00,102.379,fixed_1_5R,102.57910043484117,1.5,1436,2014-03-26 17:00:00,102.2455997101059,SL,5,0.133400289894098,-1.0,-1.0749623558384287,IS_2014_2024,2014,3,12
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,2522,2014-05-28 23:00:00,short,101.721,101.975,101.638,101.886,4.3604808299558755,0.7359050445103813,0.6653225806451548,1,7,7.0,1,101.886,101.744,1.8373539402188024,0.2975995818663843,0.7027027027026197,True,0,0,H4中立,101.90145701096468,2510-2511-2518,2523,2014-05-29 00:00:00,101.721,fixed_1_5R,101.45031448355296,1.5,2538,2014-05-29 15:00:00,101.45031448355296,TP,15,0.1804570109646874,1.5,1.44458513999244,IS_2014_2024,2014,5,0
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,7970,2015-04-15 09:00:00,short,119.4,120.176,119.071,119.744,6.97997146528771,0.6090497737556556,0.5111441307577907,17,13,0.7647058823529411,2,119.744,119.463,1.7749972685483084,0.397953124265196,0.7700534759357334,True,1,0,H4順,119.77566202055397,7935-7952-7965,7971,2015-04-15 10:00:00,119.399,fixed_1_5R,118.83400696916904,1.5,7978,2015-04-15 17:00:00,118.83400696916904,TP,7,0.3766620205539652,1.5,1.4734509999567154,IS_2014_2024,2015,4,10
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,10536,2015-09-11 07:00:00,short,120.561,121.325,120.461,120.965,4.12048634564347,0.583333333333336,0.8015873015872866,6,9,1.5,4,120.965,120.58,1.8360963461490152,0.0906125469527655,0.4085714285713965,True,1,0,H4順,121.00693679714112,10514-10520-10529,10537,2015-09-11 08:00:00,120.561,fixed_1_5R,119.89209480428832,1.5,10568,2015-09-14 15:00:00,119.89209480428832,TP,31,0.4459367971411154,1.5,1.477575297521755,IS_2014_2024,2015,9,8
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,11356,2015-10-29 11:00:00,long,120.934,120.291,121.256,120.588,5.632085265892693,0.6922279792746155,0.5179640718562879,7,5,0.7142857142857143,8,120.906,120.629,1.616671107411685,0.1634180180776657,0.625730994152019,True,1,0,H4順,120.55373205289187,11333-11340-11345,11357,2015-10-29 12:00:00,120.935,fixed_1_5R,121.5069019206622,1.4999999999999811,11372,2015-10-30 03:00:00,120.55373205289187,SL,15,0.3812679471081281,-1.0,-1.0262282735169317,IS_2014_2024,2015,10,12
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,14392,2016-04-27 09:00:00,long,111.31,110.67,111.474,111.027,5.3276585512768655,0.5559701492537333,0.6331096196867998,12,8,0.6666666666666666,3,111.266,111.027,1.583719395217899,0.2915634033036879,0.6440677966102212,True,1,0,H4順,110.99681788557724,14366-14378-14386,14393,2016-04-27 10:00:00,111.31,fixed_1_5R,111.77977317163412,1.4999999999999774,14408,2016-04-28 01:00:00,111.77977317163412,TP,15,0.3131821144227587,1.4999999999999774,1.4680696963859845,IS_2014_2024,2016,4,10
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,15035,2016-06-03 04:00:00,short,108.612,109.313,108.523,109.135,4.013120482910931,0.7746835443038027,0.8545751633986972,7,12,1.7142857142857142,0,109.135,108.745,1.981160744728168,0.6756266129458086,0.5456790123456865,True,1,0,H4順,109.17437085882987,15013-15020-15032,15036,2016-06-03 05:00:00,108.612,fixed_1_5R,107.76844371175515,1.5,15043,2016-06-03 12:00:00,107.76844371175515,TP,7,0.5623708588298939,1.5,1.4822181397862657,IS_2014_2024,2016,6,5
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,15412,2016-06-26 21:00:00,short,101.872,106.809,98.955,103.253,11.776191740651084,0.5472370766488417,0.3213122382503489,5,5,1.0,11,102.561,102.007,0.8306608383397919,0.2024173523030248,0.968137254901948,True,1,0,H4順,103.38638777378918,15388-15393-15398,15413,2016-06-26 22:00:00,101.872,fixed_1_5R,99.60041833931624,1.4999999999999951,15485,2016-06-29 22:00:00,102.885,time_exit,72,1.514387773789181,-0.6689171806144187,-0.6755205091495994,IS_2014_2024,2016,6,22
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,21194,2017-05-29 20:00:00,short,111.246,111.469,111.227,111.399,2.9406702957137068,0.7107438016529091,0.8895348837209792,5,2,0.4,9,111.359,111.264,1.1543953640198763,0.2187275426564085,0.4867256637168765,True,1,0,H4順,111.41545883255615,21175-21180-21182,21195,2017-05-29 21:00:00,111.246,fixed_1_5R,110.99181175116576,1.5,21198,2017-05-30 00:00:00,110.99181175116576,TP,3,0.1694588325561596,1.5,1.44098861741729,IS_2014_2024,2017,5,21
