hour,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars
0,7,85.71428571428571,7.74642878815886,1.1066326840226943,8.209233242082789,1.0745149349504013,1,85.71428571428571,11.428571428571429,13.0
2,10,40.0,-0.30319134913010126,-0.030319134913010127,0.9512663768588985,4.1387853382411866,4,40.0,18.8,11.5
3,5,60.0,2.2718946259248463,0.45437892518496925,2.068256017253855,1.074175979269881,1,60.0,7.6,9.0
4,1,100.0,1.4753133157389058,1.4753133157389058,inf,0.0,0,100.0,67.0,67.0
5,4,75.0,3.373124318711973,0.8432810796779933,4.318472166016693,1.0164690706931205,1,75.0,7.5,7.5
7,7,57.14285714285714,2.641469132673537,0.3773527332390767,1.8440211039854448,2.088521873628846,3,57.14285714285714,9.285714285714286,7.0
8,4,100.0,5.88325754801107,1.4708143870027675,inf,0.0,0,100.0,22.25,26.0
9,2,100.0,2.924678322297269,1.4623391611486345,inf,0.0,0,100.0,15.5,15.5
10,4,100.0,5.85633177064133,1.4640829426603326,inf,0.0,0,100.0,12.75,14.0
11,1,0.0,-1.0128039166650942,-1.0128039166650942,0.0,0.0,1,0.0,14.0,14.0
12,5,60.0,2.3720328408695233,0.47440656817390464,2.1479262654352014,1.0401351439715942,1,60.0,7.2,6.0
13,4,50.0,0.8719444108836256,0.2179861027209064,1.4199499295588518,2.0763056486271694,2,50.0,13.75,6.0
15,3,66.66666666666666,1.9288188072544525,0.6429396024181508,2.8732307361391705,0.0,1,66.66666666666666,14.0,14.0
16,1,100.0,1.480196256216128,1.480196256216128,inf,0.0,0,100.0,8.0,8.0
17,1,0.0,-1.0353763998145822,-1.0353763998145822,0.0,0.0,1,0.0,19.0,19.0
19,1,0.0,-1.0271345478370852,-1.0271345478370852,0.0,0.0,1,0.0,41.0,41.0
20,2,50.0,0.43414349347425274,0.21707174673712637,1.4147517951395276,0.0,1,50.0,7.0,7.0
21,2,100.0,2.9563641162691923,1.4781820581345961,inf,0.0,0,100.0,38.0,38.0
22,2,50.0,0.743079272727107,0.3715396363635535,2.100009937022573,0.0,1,50.0,37.5,37.5
23,3,66.66666666666666,1.8896470340067026,0.6298823446689009,2.792678426327909,1.0540914679703164,1,66.66666666666666,16.0,17.0
