timeframe,family,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,1513,38.59881031064111,186.64099990425487,0.12335822862145067,1.1944137716536136,50.86553335698007,16,123.75545274289492
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,1074,39.10614525139665,148.91970428180247,0.13865894253426672,1.220650613777495,29.46661962234426,16,119.82402234636872
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,1191,38.203190596137695,134.01367398274382,0.11252197647585543,1.1762134163523956,32.338614689235364,13,114.23761544920235
H4,V字フィボ,VFIB_618_RR2,887,41.826381059751974,126.915170775707,0.14308361981477677,1.2517694402325723,18.587488960638623,13,70.20405862457723
H4,V字フィボ,VFIB_618_BODY50_RR2,812,42.48768472906404,126.86296201670525,0.15623517489742025,1.2783844081709306,16.120241768158778,11,71.67857142857143
H1,V字フィボ,VFIB_786_EARLY1_RR2,2137,28.87225081890501,117.43962930644469,0.054955371692299804,1.108757368140016,40.63402226148953,25,115.42021525503041
H1,V字フィボ,VFIB_618_RR2,2262,35.94164456233422,113.360516709719,0.0501151709592038,1.075852246115212,43.70237694780673,21,115.98850574712644
H4,V字フィボ,VFIB_618_BODY60_RR2,750,42.13333333333333,106.41051941797939,0.14188069255730584,1.2514806789155066,14.382202959859697,11,72.09466666666667
H4,V字フィボ,VFIB_618_BODY60_LONG_RR2,566,43.28621908127209,103.78190751008673,0.18336026061852778,1.331279576757569,14.616636796079463,11,71.93639575971731
H4,V字フィボ,VFIB_618_EARLY1_RR2,1067,33.177132146204315,102.35982174532947,0.09593235402561337,1.2066796307884022,22.51340861346592,13,53.77319587628866
H1,V字フィボ,VFIB_786_BODY60_RR2,1516,36.34564643799472,99.94422959105196,0.0659262728173166,1.101023297358454,46.92922728151716,14,154.93931398416888
H4,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,939,34.291799787007456,93.10025076150066,0.09914829687060774,1.2106884483283002,20.90606814132044,13,57.09797657082002
H1,V字フィボ,VFIB_618_BODY60_RR2,2001,35.63218390804598,88.95316608914743,0.04445435586664039,1.067025596594761,44.16236585999393,17,117.45977011494253
H1,V字フィボ,VFIB_786_RR2,1723,35.9257109692397,88.69060450819038,0.05147452380045872,1.0783459333120524,40.40962829995944,16,151.43586767266396
H1,V字フィボ,VFIB_618_BODY50_RR2,2123,35.56288271314178,88.09586701160842,0.041495933590018096,1.0624890054147658,44.53455248930537,13,116.77814413565709
H4,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,496,42.13709677419355,78.60021700811416,0.15846817945184305,1.2802924281028711,17.672147696063007,12,70.4133064516129
H1,V字フィボ,VFIB_786_EXT127,3484,73.19173363949484,73.6870786865828,0.021150137395689664,1.0775846908100137,35.23194739669922,5,31.010907003444316
H1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,450,30.0,73.33466283698337,0.1629659174155186,1.2259376356766174,34.70131356243125,17,147.10222222222222
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,570,38.59649122807017,71.7642150437016,0.12590213165561684,1.199139221455813,28.421312594486658,16,108.37719298245614
H1,V字フィボ,VFIB_100_RR2,1269,36.40661938534279,71.3415254586956,0.05621869618494531,1.0867506960063569,39.250023667210186,15,199.2513790386131
H1,V字フィボ,VFIB_618_EARLY1_RR2,2750,28.363636363636363,68.03726087478842,0.024740822136286696,1.0462308431866343,49.13311463000075,25,90.93818181818182
H1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,2562,28.61046057767369,64.99165803933113,0.02536754802471941,1.0468918821004447,44.881542533746256,18,91.44067135050742
H1,V字フィボ,VFIB_786_RR3,1385,27.436823104693143,62.829262036003655,0.04536408811263802,1.060950090402625,71.80209887373233,19,208.96462093862817
H4,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,402,41.54228855721393,61.859936626587604,0.1538804393696209,1.2686405985563183,11.09770258933724,10,69.70149253731343
H4,V字フィボ,VFIB_618_EARLY3_RR2,1267,25.73007103393844,59.00419169282705,0.04657000133609081,1.1212261903267329,19.743095668013062,19,41.74033149171271
H1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,481,37.83783783783784,48.62526283251755,0.10109202252082651,1.1580416474853108,32.77765802356678,15,101.64449064449065
H1,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,646,36.84210526315789,45.815662896042475,0.07092207878644347,1.1086732437675222,29.78627068749583,18,99.1532507739938
H4,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,187,44.38502673796791,41.523173326491474,0.22204905522187954,1.4080322300243397,9.843877637248305,8,71.79144385026738
H1,V字フィボ,VFIB_100_EXT161,2396,71.8280467445743,38.162177050722974,0.015927452859233294,1.05568713070035,21.121923721309386,6,45.904841402337226
H4,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,291,40.20618556701031,36.09106007135456,0.12402426141358956,1.2123063059738017,19.22012216171117,11,69.81443298969072
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,103,56.310679611650485,34.141836823551365,0.3314741439179744,1.8237136087586887,9.150262184943621,7,36.980582524271846
D1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,150,52.666666666666664,34.09695716507239,0.22731304776714925,1.5212201471395828,13.358118865525913,8,36.24666666666667
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,113,53.98230088495575,29.810129629484408,0.2638064568980921,1.6136032848376727,10.66756164157598,9,37.75221238938053
D1,V字フィボ,VFIB_618_BODY60_LONG_RR2,160,51.24999999999999,29.76524997100543,0.18603281231878394,1.4102666347675699,18.153409291349693,10,36.8375
D1,V字フィボ,VFIB_618_BODY60_RR2,220,46.81818181818182,22.544841840273946,0.10247655381942702,1.2123264750178488,14.171206852267014,11,36.95454545454545
H4,V字フィボ,VFIB_786_EXT127,1128,72.87234042553192,20.111425682437513,0.017829278087267298,1.066078679695681,15.79437491949673,5,21.86081560283688
D1,V字フィボ,VFIB_100_RR2,152,50.0,20.0077514378342,0.13162994366996186,1.317442230738995,6.097679729630933,8,42.76973684210526
D1,V字フィボ,VFIB_786_BODY60_RR2,164,46.34146341463415,19.777373459677392,0.12059374060778898,1.285319922910673,8.597059118474265,9,41.30487804878049
D1,V字フィボ,VFIB_618_RR2,276,43.11594202898551,17.949978600411505,0.06503615434931705,1.1270906364873137,14.939498987776087,9,35.29710144927536
D1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,271,37.63837638376384,17.648658713186798,0.06512420189367822,1.146503703727828,14.827706653111914,10,29.771217712177123
H4,V字フィボ,VFIB_786_EARLY1_RR2,821,31.059683313032888,17.167053428285087,0.020909931094135307,1.0441246519956868,31.024883152452087,18,64.12667478684531
H1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,277,27.436823104693143,16.458312436759016,0.05941629038541161,1.079480011101952,33.37550290914446,18,147.30324909747293
H4,V字フィボ,VFIB_786_RR2,696,38.93678160919541,16.040979667212607,0.023047384579328457,1.0389831475113505,36.305911707695955,11,81.37931034482759
D1,V字フィボ,VFIB_618_BODY50_RR2,249,43.77510040160642,14.084026444183214,0.05656235519752295,1.1125403048769449,13.994354042744892,7,36.07630522088353
D1,V字フィボ,VFIB_618_EARLY1_RR2,307,35.83061889250814,14.042688555228779,0.04574165653168983,1.1016772678004385,14.420384409286624,14,28.94788273615635
D1,V字フィボ,VFIB_618_EARLY3_RR2,360,28.888888888888886,12.358213670409398,0.03432837130669277,1.0950497166070525,17.962076771495045,11,22.233333333333334
H4,V字フィボ,VFIB_786_BODY60_RR2,584,38.013698630136986,10.091091889473315,0.01727926693402965,1.0294849280116234,30.78459865017542,16,87.91438356164383
H4,V字フィボ,VFIB_786_RR3,654,34.403669724770644,9.116915391903932,0.01394023760229959,1.022263463651954,36.855420168586974,15,93.49847094801223
H1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,294,35.374149659863946,8.029402929184622,0.027310894316954496,1.0410677907520918,29.7274763261777,13,106.25170068027211
D1,V字フィボ,VFIB_786_RR3,206,40.77669902912621,7.1001927439705925,0.03446695506781841,1.0713860389114118,16.771327272454958,10,42.407766990291265
H4,V字フィボ,VFIB_100_EXT161,775,70.70967741935485,5.73613646276856,0.007401466403572335,1.0255851672511116,24.872276644745146,6,32.31225806451613
D1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,29,37.93103448275862,4.199133070564497,0.14479769208843093,1.2508890929780871,7.823314338812282,8,30.137931034482758
D1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,9,66.66666666666666,4.164759355657799,0.46275103951753327,10.851629177825345,0.19358324051283565,2,59.55555555555556
D1,V字フィボ,VFIB_100_EXT161,183,71.03825136612022,4.050996014194928,0.02213659024150234,1.0850738756518294,6.801465284575483,3,18.508196721311474
D1,V字フィボ,VFIB_786_EARLY1_RR2,241,33.19502074688796,2.439369085401009,0.010121863424900452,1.0257904024761355,14.13191396461751,11,30.190871369294605
D1,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,38,52.63157894736842,1.1353900604993408,0.02987868580261423,1.0828880808331864,9.030184006078887,6,46.5
D1,V字フィボ,VFIB_786_RR2,209,41.14832535885167,0.6877878661542693,0.0032908510342309536,1.0067888656353554,17.322613449093325,10,39.377990430622006
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,50,34.0,0.40419190554969964,0.008083838110993993,1.0129901514821475,9.224835920090396,9,31.56
D1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,29,37.93103448275862,-0.051494614520984694,-0.0017756763627925756,0.9969233084750303,7.823314338812283,8,27.79310344827586
D1,V字フィボ,VFIB_786_EXT127,284,70.77464788732394,-3.108360904944398,-0.010944932763888724,0.9599337493330439,11.935998898329142,4,15.140845070422536
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,50,36.0,-3.2077265194977254,-0.0641545303899545,0.8934500946066618,9.224835920090397,9,29.02
H4,V字フィボ,VFIB_100_RR2,542,38.92988929889299,-5.747851116166394,-0.01060489135824058,0.9812731511476711,27.09019969749035,9,96.09040590405904
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,39,30.76923076923077,-7.164593206014404,-0.18370751810293343,0.7226634935971982,10.143667549978545,7,91.43589743589743
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,69,27.536231884057973,-13.169659066605075,-0.19086462415369673,0.7408096711764878,16.1278487829173,9,148.0
H4,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,106,29.245283018867923,-18.07546378004112,-0.17052324320793508,0.7609517053290166,24.93400837064559,7,52.764150943396224
H4,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,106,23.58490566037736,-21.89812725573284,-0.20658610618615889,0.731922746343081,28.095736138727325,8,61.22641509433962
