timeframe,family,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,2019,111,35.13513513513514,0.06934807603764304,0.0006247574417805678,1.000917029485532,19.063751494419236,7,98.70270270270271
D1,V字フィボ,VFIB_786_BODY60_RR2,2020,20,40.0,0.025472268565151085,0.0012736134282575542,1.0026428511649783,4.034949009668672,5,32.25
D1,V字フィボ,VFIB_100_EXT161,2022,18,72.22222222222221,0.008554302538234637,0.0004752390299019243,1.001705002862767,3.1471878784042233,2,8.444444444444445
H4,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2024,25,32.0,-0.02041205325911344,-0.0008164821303645375,0.9988190276914019,7.076661696075453,7,70.96
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2019,12,41.66666666666667,-0.047574130125342506,-0.003964510843778542,0.9933011082217909,6.043967744668281,7,38.166666666666664
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2017,6,33.33333333333333,-0.049574503363976286,-0.00826241722732938,0.9878042571740391,2.034947404359321,2,85.5
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2018,9,33.33333333333333,-0.052745362973420695,-0.005860595885935633,0.9913332341822567,2.0249187045962964,2,231.44444444444446
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2023,6,33.33333333333333,-0.07292443356195943,-0.012154072260326573,0.9820362291192198,2.044457051862885,2,65.83333333333333
H4,V字フィボ,VFIB_100_EXT161,2022,72,69.44444444444444,-0.08437778902562548,-0.0011719137364670205,0.996207605961526,3.880709582189304,3,28.944444444444443
H4,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2015,12,33.33333333333333,-0.09993762082415225,-0.008328135068679354,0.9876525411565082,4.033163100776326,4,49.583333333333336
H4,V字フィボ,VFIB_618_EARLY1_RR2,2020,98,31.63265306122449,-0.12014778577102869,-0.0012259978139900886,0.997400202913291,16.82337045529259,13,64.86734693877551
D1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2019,3,33.33333333333333,-0.1424890043326592,-0.04749633477755307,0.929193090138455,2.012360158228631,2,26.666666666666668
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2017,4,25.0,-0.14590975249265226,-0.036477438123163064,0.9317381627666714,1.0136540557280562,2,147.0
H4,V字フィボ,VFIB_100_RR2,2020,52,40.38461538461539,-0.18865985419626896,-0.0036280741191590184,0.9934437119613249,7.983993387752906,6,106.9423076923077
D1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2021,5,40.0,-0.21198993085436268,-0.04239798617087254,0.9301915851156745,3.0367389261829834,3,37.8
D1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2016,5,40.0,-0.2254884406446667,-0.04509768812893334,0.9058038025430072,1.2169538601247345,1,33.6
H4,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,2020,22,40.909090909090914,-0.23785105424752184,-0.010811411556705538,0.9809897589368185,7.095368123521581,7,85.77272727272727
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2021,6,33.33333333333333,-0.2814292847392754,-0.046904880789879234,0.9308757240887874,3.050943053147836,3,174.33333333333334
H4,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2017,18,33.33333333333333,-0.3105523978860585,-0.017252910993669917,0.9735450107862641,5.236566180137476,5,55.166666666666664
D1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2015,2,0.0,-0.3775565084968851,-0.18877825424844255,0.0,0.19358324051283565,2,60.0
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2019,4,50.0,-0.40360604674753164,-0.10090151168688291,0.8064548457227463,1.0062146782899313,1,40.0
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2019,4,50.0,-0.40360604674753164,-0.10090151168688291,0.8064548457227463,1.0062146782899313,1,40.0
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2016,5,40.0,-0.421026280026858,-0.0842052560053716,0.8290758225401477,1.0062203064846538,2,107.4
