timeframe,family,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H1,V字フィボ,VFIB_786_RR2,XAUUSD,230,40.869565217391305,46.18589865164958,0.2008082550071721,1.332506137935404,12.677311972711802,7,165.69565217391303
H1,V字フィボ,VFIB_618_RR2,XAUUSD,306,39.21568627450981,45.963021872284614,0.15020595383099547,1.2418789457377024,25.234011222393743,12,121.2516339869281
H1,V字フィボ,VFIB_786_BODY60_RR2,XAUUSD,208,41.34615384615385,44.4456445440575,0.21368098338489183,1.3565975661025969,12.792025924567497,7,163.20192307692307
H1,V字フィボ,VFIB_618_BODY60_RR2,EURJPY,296,36.82432432432432,43.328470251420754,0.14637996706561066,1.2281307376374915,16.55008534394834,10,118.80067567567568
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,EURJPY,236,39.83050847457627,42.285731207810215,0.1791768271517382,1.2928790996622295,16.968409461757695,7,125.66525423728814
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,EURJPY,173,42.19653179190752,41.92208352075127,0.2423241822008744,1.412429563858799,12.415556634880243,7,106.49132947976878
H4,V字フィボ,VFIB_618_BODY50_RR2,USDJPY,119,48.739495798319325,41.57717824480362,0.34938805247734134,1.6954397605530014,8.28853579159108,5,71.95798319327731
H1,V字フィボ,VFIB_618_BODY50_RR2,EURJPY,305,36.721311475409834,41.31280348618033,0.13545181470878798,1.2107355467059822,19.142178012351856,10,122.88852459016394
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,XAUUSD,215,40.46511627906977,40.93090931600847,0.19037632240003938,1.3118695100848992,15.96041000228626,10,112.0046511627907
H1,V字フィボ,VFIB_786_EARLY1_RR2,XAUUSD,296,31.41891891891892,40.79966036979611,0.13783669043850036,1.2867632176182935,19.71632140484569,12,122.77364864864865
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,GBPJPY,224,40.17857142857143,39.26562098292767,0.1752929508166414,1.2881257704046134,9.750422859007617,7,128.89285714285714
H1,V字フィボ,VFIB_618_BODY60_LONG_RR2,USDJPY,204,40.19607843137255,38.80500741872955,0.19022062460161546,1.312877706794101,10.614415370621867,7,121.22058823529412
H4,V字フィボ,VFIB_618_EARLY1_RR2,XAUUSD,133,41.35338345864661,38.353759391951044,0.2883741307665492,1.6941678465878658,7.203275330003425,9,63.35338345864662
H1,V字フィボ,VFIB_618_EARLY1_RR2,GBPJPY,407,30.95823095823096,36.98257485336099,0.09086627728098523,1.1765372374458618,21.620160759054183,21,88.66830466830467
H1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,EURJPY,363,30.02754820936639,36.820115959006436,0.10143282633335106,1.1877742401737963,19.69060062109334,13,97.31404958677686
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,EURJPY,188,40.42553191489361,35.71267560976875,0.18996104047749335,1.3138486720139468,10.156495130264178,6,128.62234042553192
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,USDJPY,154,41.55844155844156,35.52144417973113,0.2306587284398125,1.3881067921297197,8.122994926920303,8,110.07792207792208
H1,V字フィボ,VFIB_786_RR3,XAUUSD,192,31.25,34.865077700519755,0.18158894635687373,1.2588379740643194,12.30448381989717,9,219.34895833333334
H4,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,USDJPY,132,40.15151515151515,34.56407543399492,0.26184905631814337,1.6007991753264907,8.65318769728027,6,60.90151515151515
H1,V字フィボ,VFIB_618_EARLY1_RR2,XAUUSD,373,30.563002680965145,34.51440887531483,0.09253192727966442,1.182118872622717,24.904104881258277,9,95.24396782841823
H1,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,GBPJPY,197,39.59390862944163,34.071475790971135,0.1729516537612748,1.2814790130033917,11.245616672975688,7,117.55329949238579
H1,V字フィボ,VFIB_786_BODY60_RR2,EURJPY,226,36.72566371681416,34.05140378020344,0.15066992823098865,1.2347794768799616,22.661802976940447,8,157.00442477876106
H4,V字フィボ,VFIB_618_BODY60_RR2,USDJPY,109,47.706422018348626,34.0422553043257,0.3123142688470248,1.6134283828718448,8.279093107237394,5,73.03669724770643
H4,V字フィボ,VFIB_618_EARLY1_RR2,USDJPY,158,36.075949367088604,33.86450518901284,0.21433231132286606,1.50407787448647,9.661538664507955,7,51.90506329113924
H1,V字フィボ,VFIB_618_BODY50_RR2,XAUUSD,297,37.71043771043771,32.85642445558395,0.11062769176964292,1.1740061363176164,22.245590569934734,9,119.35353535353535
H1,V字フィボ,VFIB_618_RR2,USDJPY,319,36.990595611285265,31.62227424119617,0.09912938633603816,1.1549563608011317,24.639001167610736,17,115.62382445141066
H1,V字フィボ,VFIB_618_RR2,EURJPY,327,35.47400611620795,31.31219772248669,0.09575595633787978,1.1461539481789271,18.740522309878973,10,119.08256880733946
H1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,EURJPY,75,36.0,30.982647702578955,0.4131019693677194,1.6339948052060724,8.42986885946732,7,133.21333333333334
H1,V字フィボ,VFIB_100_RR2,GBPJPY,194,39.69072164948454,30.401844380213497,0.15671053804233762,1.2562122212281388,12.238825437931267,8,189.0721649484536
H1,V字フィボ,VFIB_618_EARLY1_RR2,EURJPY,392,28.061224489795915,30.123798465335938,0.07684642465646922,1.147069799374991,15.394918883308982,13,93.65816326530613
H4,V字フィボ,VFIB_618_EARLY3_RR2,XAUUSD,160,30.625000000000004,29.91142121787449,0.18694638261171556,1.5425707102243773,7.462023238635439,10,48.39375
H4,V字フィボ,VFIB_618_BODY60_RR2,SILVER,105,48.57142857142857,29.83281884045087,0.2841220841947702,1.532712885505262,6.161952527824141,5,72.48571428571428
H4,V字フィボ,VFIB_618_RR2,XAUUSD,117,45.2991452991453,29.7362753958843,0.2541561999648231,1.5045334011750477,6.283724013921791,6,76.02564102564102
H1,V字フィボ,VFIB_786_RR2,EURJPY,259,35.907335907335906,29.193792011006924,0.1127173436718414,1.1734157285213076,17.63633473458613,9,145.41312741312743
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,GBPJPY,152,40.78947368421053,29.070387257053493,0.19125254774377298,1.3175214424811206,8.36529636706065,7,150.80921052631578
H1,V字フィボ,VFIB_786_RR2,SILVER,239,40.58577405857741,28.75612593591022,0.12031851856029381,1.1854437954399193,11.189833266844207,9,153.14644351464435
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,AUDJPY,152,40.131578947368425,28.33305149917276,0.1864016545998208,1.3059413633358175,11.756689990960155,6,127.33552631578948
H4,V字フィボ,VFIB_618_BODY60_LONG_RR2,XAUUSD,78,46.15384615384615,28.13189255511695,0.360665289168166,1.7327648212317428,7.432862793758377,7,72.1923076923077
H1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,XAUUSD,359,29.805013927576603,28.056545939102193,0.07815193854903117,1.1526324730327424,23.10563562624616,12,93.29526462395543
H1,V字フィボ,VFIB_786_EXT127,SILVER,466,79.82832618025752,27.971828234087063,0.06002538247658168,1.288294197924927,5.184756900810385,3,34.002145922746784
H1,V字フィボ,VFIB_786_EXT127,EURJPY,537,73.55679702048417,27.659188235096977,0.05150686822178208,1.193424861979911,10.55226169156018,4,28.363128491620113
H1,V字フィボ,VFIB_618_BODY60_RR2,USDJPY,284,36.971830985915496,26.611833307746238,0.09370363840755717,1.1464048570510037,20.37570634113812,11,110.80985915492958
H4,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,XAUUSD,118,38.983050847457626,26.40303523650006,0.22375453590254288,1.5095639369768872,6.370455133560828,5,62.79661016949152
H1,V字フィボ,VFIB_618_BODY60_RR2,SILVER,272,40.07352941176471,26.166770416674666,0.0962013618260098,1.1450746699864962,16.351110992301006,7,116.98529411764706
H4,V字フィボ,VFIB_618_RR2,USDJPY,130,42.30769230769231,25.026758741306637,0.19251352877928182,1.3435532407880924,9.296886758818768,6,67.9
H1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,EURJPY,81,44.44444444444444,25.01249295409151,0.30879620930977175,1.545992035497328,6.1051641985731795,6,82.46913580246914
H4,V字フィボ,VFIB_618_EARLY3_RR2,USDJPY,186,28.49462365591398,24.80072821126923,0.13333724844768405,1.3904641144297425,7.745735048660181,15,41.48924731182796
H4,V字フィボ,VFIB_618_BODY60_RR2,XAUUSD,98,44.89795918367347,24.76087888816183,0.2526620294710391,1.4880297439188277,6.419664114415758,4,71.81632653061224
H4,V字フィボ,VFIB_618_BODY60_LONG_RR2,USDJPY,84,47.61904761904761,24.318081108932052,0.2895009655825244,1.5670396647188065,4.090920055500181,4,71.73809523809524
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,EURJPY,99,42.42424242424242,23.868533313848257,0.24109629609947733,1.4122110066464137,7.096677539493904,7,93.44444444444444
H4,V字フィボ,VFIB_618_BODY50_RR2,SILVER,113,46.017699115044245,23.663334467160603,0.2094100395323947,1.3724246789231562,7.168276834973389,4,70.45132743362832
H1,V字フィボ,VFIB_618_BODY50_RR2,USDJPY,303,36.303630363036305,23.312911935825312,0.07694030341856539,1.1189748454455142,24.590201676748947,11,109.12871287128714
H1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,AUDJPY,87,42.5287356321839,22.462676456064415,0.2581916834030393,1.4411198513086747,11.499580459151378,6,136.44827586206895
H1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,USDJPY,67,34.32835820895522,22.271934116192686,0.33241692710735354,1.4981741986899333,7.241956521284235,6,162.52238805970148
H4,V字フィボ,VFIB_618_BODY60_LONG_SPEED030_RR2,XAUUSD,69,44.927536231884055,22.244174334867438,0.3223793381864846,1.6477872078091682,7.432862793758376,6,73.42028985507247
