variant,trades,win_rate,total_r,avg_r,pf,max_dd_r,avg_mae_r,avg_mfe_r,avg_risk_atr,avg_bars_held_m15,tp,sl,time,early,worst_year_r
m15_open,27,77.77777777777779,12.950524434109836,0.4796490531151791,2.837898735671081,1.573281462221665,0.6953607234146665,1.244675463645619,1.8178876840135654,34.18518518518518,20,5,2,0,-0.411420287069699
m15_retest_025r_2h,17,88.23529411764706,11.416117092635359,0.6715362995667858,4.759152893067294,1.7643752829621997,0.47775497855998783,1.3366057530970068,1.2880792401998682,15.823529411764707,15,2,0,0,-1.7643752829622
m15_retest_box_1h,16,81.25,8.73287726980473,0.5458048293627956,3.1821249004753156,2.3863729551641972,0.6615383669239567,1.457968353501168,1.4584316663118622,27.0625,13,3,0,0,-1.2266144095593505
m15_bear_confirm_1h,12,75.0,5.778150625619222,0.4815125521349352,2.680485374122084,1.353545933130988,0.8282374424988693,1.215601488318999,1.749106474239544,29.5,9,3,0,0,-0.127240830014282
m15_open_no_progress_exit,27,25.925925925925924,-3.332028934315054,-0.12340847904870571,0.6767890945949061,4.49455713150915,0.47591880143852194,0.5245358154284803,1.8178876840135654,13.592592592592593,7,3,1,16,-2.1812142436539927
