signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year,variant,bars_held_m15
329,2014-01-22 06:00:00,7,0.0615000637198657,1.3983725348924925,0.6046511627907034,0.1627906976744138,0.2325581395348827,0.7674418604651172,-1.0692116074765723,33.8274938041985,-1.5448731396496012,-4.079780153320934,True,False,False,False,True,False,-0.0390347797764621,0.4941704924274086,pullback_rebreak,0,8,0.3739833523549702,1.3008116603651616,0.4390239353732485,5.723571305606584,0.6341456844279679,1.2682913688559936,19.929,330,2014-01-22 07:30:00,19.853306252389494,19.93822500955798,19.751403743787314,0.0849187571684844,1.380791368855997,347,2014-01-22 20:45:00,19.751403743787314,TP,17,0.7971589536596306,1.2165304325465773,0.905600966928874,IS_2014_2024,2014,m15_retest_025r_2h,53
6965,2015-03-04 09:00:00,10,0.0812452085465174,1.1939165611774314,0.4845360824742264,0.4432989690721513,0.0721649484536222,0.9278350515463778,-1.2042013296032965,39.18762169955771,-1.0911672957211451,-2.765284847076246,True,False,False,True,False,False,-0.545774418076017,-0.3615124699476468,pullback_rebreak,0,8,0.3815609628504994,1.107757634082136,0.3569441265375767,2.769394085205362,0.7508135075445594,1.366234415367978,16.363,6966,2015-03-04 10:00:00,16.259546695320495,16.37518678128198,16.120778592166715,0.11564008596148412,1.4233465336638744,6990,2015-03-04 15:00:00,16.120778592166715,TP,24,0.8686719993702038,1.6650514717243081,0.9838119905209148,IS_2014_2024,2015,m15_retest_025r_2h,20
8594,2015-06-12 03:00:00,4,0.0511400986596036,0.8212733471548079,0.8095238095237873,0.1666666666667019,0.0238095238095107,0.9761904761904892,-0.1419365965272721,45.30408181441109,-0.5741582365568477,-1.934220262736293,True,False,False,True,False,False,-1.1124258226767954,-0.6876838313835267,pullback_rebreak,0,8,0.664840328649112,0.6843944559623457,-0.3519742916377897,1.0559228749132996,1.1536935114793987,1.1732476387926325,16.065,8595,2015-06-12 05:00:00,15.997167753699735,16.072671014798942,15.906563840380686,0.07550326109920746,1.4764003800964256,8603,2015-06-12 08:15:00,15.906563840380686,TP,8,0.26266741345391864,1.2869345281929068,0.8688884740070767,IS_2014_2024,2015,m15_retest_025r_2h,13
8824,2015-06-26 03:00:00,4,0.0421767054608691,1.2566178278000286,0.7169811320754894,0.0943396226414923,0.1886792452830182,0.8113207547169817,-0.9937351213413032,43.26673459655692,-0.6691172581639853,-2.465078664753665,True,False,False,True,False,False,-0.7984758385223801,-0.8647069913743627,pullback_rebreak,0,8,0.0711293110075527,0.0948390813433896,-0.0711293110075527,1.873071856532167,1.090649435449086,1.2329080574641915,15.885,8825,2015-06-26 04:15:00,15.845331626454783,15.89132650581913,15.790137771217566,0.045994879364346986,1.0905280263537969,8827,2015-06-26 06:30:00,15.790137771217566,TP,2,0.10149767995337654,1.5073770692075286,0.6564612333915927,IS_2014_2024,2015,m15_retest_025r_2h,9
10110,2015-09-14 05:00:00,6,0.0692320203300677,1.0399812060479634,0.583333333333323,0.2916666666666738,0.125000000000003,0.8749999999999969,-0.1737890172217459,43.48691019036963,-0.6610859724386414,-1.5954624422335677,True,False,False,True,False,False,-0.2901687040568224,-0.6197277066965641,pullback_rebreak,0,8,0.0577767336693241,0.3033278517639968,-0.5633231532759684,3.1199436181438385,1.473306708567933,1.415529974898609,14.615,10111,2015-09-14 06:30:00,14.541096200762377,14.62538480304951,14.439949878017817,0.08428860228713297,1.217480031425952,10116,2015-09-14 08:30:00,14.439949878017817,TP,5,0.01072267439604723,1.2587253541226715,0.903399993336746,IS_2014_2024,2015,m15_retest_025r_2h,8
23166,2017-11-29 09:00:00,10,0.0408753861815235,1.0275132279725452,0.7619047619047337,0.0,0.2380952380952662,0.7619047619047337,-0.7670221574929352,35.3032245891943,-1.2604402405531294,-3.677580817516144,True,False,False,True,False,False,-0.3665233401476956,-0.0492911558418554,pullback_rebreak,0,8,0.1467876039960778,0.9785840266404612,0.0978584026639939,3.7675485025658544,0.6850088186483925,1.467876039960692,16.91,23167,2017-11-29 10:30:00,16.861282826981807,16.91613130792723,16.795464649847297,0.05484848094542372,1.341846183467163,23170,2017-11-29 13:00:00,16.795464649847297,TP,3,0.2683241680446659,1.463720154104036,0.7441988625924455,IS_2014_2024,2017,m15_retest_025r_2h,10
28781,2018-11-12 07:00:00,8,0.0438231865348008,1.4832330813821966,0.3538461538461517,0.4461538461538482,0.2,0.8,-1.0195047198240266,30.903059034994858,-1.7035067941368751,-6.403921686265907,True,False,False,True,False,False,-1.0437860157169314,-0.8231634683473577,pullback_rebreak,0,8,0.2738276457936082,1.3691382289681628,0.5704742620700476,5.6591046797351785,0.6161122030357097,1.460414110899406,14.203,28782,2018-11-12 08:00:00,14.149143369495054,14.20957347798022,14.076627239312854,0.060430108485165945,1.3789528617955995,28788,2018-11-12 13:15:00,14.076627239312854,TP,6,0.7091933405260508,1.326215879866011,0.7862989389447006,IS_2014_2024,2018,m15_retest_025r_2h,21
31709,2019-05-15 06:00:00,7,0.0307239770509582,1.5297498732682702,0.617021276595735,0.297872340425552,0.0851063829787129,0.914893617021287,-1.459688436826956,46.35478013239383,-0.5212637201875243,-0.441929596803759,True,False,False,True,False,False,-0.2580677071079892,-0.6949587556481933,pullback_rebreak,0,8,0.0650957392880324,0.7486010018121125,0.1301914785760648,0.9113403500321648,1.2693669161161985,1.1717233071841788,14.805,31710,2019-05-15 07:15:00,14.77690214913941,14.809608596557643,14.73765441223753,0.03270644741823325,1.064525187087172,31710,2019-05-15 07:45:00,14.809608596557643,SL,0,1.1342672099541071,0.4250583672887633,-1.7643752829622,IS_2014_2024,2019,m15_retest_025r_2h,2
44201,2021-06-29 00:00:00,1,0.0867662289850005,0.7721898344986576,0.8059701492537068,0.0895522388059733,0.1044776119403198,0.8955223880596801,-1.357996904984622,45.55537087935133,-0.5468841674044875,-0.4734310749206045,True,False,False,True,False,False,-0.8103598194429478,-0.3674649443307667,pullback_rebreak,0,8,0.0806765498729696,1.0026942627072066,-0.6108367347526774,0.8528663843716273,1.3023500193783246,1.1870978052740706,26.149,44202,2021-06-29 01:30:00,26.06750373358694,26.162014934347752,25.954090292673964,0.0945112007608131,1.0892625145337536,44212,2021-06-29 03:15:00,25.954090292673964,TP,10,0.0687354129538907,1.317343686088901,0.9354810879689033,IS_2014_2024,2021,m15_retest_025r_2h,7
44876,2021-08-09 12:00:00,13,0.2304778591949509,1.253916541091896,0.8442906574394516,0.1384083044982679,0.0173010380622804,0.9826989619377196,-0.6270314423437292,37.90475106273593,-1.2356044263845811,-4.735325773824607,True,False,False,True,False,False,-0.7171326094258965,-0.4680197572220775,pullback_rebreak,0,8,0.1214867237044003,0.7332591537873099,0.173552462434862,5.814007491568002,1.05867002085268,1.2929658451397577,24.038,44877,2021-08-09 13:00:00,23.80214291971981,24.072571678879243,23.47762840872849,0.270428759159433,1.1733394266331214,44880,2021-08-09 14:45:00,23.47762840872849,TP,3,0.4801896095808027,1.3465391804173015,1.1075542110324819,IS_2014_2024,2021,m15_retest_025r_2h,7
